wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;boles³awiecki;64351;569;28565;459;t0201
dolnoœl¹skie;dzier¿oniowski;60120;989;27090;842;t0202
dolnoœl¹skie;g³ogowski;55404;926;24162;689;t0203
dolnoœl¹skie;górowski;23856;252;10476;161;t0204
dolnoœl¹skie;jaworski;35037;226;15417;159;t0205
dolnoœl¹skie;jeleniogórski;45949;538;20954;350;t0206
dolnoœl¹skie;kamiennogórski;27228;279;12456;200;t0207
dolnoœl¹skie;k³odzki;111876;1108;50929;737;t0208
dolnoœl¹skie;legnicki;38834;255;16672;218;t0209
dolnoœl¹skie;lubañski;24824;88;9766;66;t0210
dolnoœl¹skie;lubiñski;114358;670;54469;555;t0211
dolnoœl¹skie;lwówecki;35195;599;15478;536;t0212
dolnoœl¹skie;milicki;29741;368;13634;333;t0213
dolnoœl¹skie;oleœnicki;78080;750;33027;567;t0214
dolnoœl¹skie;o³awski;41510;300;19327;287;t0215
dolnoœl¹skie;polkowicki;37386;440;15831;357;t0216
dolnoœl¹skie;strzeliñski;33059;299;14864;249;t0217
dolnoœl¹skie;œredzki;19390;128;8961;116;t0218
dolnoœl¹skie;œwidnicki;87562;947;38638;795;t0219
dolnoœl¹skie;trzebnicki;52246;788;23683;686;t0220
dolnoœl¹skie;wa³brzyski;29099;232;13551;182;t0221
dolnoœl¹skie;wo³owski;37996;493;16711;430;t0222
dolnoœl¹skie;wroc³awski;92478;872;42461;759;t0223
dolnoœl¹skie;z¹bkowicki;48994;495;22535;382;t0224
dolnoœl¹skie;zgorzelecki;50308;585;22616;495;t0225
dolnoœl¹skie;z³otoryjski;30408;432;13192;334;t0226
dolnoœl¹skie;Jelenia Góra;79984;687;37333;559;t0261
dolnoœl¹skie;Legnica;79711;691;36759;567;t0262
dolnoœl¹skie;Wroc³aw;957626;5878;439321;5055;t0264
dolnoœl¹skie;Wa³brzych;195331;525;90062;402;t0265
kujawsko-pomorskie;aleksandrowski;124770;764;59033;523;t0401
kujawsko-pomorskie;brodnicki;60510;992;26569;889;t0402
kujawsko-pomorskie;bydgoski;67990;863;30279;726;t0403
kujawsko-pomorskie;che³miñski;36160;340;16301;232;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;30599;438;13156;174;t0405
kujawsko-pomorskie;grudzi¹dzki;22382;383;9759;312;t0406
kujawsko-pomorskie;inowroc³awski;94690;808;43298;719;t0407
kujawsko-pomorskie;lipnowski;45304;388;19840;313;t0408
kujawsko-pomorskie;mogileñski;25173;446;11119;347;t0409
kujawsko-pomorskie;nakielski;71400;614;31380;416;t0410
kujawsko-pomorskie;radziejowski;39916;167;17568;113;t0411
kujawsko-pomorskie;rypiñski;30095;430;13251;255;t0412
kujawsko-pomorskie;sêpoleñski;44324;219;20201;189;t0413
kujawsko-pomorskie;œwiecki;66213;967;29396;757;t0414
kujawsko-pomorskie;toruñski;62480;987;25513;886;t0415
kujawsko-pomorskie;tucholski;34302;799;15278;682;t0416
kujawsko-pomorskie;w¹brzeski;23350;154;10015;94;t0417
kujawsko-pomorskie;w³oc³awski;56199;719;25391;579;t0418
kujawsko-pomorskie;¿niñski;45988;712;20231;678;t0419
kujawsko-pomorskie;Bydgoszcz;386850;3885;177605;3396;t0461
kujawsko-pomorskie;Grudzi¹dz;108354;1340;48043;1161;t0462
kujawsko-pomorskie;Toruñ;164590;2404;72978;2188;t0463
kujawsko-pomorskie;W³oc³awek;80946;903;34990;755;t0464
lubelskie;bialski;54502;364;24444;265;t0601
lubelskie;bi³gorajski;47087;536;21626;496;t0602
lubelskie;che³mski;32355;261;14612;241;t0603
lubelskie;hrubieszowski;38782;417;17159;313;t0604
lubelskie;janowski;26444;342;12058;235;t0605
lubelskie;krasnostawski;37210;264;17004;221;t0606
lubelskie;kraœnicki;60424;567;27919;428;t0607
lubelskie;lubartowski;48471;276;21971;258;t0608
lubelskie;lubelski;75138;628;33607;439;t0609
lubelskie;³êczyñski;36523;206;17044;197;t0610
lubelskie;³ukowski;47876;290;21738;268;t0611
lubelskie;opolski;38973;320;17374;255;t0612
lubelskie;parczewski;25480;497;11688;315;t0613
lubelskie;pu³awski;86433;514;39731;409;t0614
lubelskie;radzyñski;26677;420;12045;393;t0615
lubelskie;rycki;47781;459;21972;418;t0616
lubelskie;œwidnicki;40259;369;18859;313;t0617
lubelskie;tomaszowski;48900;590;22290;433;t0618
lubelskie;w³odawski;32293;295;14817;280;t0619
lubelskie;zamojski;43343;673;20269;509;t0620
lubelskie;Bia³a Podlaska;62103;422;28844;276;t0661
lubelskie;Che³m;55316;358;24719;147;t0662
lubelskie;Lublin;400055;2158;184484;1446;t0663
lubelskie;Zamoœæ;80260;565;37484;308;t0664
lubuskie;gorzowski;26325;142;11948;114;t0801
lubuskie;kroœnieñski;45050;305;20996;258;t0802
lubuskie;miêdzyrzecki;60846;313;28070;287;t0803
lubuskie;nowosolski;79770;516;36234;357;t0804
lubuskie;s³ubicki;33018;340;14860;267;t0805
lubuskie;strzelecko-drezdenecki;43940;393;19899;319;t0806
lubuskie;sulêciñski;25275;369;11266;319;t0807
lubuskie;œwiebodziñski;50270;189;22894;143;t0808
lubuskie;zielonogórski;79711;915;36453;768;t0809
lubuskie;¿agañski;59878;368;27069;332;t0810
lubuskie;¿arski;89546;558;41674;500;t0811
lubuskie;wschowski;22239;90;10098;90;t0812
lubuskie;Gorzów Wielkopolski;129199;756;60317;535;t0861
lubuskie;Zielona Góra;136862;911;63717;693;t0862
³ódzkie;be³chatowski;62103;909;27200;765;t1001
³ódzkie;kutnowski;77523;787;35803;595;t1002
³ódzkie;³aski;31251;238;14289;187;t1003
³ódzkie;³êczycki;43402;492;18640;309;t1004
³ódzkie;³owicki;82676;454;38790;304;t1005
³ódzkie;³ódzki wschodni;32234;502;14087;459;t1006
³ódzkie;opoczyñski;50532;432;22382;332;t1007
³ódzkie;pabianicki;93859;1077;42225;878;t1008
³ódzkie;pajêczañski;27164;168;12081;155;t1009
³ódzkie;piotrkowski;41119;289;17499;274;t1010
³ódzkie;poddêbicki;32949;508;15111;480;t1011
³ódzkie;radomszczañski;73627;1003;32876;821;t1012
³ódzkie;rawski;24272;251;10431;211;t1013
³ódzkie;sieradzki;85162;688;37024;525;t1014
³ódzkie;skierniewicki;21008;99;9610;72;t1015
³ódzkie;tomaszowski;92194;554;42583;422;t1016
³ódzkie;wieluñski;79427;496;37084;333;t1017
³ódzkie;wieruszowski;29164;453;13147;382;t1018
³ódzkie;zduñskowolski;42226;639;18509;506;t1019
³ódzkie;zgierski;114931;968;52290;747;t1020
³ódzkie;brzeziñski;30892;346;14281;258;t1021
³ódzkie;£ódŸ;819996;5607;379520;4313;t1061
³ódzkie;Piotrków Trybunalski;67396;827;29811;692;t1062
³ódzkie;Skierniewice;64989;341;30532;295;t1063
ma³opolskie;bocheñski;65204;1106;27151;979;t1201
ma³opolskie;brzeski;55862;585;24419;362;t1202
ma³opolskie;chrzanowski;98159;767;43365;669;t1203
ma³opolskie;d¹browski;36218;577;16543;435;t1204
ma³opolskie;gorlicki;75403;606;35057;488;t1205
ma³opolskie;krakowski;133225;1867;58840;1561;t1206
ma³opolskie;limanowski;74496;830;33064;631;t1207
ma³opolskie;miechowski;54138;554;24647;471;t1208
ma³opolskie;myœlenicki;86138;1071;38723;890;t1209
ma³opolskie;nowos¹decki;111399;1106;48004;861;t1210
ma³opolskie;nowotarski;111358;1372;48748;1051;t1211
ma³opolskie;olkuski;98517;663;44460;553;t1212
ma³opolskie;oœwiêcimski;100240;1264;42937;1090;t1213
ma³opolskie;proszowicki;37153;415;16907;346;t1214
ma³opolskie;suski;58082;655;25639;520;t1215
ma³opolskie;tarnowski;81609;1034;36135;882;t1216
ma³opolskie;tatrzañski;30562;345;14310;286;t1217
ma³opolskie;wadowicki;98849;1184;41971;829;t1218
ma³opolskie;wielicki;91454;1120;39058;869;t1219
ma³opolskie;Kraków;1057120;7484;482768;6059;t1261
ma³opolskie;Nowy S¹cz;55087;697;25092;636;t1262
ma³opolskie;Tarnów;93383;870;41100;557;t1263
mazowieckie;bia³obrzeski;30440;454;13777;367;t1401
mazowieckie;ciechanowski;69231;665;31766;524;t1402
mazowieckie;garwoliñski;70023;1222;31113;1116;t1403
mazowieckie;gostyniñski;23771;219;10478;210;t1404
mazowieckie;grodziski;82662;984;35910;748;t1405
mazowieckie;grójecki;91339;950;41647;736;t1406
mazowieckie;kozienicki;36998;517;16775;455;t1407
mazowieckie;legionowski;63126;576;25139;337;t1408
mazowieckie;lipski;22350;240;10070;185;t1409
mazowieckie;³osicki;15776;200;7267;150;t1410
mazowieckie;makowski;34974;593;15664;451;t1411
mazowieckie;miñski;110596;1282;47315;1203;t1412
mazowieckie;m³awski;49127;705;21939;623;t1413
mazowieckie;nowodworski;93149;1084;42369;648;t1414
mazowieckie;ostro³êcki;43479;541;19598;438;t1415
mazowieckie;ostrowski;43228;670;20186;598;t1416
mazowieckie;otwocki;77091;1029;34459;854;t1417
mazowieckie;piaseczyñski;215392;1246;97513;946;t1418
mazowieckie;p³ocki;71044;931;31170;752;t1419
mazowieckie;p³oñski;69968;1250;31147;1022;t1420
mazowieckie;pruszkowski;112640;871;49928;675;t1421
mazowieckie;przasnyski;43952;122;20252;94;t1422
mazowieckie;przysuski;23045;375;10181;273;t1423
mazowieckie;pu³tuski;39297;583;17580;492;t1424
mazowieckie;radomski;52853;823;23337;736;t1425
mazowieckie;siedlecki;27147;376;12540;285;t1426
mazowieckie;sierpecki;37073;434;16302;337;t1427
mazowieckie;sochaczewski;71822;680;32071;510;t1428
mazowieckie;soko³owski;37009;364;16558;342;t1429
mazowieckie;szyd³owiecki;15985;284;6948;220;t1430
mazowieckie;warszawski zachodni;102121;1084;46374;882;t1432
mazowieckie;wêgrowski;38767;710;17566;643;t1433
mazowieckie;wo³omiñski;173646;1763;76122;1287;t1434
mazowieckie;wyszkowski;52341;1067;23136;822;t1435
mazowieckie;zwoleñski;23838;118;10772;79;t1436
mazowieckie;¿uromiñski;24450;195;11103;137;t1437
mazowieckie;¿yrardowski;47195;688;21128;463;t1438
mazowieckie;Ostro³êka;64593;632;30683;481;t1461
mazowieckie;P³ock;112333;1228;50058;1093;t1462
mazowieckie;Radom;206292;1795;92771;1475;t1463
mazowieckie;Siedlce;106124;499;49559;330;t1464
mazowieckie;Warszawa;2319758;11579;1065126;9118;t1465
opolskie;brzeski;66457;366;30985;301;t1601
opolskie;g³ubczycki;37444;245;17863;205;t1602
opolskie;kêdzierzyñsko-kozielski;73959;316;34910;228;t1603
opolskie;kluczborski;47560;435;21792;409;t1604
opolskie;krapkowicki;86733;437;39087;354;t1605
opolskie;namys³owski;24640;232;11350;175;t1606
opolskie;nyski;86250;1038;41055;873;t1607
opolskie;oleski;43952;580;20438;530;t1608
opolskie;opolski;59736;461;27628;391;t1609
opolskie;prudnicki;36315;654;17051;459;t1610
opolskie;strzelecki;50045;386;22938;279;t1611
opolskie;Opole;170604;612;79789;472;t1661
podkarpackie;bieszczadzki;8527;60;3986;46;t1801
podkarpackie;brzozowski;42230;190;19676;100;t1802
podkarpackie;dêbicki;59710;258;25517;195;t1803
podkarpackie;jaros³awski;46619;323;21453;169;t1804
podkarpackie;jasielski;50845;746;23091;537;t1805
podkarpackie;kolbuszowski;20005;132;9153;92;t1806
podkarpackie;kroœnieñski;45645;325;21692;278;t1807
podkarpackie;le¿ajski;34166;287;15445;138;t1808
podkarpackie;lubaczowski;28980;132;13381;111;t1809
podkarpackie;³añcucki;36189;150;16927;56;t1810
podkarpackie;mielecki;80177;505;37410;406;t1811
podkarpackie;ni¿añski;29670;160;14187;140;t1812
podkarpackie;przemyski;16793;142;7806;78;t1813
podkarpackie;przeworski;26264;232;12304;181;t1814
podkarpackie;ropczycko-sêdziszowski;33913;212;15556;136;t1815
podkarpackie;rzeszowski;49405;445;23033;360;t1816
podkarpackie;sanocki;33569;300;15435;230;t1817
podkarpackie;stalowowolski;65564;434;30727;306;t1818
podkarpackie;strzy¿owski;24105;241;11486;117;t1819
