wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;25;0;0;0;t00
dolnoœl¹skie;boles³awiecki;64716;355;28822;256;t0201
dolnoœl¹skie;dzier¿oniowski;60603;477;27467;376;t0202
dolnoœl¹skie;g³ogowski;56130;718;24651;483;t0203
dolnoœl¹skie;górowski;23973;115;10581;103;t0204
dolnoœl¹skie;jaworski;35238;203;15497;82;t0205
dolnoœl¹skie;jeleniogórski;46226;276;21137;183;t0206
dolnoœl¹skie;kamiennogórski;27505;281;12633;180;t0207
dolnoœl¹skie;k³odzki;113061;1013;51693;762;t0208
dolnoœl¹skie;legnicki;39256;412;16976;303;t0209
dolnoœl¹skie;lubañski;25258;434;10123;357;t0210
dolnoœl¹skie;lubiñski;114805;418;54816;324;t0211
dolnoœl¹skie;lwówecki;35617;421;15810;332;t0212
dolnoœl¹skie;milicki;30049;308;13872;239;t0213
dolnoœl¹skie;oleœnicki;78695;607;33454;422;t0214
dolnoœl¹skie;o³awski;41826;307;19612;282;t0215
dolnoœl¹skie;polkowicki;37648;262;16021;191;t0216
dolnoœl¹skie;strzeliñski;33408;350;15166;303;t0217
dolnoœl¹skie;œredzki;19570;158;9062;86;t0218
dolnoœl¹skie;œwidnicki;88325;760;39268;630;t0219
dolnoœl¹skie;trzebnicki;52730;461;24041;342;t0220
dolnoœl¹skie;wa³brzyski;29201;102;13637;88;t0221
dolnoœl¹skie;wo³owski;38248;238;16876;161;t0222
dolnoœl¹skie;wroc³awski;93310;609;43103;523;t0223
dolnoœl¹skie;z¹bkowicki;49436;440;22869;336;t0224
dolnoœl¹skie;zgorzelecki;50802;494;22956;341;t0225
dolnoœl¹skie;z³otoryjski;30670;258;13317;122;t0226
dolnoœl¹skie;Jelenia Góra;80422;390;37679;330;t0261
dolnoœl¹skie;Legnica;80222;511;37134;376;t0262
dolnoœl¹skie;Wroc³aw;963526;4916;443997;3963;t0264
dolnoœl¹skie;Wa³brzych;195863;507;90396;328;t0265
kujawsko-pomorskie;aleksandrowski;125316;553;59333;315;t0401
kujawsko-pomorskie;brodnicki;61317;771;27165;593;t0402
kujawsko-pomorskie;bydgoski;68604;605;30823;542;t0403
kujawsko-pomorskie;che³miñski;36371;207;16479;177;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;31089;486;13344;187;t0405
kujawsko-pomorskie;grudzi¹dzki;22610;213;9930;172;t0406
kujawsko-pomorskie;inowroc³awski;95347;641;43870;571;t0407
kujawsko-pomorskie;lipnowski;45569;122;19905;31;t0408
kujawsko-pomorskie;mogileñski;25622;366;11382;248;t0409
kujawsko-pomorskie;nakielski;71971;567;31812;432;t0410
kujawsko-pomorskie;radziejowski;40248;209;17737;129;t0411
kujawsko-pomorskie;rypiñski;30510;415;13562;312;t0412
kujawsko-pomorskie;sêpoleñski;44457;133;20320;119;t0413
kujawsko-pomorskie;œwiecki;66992;727;29870;440;t0414
kujawsko-pomorskie;toruñski;63401;890;26205;690;t0415
kujawsko-pomorskie;tucholski;34627;325;15525;248;t0416
kujawsko-pomorskie;w¹brzeski;23740;389;10247;232;t0417
kujawsko-pomorskie;w³oc³awski;56760;527;25811;415;t0418
kujawsko-pomorskie;¿niñski;46560;572;20736;506;t0419
kujawsko-pomorskie;Bydgoszcz;390115;3234;180156;2547;t0461
kujawsko-pomorskie;Grudzi¹dz;109683;1247;49177;1081;t0462
kujawsko-pomorskie;Toruñ;166664;1892;74675;1699;t0463
kujawsko-pomorskie;W³oc³awek;81587;645;35528;532;t0464
lubelskie;bialski;55035;578;24791;375;t0601
lubelskie;bi³gorajski;47612;520;22061;431;t0602
lubelskie;che³mski;32677;315;14878;267;t0603
lubelskie;hrubieszowski;39264;489;17501;349;t0604
lubelskie;janowski;26582;137;12143;85;t0605
lubelskie;krasnostawski;37390;153;17132;123;t0606
lubelskie;kraœnicki;60760;330;28177;255;t0607
lubelskie;lubartowski;48817;343;22281;310;t0608
lubelskie;lubelski;75595;385;33833;224;t0609
lubelskie;³êczyñski;36753;231;17227;184;t0610
lubelskie;³ukowski;48437;550;22073;336;t0611
lubelskie;opolski;39429;458;17655;284;t0612
lubelskie;parczewski;25552;61;11742;51;t0613
lubelskie;pu³awski;87153;712;40133;395;t0614
lubelskie;radzyñski;26919;242;12228;184;t0615
lubelskie;rycki;48318;516;22389;404;t0616
lubelskie;œwidnicki;40537;260;19006;150;t0617
lubelskie;tomaszowski;49268;341;22504;197;t0618
lubelskie;w³odawski;32410;107;14847;30;t0619
lubelskie;zamojski;43885;515;20724;454;t0620
lubelskie;Bia³a Podlaska;62525;417;29121;275;t0661
lubelskie;Che³m;55682;357;24992;271;t0662
lubelskie;Lublin;402707;2482;186373;1823;t0663
lubelskie;Zamoœæ;80656;393;37732;251;t0664
lubuskie;gorzowski;26427;64;12011;63;t0801
lubuskie;kroœnieñski;45315;261;21229;232;t0802
lubuskie;miêdzyrzecki;61073;201;28217;145;t0803
lubuskie;nowosolski;80180;408;36453;219;t0804
lubuskie;s³ubicki;33294;266;15097;230;t0805
lubuskie;strzelecko-drezdenecki;44139;197;20013;115;t0806
lubuskie;sulêciñski;25506;228;11467;202;t0807
lubuskie;œwiebodziñski;50306;37;22925;32;t0808
lubuskie;zielonogórski;80089;361;36758;299;t0809
lubuskie;¿agañski;60442;561;27487;417;t0810
lubuskie;¿arski;90130;578;42061;384;t0811
lubuskie;wschowski;22371;133;10184;87;t0812
lubuskie;Gorzów Wielkopolski;130161;914;60972;647;t0861
lubuskie;Zielona Góra;137509;644;64217;502;t0862
³ódzkie;be³chatowski;62955;846;27946;748;t1001
³ódzkie;kutnowski;78245;721;36398;596;t1002
³ódzkie;³aski;31655;398;14660;367;t1003
³ódzkie;³êczycki;43957;523;19069;421;t1004
³ódzkie;³owicki;83095;393;39111;316;t1005
³ódzkie;³ódzki wschodni;32397;164;14150;64;t1006
³ódzkie;opoczyñski;50944;344;22574;191;t1007
³ódzkie;pabianicki;94754;895;42915;695;t1008
³ódzkie;pajêczañski;27264;94;12127;47;t1009
³ódzkie;piotrkowski;41893;758;18240;730;t1010
³ódzkie;poddêbicki;33110;161;15242;132;t1011
³ódzkie;radomszczañski;74305;668;33306;424;t1012
³ódzkie;rawski;24745;469;10795;364;t1013
³ódzkie;sieradzki;85785;620;37430;403;t1014
³ódzkie;skierniewicki;21320;300;9822;213;t1015
³ódzkie;tomaszowski;92922;590;42948;366;t1016
³ódzkie;wieluñski;79925;494;37451;369;t1017
³ódzkie;wieruszowski;29407;243;13259;113;t1018
³ódzkie;zduñskowolski;42855;626;19045;539;t1019
³ódzkie;zgierski;115877;859;52996;636;t1020
³ódzkie;brzeziñski;31227;333;14447;164;t1021
³ódzkie;£ódŸ;824659;4107;382758;3182;t1061
³ódzkie;Piotrków Trybunalski;68046;526;30287;373;t1062
³ódzkie;Skierniewice;65408;405;30838;309;t1063
ma³opolskie;bocheñski;66364;1097;28007;849;t1201
ma³opolskie;brzeski;56456;583;24911;493;t1202
ma³opolskie;chrzanowski;99151;921;44128;730;t1203
ma³opolskie;d¹browski;36578;347;16757;204;t1204
ma³opolskie;gorlicki;75776;371;35300;243;t1205
ma³opolskie;krakowski;135133;1890;60035;1189;t1206
ma³opolskie;limanowski;75566;1059;33833;768;t1207
ma³opolskie;miechowski;54829;687;25253;605;t1208
ma³opolskie;myœlenicki;87065;903;39483;759;t1209
ma³opolskie;nowos¹decki;112468;1065;48712;711;t1210
ma³opolskie;nowotarski;112414;1043;49526;774;t1211
ma³opolskie;olkuski;99213;654;44937;475;t1212
ma³opolskie;oœwiêcimski;101587;1332;44116;1170;t1213
ma³opolskie;proszowicki;37796;624;17339;421;t1214
ma³opolskie;suski;58922;841;26340;702;t1215
ma³opolskie;tarnowski;82476;862;36911;777;t1216
ma³opolskie;tatrzañski;30666;104;14370;60;t1217
ma³opolskie;wadowicki;99910;1005;42879;896;t1218
ma³opolskie;wielicki;92285;796;39635;574;t1219
ma³opolskie;Kraków;1063969;6365;488034;5234;t1261
ma³opolskie;Nowy S¹cz;55766;649;25694;602;t1262
ma³opolskie;Tarnów;95157;1559;42571;1475;t1263
mazowieckie;bia³obrzeski;30804;354;14018;241;t1401
mazowieckie;ciechanowski;69852;599;32211;444;t1402
mazowieckie;garwoliñski;70780;754;31701;588;t1403
mazowieckie;gostyniñski;23864;61;10569;61;t1404
mazowieckie;grodziski;83375;616;36425;427;t1405
mazowieckie;grójecki;92162;809;42311;667;t1406
mazowieckie;kozienicki;37320;315;17031;256;t1407
mazowieckie;legionowski;64227;1089;26134;992;t1408
mazowieckie;lipski;22559;206;10250;180;t1409
mazowieckie;³osicki;15955;176;7422;155;t1410
mazowieckie;makowski;35376;328;15909;234;t1411
mazowieckie;miñski;111387;772;48038;725;t1412
mazowieckie;m³awski;49661;534;22352;415;t1413
mazowieckie;nowodworski;93882;676;42880;513;t1414
mazowieckie;ostro³êcki;44002;492;19981;381;t1415
mazowieckie;ostrowski;43683;383;20475;246;t1416
mazowieckie;otwocki;77947;852;35161;704;t1417
mazowieckie;piaseczyñski;217307;1863;99007;1492;t1418
mazowieckie;p³ocki;71897;847;31794;626;t1419
mazowieckie;p³oñski;70391;406;31421;268;t1420
mazowieckie;pruszkowski;113812;990;50744;765;t1421
mazowieckie;przasnyski;44336;374;20554;304;t1422
mazowieckie;przysuski;23389;340;10320;141;t1423
mazowieckie;pu³tuski;39784;477;17987;401;t1424
mazowieckie;radomski;53199;348;23612;278;t1425
mazowieckie;siedlecki;27422;275;12734;194;t1426
mazowieckie;sierpecki;37455;373;16526;217;t1427
mazowieckie;sochaczewski;72674;848;32783;713;t1428
mazowieckie;soko³owski;37396;381;16891;333;t1429
mazowieckie;szyd³owiecki;16238;237;7107;159;t1430
mazowieckie;warszawski zachodni;103020;916;47112;744;t1432
mazowieckie;wêgrowski;39209;440;17945;376;t1433
mazowieckie;wo³omiñski;175487;1831;77592;1469;t1434
mazowieckie;wyszkowski;53286;886;23788;619;t1435
mazowieckie;zwoleñski;24090;248;10954;182;t1436
mazowieckie;¿uromiñski;24625;173;11265;162;t1437
mazowieckie;¿yrardowski;47918;719;21708;581;t1438
mazowieckie;Ostro³êka;64745;150;30800;118;t1461
mazowieckie;P³ock;113418;1082;50834;775;t1462
mazowieckie;Radom;207586;1288;93802;1034;t1463
mazowieckie;Siedlce;106696;514;49982;406;t1464
mazowieckie;Warszawa;2332441;11595;1075044;9512;t1465
opolskie;brzeski;66634;173;31127;141;t1601
opolskie;g³ubczycki;37762;310;18083;223;t1602
opolskie;kêdzierzyñsko-kozielski;74226;266;35027;118;t1603
opolskie;kluczborski;47892;340;22097;307;t1604
opolskie;krapkowicki;87319;585;39404;319;t1605
opolskie;namys³owski;25102;461;11698;351;t1606
opolskie;nyski;86567;308;41223;165;t1607
