wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;25;0;0;0;t00
dolnośląskie;bolesławiecki;69639;114;31517;77;t0201
dolnośląskie;dzierżoniowski;65549;62;30936;17;t0202
dolnośląskie;głogowski;61360;11;27803;2;t0203
dolnośląskie;górowski;25805;0;11668;0;t0204
dolnośląskie;jaworski;37744;69;17046;9;t0205
dolnośląskie;jeleniogórski;49315;90;23043;42;t0206
dolnośląskie;kamiennogórski;29859;35;14013;8;t0207
dolnośląskie;kłodzki;122953;150;57791;47;t0208
dolnośląskie;legnicki;42736;137;19075;71;t0209
dolnośląskie;lubański;28569;94;11944;27;t0210
dolnośląskie;lubiński;120870;121;57809;74;t0211
dolnośląskie;lwówecki;39821;17;18418;0;t0212
dolnośląskie;milicki;32729;51;15356;29;t0213
dolnośląskie;oleśnicki;91389;227;41194;74;t0214
dolnośląskie;oławski;44296;0;21359;0;t0215
dolnośląskie;polkowicki;40078;0;17490;0;t0216
dolnośląskie;strzeliński;35839;6;16716;1;t0217
dolnośląskie;średzki;21050;10;9953;6;t0218
dolnośląskie;świdnicki;96727;94;44464;17;t0219
dolnośląskie;trzebnicki;57295;0;27453;0;t0220
dolnośląskie;wałbrzyski;30449;4;14429;4;t0221
dolnośląskie;wołowski;40725;43;18227;20;t0222
dolnośląskie;wrocławski;99938;47;47590;34;t0223
dolnośląskie;ząbkowicki;53151;143;25040;84;t0224
dolnośląskie;zgorzelecki;55835;146;25269;114;t0225
dolnośląskie;złotoryjski;33102;11;14786;0;t0226
dolnośląskie;Jelenia Góra;86183;121;41428;37;t0261
dolnośląskie;Legnica;86358;66;40658;6;t0262
dolnośląskie;Wrocław;1021891;820;481088;443;t0264
dolnośląskie;Wałbrzych;206509;230;96638;82;t0265
kujawsko-pomorskie;aleksandrowski;130015;73;61797;31;t0401
kujawsko-pomorskie;brodnicki;68634;197;31901;97;t0402
kujawsko-pomorskie;bydgoski;74496;42;35048;12;t0403
kujawsko-pomorskie;chełmiński;39778;5;18611;5;t0404
kujawsko-pomorskie;golubsko-dobrzyński;34372;58;16041;55;t0405
kujawsko-pomorskie;grudziądzki;24776;18;11077;1;t0406
kujawsko-pomorskie;inowrocławski;101481;105;48309;63;t0407
kujawsko-pomorskie;lipnowski;50540;138;23036;85;t0408
kujawsko-pomorskie;mogileński;30135;130;14078;65;t0409
kujawsko-pomorskie;nakielski;80477;36;36239;7;t0410
kujawsko-pomorskie;radziejowski;43233;0;20080;0;t0411
kujawsko-pomorskie;rypiński;33702;40;15572;11;t0412
kujawsko-pomorskie;sępoleński;47388;32;21917;11;t0413
kujawsko-pomorskie;świecki;73902;176;34034;41;t0414
kujawsko-pomorskie;toruński;69318;84;30281;34;t0415
kujawsko-pomorskie;tucholski;37908;0;17355;0;t0416
kujawsko-pomorskie;wąbrzeski;26411;39;11966;20;t0417
kujawsko-pomorskie;włocławski;62480;26;29602;2;t0418
kujawsko-pomorskie;żniński;51358;0;24244;0;t0419
kujawsko-pomorskie;Bydgoszcz;419525;352;197365;156;t0461
kujawsko-pomorskie;Grudziądz;118804;198;55019;75;t0462
kujawsko-pomorskie;Toruń;184734;267;85825;112;t0463
kujawsko-pomorskie;Włocławek;90131;157;40963;69;t0464
lubelskie;bialski;59211;39;27062;24;t0601
lubelskie;biłgorajski;51712;4;24568;2;t0602
lubelskie;chełmski;35029;57;16519;39;t0603
lubelskie;hrubieszowski;42623;64;19505;23;t0604
lubelskie;janowski;29167;36;13503;13;t0605
lubelskie;krasnostawski;39655;59;18310;4;t0606
lubelskie;kraśnicki;64272;61;30405;25;t0607
lubelskie;lubartowski;52628;35;24675;1;t0608
lubelskie;lubelski;80679;52;36730;18;t0609
lubelskie;łęczyński;38907;2;18539;0;t0610
lubelskie;łukowski;53094;75;24792;27;t0611
lubelskie;opolski;42702;35;19571;21;t0612
lubelskie;parczewski;27050;15;12499;0;t0613
lubelskie;puławski;94113;72;44768;50;t0614
lubelskie;radzyński;29461;12;13981;12;t0615
lubelskie;rycki;51660;0;24677;0;t0616
lubelskie;świdnicki;43779;134;20902;57;t0617
lubelskie;tomaszowski;53377;71;24855;57;t0618
lubelskie;włodawski;34081;56;15904;39;t0619
lubelskie;zamojski;46976;96;22742;71;t0620
lubelskie;Biała Podlaska;66981;146;31568;75;t0661
lubelskie;Chełm;60676;88;27838;57;t0662
lubelskie;Lublin;427914;807;197894;188;t0663
lubelskie;Zamość;85786;140;40335;53;t0664
lubuskie;gorzowski;27999;0;13063;0;t0801
lubuskie;krośnieński;49271;89;23503;69;t0802
lubuskie;międzyrzecki;64722;27;30233;9;t0803
lubuskie;nowosolski;87437;73;39546;8;t0804
lubuskie;słubicki;36502;12;17287;2;t0805
lubuskie;strzelecko-drezdenecki;48112;79;22010;29;t0806
lubuskie;sulęciński;28758;100;13169;58;t0807
lubuskie;świebodziński;53538;0;24832;0;t0808
lubuskie;zielonogórski;85673;56;39859;14;t0809
lubuskie;żagański;65491;94;30309;0;t0810
lubuskie;żarski;96380;59;45632;7;t0811
lubuskie;wschowski;25364;0;12055;0;t0812
lubuskie;Gorzów Wielkopolski;142085;341;66530;171;t0861
