wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;25;0;0;0;t00
dolnośląskie;bolesławiecki;69523;0;31440;0;t0201
dolnośląskie;dzierżoniowski;65486;137;30919;52;t0202
dolnośląskie;głogowski;61348;150;27801;11;t0203
dolnośląskie;górowski;25805;0;11668;0;t0204
dolnośląskie;jaworski;37608;0;17032;0;t0205
dolnośląskie;jeleniogórski;49224;0;23000;0;t0206
dolnośląskie;kamiennogórski;29824;0;14005;0;t0207
dolnośląskie;kłodzki;122800;0;57746;0;t0208
dolnośląskie;legnicki;42600;28;19005;10;t0209
dolnośląskie;lubański;28475;0;11917;0;t0210
dolnośląskie;lubiński;120735;197;57723;137;t0211
dolnośląskie;lwówecki;39803;202;18418;43;t0212
dolnośląskie;milicki;32677;0;15326;0;t0213
dolnośląskie;oleśnicki;91107;336;41090;193;t0214
dolnośląskie;oławski;44291;87;21359;0;t0215
dolnośląskie;polkowicki;40063;0;17490;0;t0216
dolnośląskie;strzeliński;35805;54;16715;0;t0217
dolnośląskie;średzki;21014;0;9938;0;t0218
dolnośląskie;świdnicki;96200;221;44448;153;t0219
dolnośląskie;trzebnicki;57296;135;27454;88;t0220
dolnośląskie;wałbrzyski;30429;0;14416;0;t0221
dolnośląskie;wołowski;40622;16;18196;4;t0222
dolnośląskie;wrocławski;99857;249;47548;156;t0223
dolnośląskie;ząbkowicki;53007;0;24956;0;t0224
dolnośląskie;zgorzelecki;55621;34;25154;1;t0225
dolnośląskie;złotoryjski;33090;23;14785;0;t0226
dolnośląskie;Jelenia Góra;86035;68;41377;46;t0261
dolnośląskie;Legnica;86291;192;40652;98;t0262
dolnośląskie;Wrocław;1020556;889;480507;422;t0264
dolnośląskie;Wałbrzych;206275;308;96554;199;t0265
kujawsko-pomorskie;aleksandrowski;129841;149;61737;15;t0401
kujawsko-pomorskie;brodnicki;68434;47;31802;0;t0402
kujawsko-pomorskie;bydgoski;74447;295;35030;226;t0403
kujawsko-pomorskie;chełmiński;39772;92;18606;7;t0404
kujawsko-pomorskie;golubsko-dobrzyński;34311;57;15983;56;t0405
kujawsko-pomorskie;grudziądzki;24748;66;11072;55;t0406
kujawsko-pomorskie;inowrocławski;101342;93;48244;24;t0407
kujawsko-pomorskie;lipnowski;50289;158;22912;92;t0408
kujawsko-pomorskie;mogileński;29956;116;13981;30;t0409
kujawsko-pomorskie;nakielski;80352;475;36227;159;t0410
kujawsko-pomorskie;radziejowski;43233;87;20080;29;t0411
kujawsko-pomorskie;rypiński;33660;53;15560;49;t0412
kujawsko-pomorskie;sępoleński;47336;122;21905;0;t0413
kujawsko-pomorskie;świecki;73723;324;33993;152;t0414
kujawsko-pomorskie;toruński;69232;0;30247;0;t0415
kujawsko-pomorskie;tucholski;37746;237;17339;217;t0416
kujawsko-pomorskie;wąbrzeski;26306;60;11880;57;t0417
kujawsko-pomorskie;włocławski;62442;112;29596;50;t0418
kujawsko-pomorskie;żniński;51354;366;24241;281;t0419
kujawsko-pomorskie;Bydgoszcz;418855;853;197141;353;t0461
kujawsko-pomorskie;Grudziądz;118600;25;54944;2;t0462
kujawsko-pomorskie;Toruń;184099;508;85582;197;t0463
kujawsko-pomorskie;Włocławek;89924;168;40872;61;t0464
lubelskie;bialski;59156;0;27034;0;t0601
lubelskie;biłgorajski;51710;0;24567;0;t0602
lubelskie;chełmski;34967;46;16479;17;t0603
lubelskie;hrubieszowski;42547;56;19473;10;t0604
lubelskie;janowski;29096;41;13490;23;t0605
lubelskie;krasnostawski;39571;43;18305;14;t0606
lubelskie;kraśnicki;64209;0;30378;0;t0607
lubelskie;lubartowski;52591;243;24672;143;t0608
lubelskie;lubelski;80589;128;36692;39;t0609
lubelskie;łęczyński;38887;0;18539;0;t0610
lubelskie;łukowski;53014;222;24765;135;t0611
lubelskie;opolski;42668;51;19551;31;t0612
lubelskie;parczewski;27034;0;12498;0;t0613
lubelskie;puławski;94028;175;44715;5;t0614
lubelskie;radzyński;29449;0;13969;0;t0615
lubelskie;rycki;51595;109;24678;51;t0616
lubelskie;świdnicki;43633;35;20845;14;t0617
lubelskie;tomaszowski;53287;158;24791;113;t0618
lubelskie;włodawski;33999;0;15865;0;t0619
lubelskie;zamojski;46880;6;22672;0;t0620
lubelskie;Biała Podlaska;66835;52;31493;8;t0661
lubelskie;Chełm;60542;160;27768;77;t0662
lubelskie;Lublin;426949;536;197687;156;t0663
lubelskie;Zamość;85627;59;40282;14;t0664
lubuskie;gorzowski;27987;0;13057;0;t0801
lubuskie;krośnieński;49070;89;23431;17;t0802
lubuskie;międzyrzecki;64692;181;30223;68;t0803
