wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnośląskie;bolesławiecki;72243;0;32734;0;t0201
dolnośląskie;dzierżoniowski;67545;270;31773;94;t0202
dolnośląskie;głogowski;63751;7;29066;3;t0203
dolnośląskie;górowski;26549;0;12053;0;t0204
dolnośląskie;jaworski;38819;35;17612;1;t0205
dolnośląskie;jeleniogórski;50675;8;23604;1;t0206
dolnośląskie;kamiennogórski;31237;76;14714;3;t0207
dolnośląskie;kłodzki;127126;57;59691;5;t0208
dolnośląskie;legnicki;43785;15;19553;0;t0209
dolnośląskie;lubański;29655;49;12553;0;t0210
dolnośląskie;lubiński;123835;142;59324;53;t0211
dolnośląskie;lwówecki;41309;17;19169;0;t0212
dolnośląskie;milicki;33976;0;16026;0;t0213
dolnośląskie;oleśnicki;96579;359;44108;273;t0214
dolnośląskie;oławski;45095;60;21521;0;t0215
dolnośląskie;polkowicki;41287;6;18099;0;t0216
dolnośląskie;strzeliński;36832;20;17257;0;t0217
dolnośląskie;średzki;21707;0;10301;0;t0218
dolnośląskie;świdnicki;100336;267;46380;139;t0219
dolnośląskie;trzebnicki;59052;78;28393;49;t0220
dolnośląskie;wałbrzyski;31143;0;14836;0;t0221
dolnośląskie;wołowski;41972;18;18743;8;t0222
dolnośląskie;wrocławski;102630;192;48983;117;t0223
dolnośląskie;ząbkowicki;54851;0;25786;0;t0224
dolnośląskie;zgorzelecki;58673;151;26752;30;t0225
dolnośląskie;złotoryjski;34389;24;15481;0;t0226
dolnośląskie;Jelenia Góra;89175;64;42955;29;t0261
dolnośląskie;Legnica;89048;99;42109;49;t0262
dolnośląskie;Wrocław;1043073;441;491325;149;t0264
dolnośląskie;Wałbrzych;209638;192;98148;74;t0265
kujawsko-pomorskie;aleksandrowski;132040;94;62845;29;t0401
kujawsko-pomorskie;brodnicki;71273;0;33447;0;t0402
kujawsko-pomorskie;bydgoski;76447;67;36204;24;t0403
kujawsko-pomorskie;chełmiński;41508;0;19470;0;t0404
kujawsko-pomorskie;golubsko-dobrzyński;35255;0;16400;0;t0405
kujawsko-pomorskie;grudziądzki;25941;15;11717;1;t0406
kujawsko-pomorskie;inowrocławski;103882;59;49400;24;t0407
kujawsko-pomorskie;lipnowski;52691;59;24162;49;t0408
kujawsko-pomorskie;mogileński;31818;93;14982;42;t0409
kujawsko-pomorskie;nakielski;83764;571;37756;238;t0410
kujawsko-pomorskie;radziejowski;44318;116;20710;59;t0411
kujawsko-pomorskie;rypiński;35322;0;16567;0;t0412
kujawsko-pomorskie;sępoleński;48435;65;22445;5;t0413
kujawsko-pomorskie;świecki;77466;53;35587;22;t0414
kujawsko-pomorskie;toruński;71335;25;31218;0;t0415
kujawsko-pomorskie;tucholski;38969;40;17810;1;t0416
kujawsko-pomorskie;wąbrzeski;27643;0;12591;0;t0417
kujawsko-pomorskie;włocławski;64431;67;30720;27;t0418
kujawsko-pomorskie;żniński;52507;173;24864;102;t0419
kujawsko-pomorskie;Bydgoszcz;430625;352;202173;92;t0461
kujawsko-pomorskie;Grudziądz;122896;147;56899;43;t0462
kujawsko-pomorskie;Toruń;191117;453;88774;85;t0463
kujawsko-pomorskie;Włocławek;93357;171;42441;79;t0464
lubelskie;bialski;61226;0;28085;0;t0601
lubelskie;biłgorajski;53602;0;25504;0;t0602
lubelskie;chełmski;35928;62;16926;22;t0603
lubelskie;hrubieszowski;44347;40;20390;29;t0604
lubelskie;janowski;30595;12;14332;4;t0605
lubelskie;krasnostawski;40807;47;18827;22;t0606
lubelskie;kraśnicki;66151;1;31278;1;t0607
lubelskie;lubartowski;54519;38;25583;30;t0608
lubelskie;lubelski;83517;131;38142;103;t0609
lubelskie;łęczyński;39951;0;19118;0;t0610
lubelskie;łukowski;55544;87;26083;55;t0611
lubelskie;opolski;44439;0;20436;0;t0612
lubelskie;parczewski;27961;0;12968;0;t0613
lubelskie;puławski;97272;62;46396;0;t0614
lubelskie;radzyński;30598;5;14509;0;t0615
lubelskie;rycki;53262;129;25569;58;t0616
lubelskie;świdnicki;45582;32;21834;19;t0617
lubelskie;tomaszowski;55368;63;25804;43;t0618
lubelskie;włodawski;34835;0;16247;0;t0619
lubelskie;zamojski;48215;1;23398;0;t0620
lubelskie;Biała Podlaska;69530;32;32831;12;t0661
lubelskie;Chełm;62908;112;28830;78;t0662
lubelskie;Lublin;440777;199;202956;90;t0663
lubelskie;Zamość;88743;3;41772;2;t0664
lubuskie;gorzowski;28960;0;13519;0;t0801
lubuskie;krośnieński;50711;52;24118;2;t0802
lubuskie;międzyrzecki;66559;143;31116;59;t0803
lubuskie;nowosolski;90925;197;40940;75;t0804
lubuskie;słubicki;37971;88;18107;26;t0805
lubuskie;strzelecko-drezdenecki;49960;85;22596;13;t0806
lubuskie;sulęciński;30302;50;13791;4;t0807
lubuskie;świebodziński;54933;168;25493;62;t0808
lubuskie;zielonogórski;88408;24;41172;0;t0809
lubuskie;żagański;67661;64;31189;0;t0810
lubuskie;żarski;99315;131;46791;4;t0811
lubuskie;wschowski;26852;189;12822;123;t0812
lubuskie;Gorzów Wielkopolski;148966;368;68912;165;t0861
lubuskie;Zielona Góra;149953;0;71578;0;t0862
łódzkie;bełchatowski;73016;166;33527;70;t1001
łódzkie;kutnowski;88057;82;42684;49;t1002
łódzkie;łaski;35947;23;17187;0;t1003
łódzkie;łęczycki;50938;27;23471;0;t1004
łódzkie;łowicki;89694;0;42850;0;t1005
łódzkie;łódzki wschodni;36684;7;16580;0;t1006
łódzkie;opoczyński;58759;63;26601;0;t1007
łódzkie;pabianicki;107189;34;50669;19;t1008
łódzkie;pajęczański;29727;25;13518;2;t1009
łódzkie;piotrkowski;49666;380;23085;193;t1010
łódzkie;poddębicki;36762;0;17379;0;t1011
łódzkie;radomszczański;87741;140;41167;87;t1012
łódzkie;rawski;28374;0;12929;0;t1013
łódzkie;sieradzki;99133;133;45422;49;t1014
łódzkie;skierniewicki;23767;2;11298;0;t1015
łódzkie;tomaszowski;104752;0;49596;0;t1016
łódzkie;wieluński;87138;86;41583;51;t1017
łódzkie;wieruszowski;32723;8;14880;0;t1018
łódzkie;zduńskowolski;49462;234;22940;167;t1019
łódzkie;zgierski;128406;32;60464;4;t1020
łódzkie;brzeziński;34529;0;16432;0;t1021
łódzkie;Łódź;896288;884;424702;274;t1061
łódzkie;Piotrków Trybunalski;80204;62;37677;21;t1062
łódzkie;Skierniewice;71756;9;33975;0;t1063
małopolskie;bocheński;77373;359;34754;227;t1201
małopolskie;brzeski;65987;192;30653;137;t1202
małopolskie;chrzanowski;109949;102;50736;35;t1203
małopolskie;dąbrowski;41685;0;19504;0;t1204
małopolskie;gorlicki;84757;6;40094;0;t1205
małopolskie;krakowski;156585;119;73134;41;t1206
małopolskie;limanowski;87113;158;39940;78;t1207
małopolskie;miechowski;60127;6;28853;1;t1208
małopolskie;myślenicki;101504;181;47743;97;t1209
małopolskie;nowosądecki;128737;227;57852;73;t1210
małopolskie;nowotarski;129348;311;59036;197;t1211
małopolskie;olkuski;108756;355;50537;147;t1212
małopolskie;oświęcimski;119381;282;56339;152;t1213
małopolskie;proszowicki;42971;5;20445;0;t1214
małopolskie;suski;67925;94;32219;91;t1215
małopolskie;tarnowski;93911;139;43612;123;t1216
małopolskie;tatrzański;34950;24;16581;0;t1217
małopolskie;wadowicki;117152;261;52588;153;t1218
małopolskie;wielicki;108647;162;49271;103;t1219
małopolskie;Kraków;1169673;1262;556166;554;t1261
małopolskie;Nowy Sącz;62893;41;29788;31;t1262
małopolskie;Tarnów;111264;160;51302;62;t1263
mazowieckie;białobrzeski;35009;56;16584;43;t1401
mazowieckie;ciechanowski;78866;79;37482;32;t1402
mazowieckie;garwoliński;81372;226;38814;160;t1403
mazowieckie;gostyniński;27815;337;13438;274;t1404
mazowieckie;grodziski;94057;16;43278;9;t1405
mazowieckie;grójecki;103338;171;48893;75;t1406
mazowieckie;kozienicki;42998;68;20487;30;t1407
mazowieckie;legionowski;74348;187;32648;122;t1408
mazowieckie;lipski;25912;59;12310;48;t1409
mazowieckie;łosicki;18206;0;8794;0;t1410
mazowieckie;makowski;40215;36;18742;1;t1411
mazowieckie;miński;126597;225;57097;121;t1412
mazowieckie;mławski;59433;18;28327;6;t1413
mazowieckie;nowodworski;108739;165;50881;73;t1414
mazowieckie;ostrołęcki;48829;0;22843;0;t1415
mazowieckie;ostrowski;49412;48;23908;36;t1416
mazowieckie;otwocki;89914;81;43248;45;t1417
mazowieckie;piaseczyński;239970;209;112878;99;t1418
mazowieckie;płocki;84038;47;39810;36;t1419
mazowieckie;płoński;78719;125;36655;84;t1420
mazowieckie;pruszkowski;131895;7;62447;1;t1421
mazowieckie;przasnyski;49486;3;23653;0;t1422
mazowieckie;przysuski;27897;81;13144;73;t1423
mazowieckie;pułtuski;45648;9;21864;0;t1424
mazowieckie;radomski;62094;265;29051;134;t1425
mazowieckie;siedlecki;30527;35;14635;27;t1426
mazowieckie;sierpecki;43717;94;20729;53;t1427
mazowieckie;sochaczewski;81906;0;38721;0;t1428
mazowieckie;sokołowski;41729;0;19617;0;t1429
