wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnośląskie;bolesławiecki;71731;118;32449;47;t0201
dolnośląskie;dzierżoniowski;66909;91;31586;87;t0202
dolnośląskie;głogowski;63251;177;28806;94;t0203
dolnośląskie;górowski;26416;36;12010;35;t0204
dolnośląskie;jaworski;38523;12;17439;5;t0205
dolnośląskie;jeleniogórski;50324;43;23482;21;t0206
dolnośląskie;kamiennogórski;30855;17;14500;6;t0207
dolnośląskie;kłodzki;126360;247;59327;111;t0208
dolnośląskie;legnicki;43660;79;19498;43;t0209
dolnośląskie;lubański;29470;45;12471;35;t0210
dolnośląskie;lubiński;123134;215;59023;104;t0211
dolnośląskie;lwówecki;40956;26;18997;1;t0212
dolnośląskie;milicki;33731;59;15880;33;t0213
dolnośląskie;oleśnicki;95183;129;43221;96;t0214
dolnośląskie;oławski;44928;196;21470;0;t0215
dolnośląskie;polkowicki;41044;88;17975;45;t0216
dolnośląskie;strzeliński;36504;42;17101;33;t0217
dolnośląskie;średzki;21622;33;10254;27;t0218
dolnośląskie;świdnicki;99505;177;45821;121;t0219
dolnośląskie;trzebnicki;58678;164;28122;92;t0220
dolnośląskie;wałbrzyski;30932;11;14703;5;t0221
dolnośląskie;wołowski;41708;31;18617;17;t0222
dolnośląskie;wrocławski;101976;126;48589;89;t0223
dolnośląskie;ząbkowicki;54325;76;25554;23;t0224
dolnośląskie;zgorzelecki;57982;136;26392;114;t0225
dolnośląskie;złotoryjski;34121;6;15329;2;t0226
dolnośląskie;Jelenia Góra;88550;110;42611;48;t0261
dolnośląskie;Legnica;88254;139;41666;83;t0262
dolnośląskie;Wrocław;1038743;677;489231;338;t0264
dolnośląskie;Wałbrzych;208898;98;97856;82;t0265
kujawsko-pomorskie;aleksandrowski;131667;99;62689;55;t0401
kujawsko-pomorskie;brodnicki;70645;151;33118;89;t0402
kujawsko-pomorskie;bydgoski;75949;50;35899;23;t0403
kujawsko-pomorskie;chełmiński;41248;130;19334;100;t0404
kujawsko-pomorskie;golubsko-dobrzyński;35074;88;16316;27;t0405
kujawsko-pomorskie;grudziądzki;25788;83;11637;32;t0406
kujawsko-pomorskie;inowrocławski;103514;130;49186;79;t0407
kujawsko-pomorskie;lipnowski;52215;61;23957;37;t0408
kujawsko-pomorskie;mogileński;31470;97;14799;58;t0409
kujawsko-pomorskie;nakielski;82911;199;37423;97;t0410
kujawsko-pomorskie;radziejowski;44065;0;20579;0;t0411
kujawsko-pomorskie;rypiński;34866;91;16195;36;t0412
kujawsko-pomorskie;sępoleński;47992;102;22172;64;t0413
kujawsko-pomorskie;świecki;76543;64;35022;28;t0414
kujawsko-pomorskie;toruński;70915;55;30995;24;t0415
kujawsko-pomorskie;tucholski;38709;9;17693;1;t0416
kujawsko-pomorskie;wąbrzeski;27459;28;12521;18;t0417
kujawsko-pomorskie;włocławski;64076;112;30522;63;t0418
kujawsko-pomorskie;żniński;52149;14;24633;0;t0419
kujawsko-pomorskie;Bydgoszcz;428350;607;201173;304;t0461
kujawsko-pomorskie;Grudziądz;121919;215;56505;100;t0462
kujawsko-pomorskie;Toruń;189520;357;87994;186;t0463
kujawsko-pomorskie;Włocławek;92622;143;42114;47;t0464
lubelskie;bialski;60736;97;27814;56;t0601
lubelskie;biłgorajski;53169;77;25234;33;t0602
lubelskie;chełmski;35779;36;16865;25;t0603
lubelskie;hrubieszowski;43975;85;20145;45;t0604
lubelskie;janowski;30158;101;14102;51;t0605
lubelskie;krasnostawski;40490;68;18673;32;t0606
lubelskie;kraśnicki;65658;116;31008;65;t0607
lubelskie;lubartowski;54082;110;25441;37;t0608
lubelskie;lubelski;82863;99;37732;51;t0609
lubelskie;łęczyński;39793;6;19019;6;t0610
lubelskie;łukowski;54951;103;25741;61;t0611
lubelskie;opolski;44037;64;20214;41;t0612
lubelskie;parczewski;27704;15;12807;15;t0613
lubelskie;puławski;96631;193;46081;126;t0614
lubelskie;radzyński;30438;161;14473;96;t0615
lubelskie;rycki;52854;73;25342;23;t0616
lubelskie;świdnicki;45147;145;21590;83;t0617
lubelskie;tomaszowski;55005;91;25612;33;t0618
lubelskie;włodawski;34676;37;16152;2;t0619
lubelskie;zamojski;47897;89;23197;36;t0620
lubelskie;Biała Podlaska;68992;156;32521;85;t0661
lubelskie;Chełm;62378;23;28533;1;t0662
lubelskie;Lublin;438114;564;201888;203;t0663
lubelskie;Zamość;88053;139;41414;80;t0664
lubuskie;gorzowski;28624;10;13324;4;t0801
lubuskie;krośnieński;50295;26;23951;4;t0802
lubuskie;międzyrzecki;66233;110;30954;85;t0803
lubuskie;nowosolski;90042;102;40578;46;t0804
lubuskie;słubicki;37651;69;17910;36;t0805
lubuskie;strzelecko-drezdenecki;49588;11;22465;2;t0806
lubuskie;sulęciński;29996;69;13684;18;t0807
lubuskie;świebodziński;54635;45;25360;3;t0808
lubuskie;zielonogórski;87718;44;40787;21;t0809
lubuskie;żagański;67108;80;30900;45;t0810
lubuskie;żarski;98479;86;46394;13;t0811
lubuskie;wschowski;26564;0;12648;0;t0812
lubuskie;Gorzów Wielkopolski;147569;449;68445;150;t0861
lubuskie;Zielona Góra;149407;480;71307;240;t0862
łódzkie;bełchatowski;72180;18;33078;3;t1001
łódzkie;kutnowski;87316;138;42235;79;t1002
łódzkie;łaski;35707;95;17068;37;t1003
łódzkie;łęczycki;50522;78;23251;34;t1004
łódzkie;łowicki;89173;123;42531;74;t1005
łódzkie;łódzki wschodni;36405;127;16497;90;t1006
łódzkie;opoczyński;58238;31;26334;24;t1007
łódzkie;pabianicki;106403;270;50162;177;t1008
łódzkie;pajęczański;29528;41;13412;12;t1009
łódzkie;piotrkowski;49071;46;22787;34;t1010
łódzkie;poddębicki;36652;53;17303;53;t1011
łódzkie;radomszczański;86818;34;40617;17;t1012
łódzkie;rawski;28095;42;12749;27;t1013
łódzkie;sieradzki;98171;140;44945;89;t1014
łódzkie;skierniewicki;23657;0;11215;0;t1015
łódzkie;tomaszowski;104002;151;49178;85;t1016
łódzkie;wieluński;86537;7;41221;1;t1017
łódzkie;wieruszowski;32538;15;14760;0;t1018
łódzkie;zduńskowolski;49039;57;22674;4;t1019
łódzkie;zgierski;127522;218;60018;123;t1020
łódzkie;brzeziński;34325;80;16335;49;t1021
łódzkie;Łódź;891579;915;422578;492;t1061
łódzkie;Piotrków Trybunalski;79392;239;37355;162;t1062
łódzkie;Skierniewice;71178;85;33713;22;t1063
małopolskie;bocheński;76687;152;34357;56;t1201
małopolskie;brzeski;65358;95;30302;48;t1202
małopolskie;chrzanowski;109177;164;50290;54;t1203
małopolskie;dąbrowski;41365;90;19328;57;t1204
małopolskie;gorlicki;84146;212;39791;117;t1205
małopolskie;krakowski;155389;164;72562;92;t1206
małopolskie;limanowski;86394;81;39572;43;t1207
małopolskie;miechowski;59890;55;28694;38;t1208
małopolskie;myślenicki;100465;229;47261;116;t1209
małopolskie;nowosądecki;127755;381;57449;184;t1210
małopolskie;nowotarski;128170;66;58347;35;t1211
małopolskie;olkuski;108021;35;50178;7;t1212
małopolskie;oświęcimski;118391;180;55799;123;t1213
małopolskie;proszowicki;42509;29;20175;23;t1214
małopolskie;suski;67322;11;31746;1;t1215
małopolskie;tarnowski;93120;146;43063;65;t1216
małopolskie;tatrzański;34691;43;16446;27;t1217
małopolskie;wadowicki;116075;144;52013;81;t1218
małopolskie;wielicki;107560;215;48664;98;t1219
małopolskie;Kraków;1163651;1103;553086;531;t1261
małopolskie;Nowy Sącz;62351;14;29497;0;t1262
małopolskie;Tarnów;110100;196;50701;104;t1263
mazowieckie;białobrzeski;34669;50;16391;20;t1401
mazowieckie;ciechanowski;78214;143;37125;79;t1402
mazowieckie;garwoliński;80511;38;38305;32;t1403
mazowieckie;gostyniński;27348;0;13134;0;t1404
mazowieckie;grodziski;93056;75;42767;34;t1405
mazowieckie;grójecki;102388;82;48463;47;t1406
mazowieckie;kozienicki;42495;100;20242;68;t1407
mazowieckie;legionowski;73870;146;32374;81;t1408
mazowieckie;lipski;25708;21;12188;11;t1409
mazowieckie;łosicki;17988;38;8662;21;t1410
mazowieckie;makowski;39609;31;18473;7;t1411
mazowieckie;miński;125624;177;56570;122;t1412
mazowieckie;mławski;58585;134;27909;82;t1413
mazowieckie;nowodworski;107415;132;50139;70;t1414
mazowieckie;ostrołęcki;48504;96;22652;52;t1415
mazowieckie;ostrowski;48964;0;23596;0;t1416
mazowieckie;otwocki;89121;195;42826;98;t1417
mazowieckie;piaseczyński;238595;367;112216;160;t1418
mazowieckie;płocki;83436;255;39462;115;t1419
mazowieckie;płoński;78019;157;36333;111;t1420
mazowieckie;pruszkowski;130900;185;62003;100;t1421
mazowieckie;przasnyski;49201;0;23476;0;t1422
mazowieckie;przysuski;27603;111;13009;58;t1423
mazowieckie;pułtuski;45313;123;21681;84;t1424
mazowieckie;radomski;61340;130;28617;114;t1425
mazowieckie;siedlecki;30336;52;14532;24;t1426
mazowieckie;sierpecki;43259;113;20443;71;t1427
mazowieckie;sochaczewski;81255;181;38310;124;t1428
mazowieckie;sokołowski;41387;116;19481;56;t1429
mazowieckie;szydłowiecki;19772;84;9000;73;t1430
mazowieckie;warszawski zachodni;112229;90;53283;49;t1432
mazowieckie;węgrowski;44978;70;21497;39;t1433
mazowieckie;wołomiński;201734;449;91904;275;t1434
mazowieckie;wyszkowski;60921;30;28845;18;t1435
mazowieckie;zwoleński;27486;18;13068;6;t1436
mazowieckie;żuromiński;28705;160;14005;101;t1437
mazowieckie;żyrardowski;55056;108;25908;59;t1438
mazowieckie;Ostrołęka;69128;82;33161;53;t1461
mazowieckie;Płock;126978;152;58925;83;t1462
mazowieckie;Radom;229039;331;105888;156;t1463
mazowieckie;Siedlce;115182;140;54394;76;t1464
mazowieckie;Warszawa;2516797;2341;1183429;1208;t1465
opolskie;brzeski;69820;2;32972;2;t1601
opolskie;głubczycki;40783;77;19424;49;t1602
opolskie;kędzierzyńsko-kozielski;79142;85;37587;16;t1603
opolskie;kluczborski;53214;25;25236;19;t1604
opolskie;krapkowicki;95332;71;43928;52;t1605
opolskie;namysłowski;27551;97;13080;63;t1606
opolskie;nyski;92339;23;44511;12;t1607
opolskie;oleski;47894;61;22732;19;t1608
opolskie;opolski;64957;50;30436;30;t1609
opolskie;prudnicki;39165;60;18434;26;t1610
opolskie;strzelecki;55696;73;25980;35;t1611
opolskie;Opole;184625;272;87019;127;t1661
podkarpackie;bieszczadzki;9816;37;4743;12;t1801
podkarpackie;brzozowski;45587;30;21424;20;t1802
podkarpackie;dębicki;64733;117;27969;68;t1803
podkarpackie;jarosławski;54639;143;25281;87;t1804
podkarpackie;jasielski;58162;76;26464;6;t1805
podkarpackie;kolbuszowski;22395;43;10384;7;t1806
podkarpackie;krośnieński;49007;38;23679;5;t1807
podkarpackie;leżajski;39818;184;18142;107;t1808
podkarpackie;lubaczowski;32256;99;14968;36;t1809
podkarpackie;łańcucki;39953;58;19019;23;t1810
podkarpackie;mielecki;86473;110;41115;45;t1811
podkarpackie;niżański;32064;28;15410;18;t1812
podkarpackie;przemyski;18902;7;9166;4;t1813
podkarpackie;przeworski;29316;121;14028;97;t1814
podkarpackie;ropczycko-sędziszowski;37665;101;17205;21;t1815
podkarpackie;rzeszowski;53884;106;25158;47;t1816
podkarpackie;sanocki;37516;30;17405;8;t1817
podkarpackie;stalowowolski;72396;83;34304;34;t1818
podkarpackie;strzyżowski;27038;0;13085;0;t1819
podkarpackie;tarnobrzeski;15172;29;6807;22;t1820
podkarpackie;leski;14033;0;6717;0;t1821
podkarpackie;Krosno;42943;89;20519;52;t1861
podkarpackie;Przemyśl;44044;160;20273;102;t1862
podkarpackie;Rzeszów;551989;777;258161;377;t1863
podkarpackie;Tarnobrzeg;60277;68;28368;37;t1864
podlaskie;augustowski;42232;71;19558;36;t2001
podlaskie;białostocki;61705;68;29538;44;t2002
podlaskie;bielski;35791;78;17039;37;t2003
podlaskie;grajewski;27592;82;13255;45;t2004
podlaskie;hajnowski;28763;56;13608;33;t2005
podlaskie;kolneński;21840;14;10271;9;t2006
podlaskie;łomżyński;15227;0;7260;0;t2007
podlaskie;moniecki;22786;13;10788;11;t2008
podlaskie;sejneński;11919;36;5605;17;t2009
podlaskie;siemiatycki;31216;39;15043;19;t2010
podlaskie;sokólski;42205;53;20239;31;t2011
podlaskie;suwalski;8523;5;4077;3;t2012
podlaskie;wysokomazowiecki;46092;64;22015;33;t2013
podlaskie;zambrowski;26285;129;12198;76;t2014
podlaskie;Białystok;481002;417;224532;185;t2061
podlaskie;Łomża;66689;161;31781;77;t2062
podlaskie;Suwałki;54915;51;25378;20;t2063
pomorskie;bytowski;66582;101;31185;65;t2201
pomorskie;chojnicki;85064;172;40132;102;t2202
pomorskie;człuchowski;40038;10;18131;4;t2203
pomorskie;gdański;57412;15;27502;3;t2204
pomorskie;kartuski;88935;247;41374;158;t2205
pomorskie;kościerski;61721;166;29549;71;t2206
pomorskie;kwidzyński;62562;249;29465;110;t2207
pomorskie;lęborski;56266;174;26057;66;t2208
pomorskie;malborski;40406;8;19221;0;t2209
pomorskie;nowodworski;31888;49;14861;0;t2210
pomorskie;pucki;57398;94;27161;35;t2211
pomorskie;słupski;45325;72;21633;32;t2212
pomorskie;starogardzki;96706;109;45536;103;t2213
pomorskie;tczewski;78644;158;36097;60;t2214
pomorskie;wejherowski;154299;242;72615;127;t2215
pomorskie;sztumski;41359;70;18906;39;t2216
pomorskie;Gdańsk;809223;683;385095;332;t2261
pomorskie;Gdynia;280301;289;127288;152;t2262
pomorskie;Słupsk;113071;209;53460;152;t2263
pomorskie;Sopot;92542;118;44920;65;t2264
śląskie;będziński;109531;137;51608;73;t2401
śląskie;bielski;106804;62;47357;20;t2402
śląskie;cieszyński;157823;308;73597;199;t2403
śląskie;częstochowski;88235;137;41626;78;t2404
śląskie;gliwicki;131194;91;57705;48;t2405
śląskie;kłobucki;56942;29;26569;5;t2406
śląskie;lubliniecki;53236;198;24674;153;t2407
śląskie;mikołowski;41783;0;19960;0;t2408
śląskie;myszkowski;54968;112;26071;73;t2409
śląskie;pszczyński;64208;107;30297;69;t2410
śląskie;raciborski;88144;113;41233;69;t2411
śląskie;rybnicki;25778;17;12495;5;t2412
śląskie;tarnogórski;145960;157;69723;94;t2413
śląskie;bieruńsko-lędziński;38529;64;18299;50;t2414
śląskie;wodzisławski;123661;205;57569;116;t2415
śląskie;zawierciański;101544;158;47239;93;t2416
śląskie;żywiecki;104383;78;49236;11;t2417
śląskie;Bielsko-Biała;214898;227;100547;55;t2461
śląskie;Bytom;142750;127;66867;74;t2462
śląskie;Chorzów;113055;174;53105;79;t2463
śląskie;Częstochowa;259223;404;121359;214;t2464
śląskie;Dąbrowa Górnicza;89725;77;41868;57;t2465
śląskie;Gliwice;275312;176;129023;101;t2466
śląskie;Jastrzębie-Zdrój;57719;2;27100;0;t2467
śląskie;Jaworzno;91484;69;42318;34;t2468
śląskie;Katowice;583401;369;273698;165;t2469
śląskie;Mysłowice;49682;115;23902;46;t2470
śląskie;Piekary Śląskie;37761;70;17680;31;t2471
śląskie;Ruda Śląska;181836;100;87571;87;t2472
śląskie;Rybnik;66496;122;31094;64;t2473
śląskie;Siemianowice Śląskie;88074;79;41863;37;t2474
śląskie;Sosnowiec;210835;243;97307;90;t2475
śląskie;Świętochłowice;40531;72;18999;22;t2476
śląskie;Tychy;111734;159;53576;148;t2477
śląskie;Zabrze;134367;269;60881;120;t2478
śląskie;Żory;61835;47;28879;6;t2479
świętokrzyskie;buski;50688;128;23728;98;t2601
świętokrzyskie;jędrzejowski;75588;52;35578;45;t2602
świętokrzyskie;kazimierski;25033;68;11447;37;t2603
świętokrzyskie;kielecki;114290;200;51814;116;t2604
świętokrzyskie;konecki;54598;54;25162;5;t2605
świętokrzyskie;opatowski;35563;104;16619;47;t2606
świętokrzyskie;ostrowiecki;88528;151;41663;93;t2607
świętokrzyskie;pińczowski;35026;12;15459;7;t2608
świętokrzyskie;sandomierski;77057;142;36194;103;t2609
świętokrzyskie;skarżyski;50688;107;24042;60;t2610
świętokrzyskie;starachowicki;62189;36;29172;18;t2611
świętokrzyskie;staszowski;36286;6;16952;5;t2612
świętokrzyskie;włoszczowski;44535;33;20647;14;t2613
świętokrzyskie;Kielce;280634;354;130293;171;t2661
warmińsko-mazurskie;bartoszycki;53809;211;25161;112;t2801
warmińsko-mazurskie;braniewski;29576;82;14169;4;t2802
warmińsko-mazurskie;działdowski;50860;103;24071;82;t2803
warmińsko-mazurskie;elbląski;36846;6;17808;5;t2804
warmińsko-mazurskie;ełcki;82764;87;35986;25;t2805
warmińsko-mazurskie;giżycki;42362;35;20479;7;t2806
warmińsko-mazurskie;iławski;66958;160;30833;70;t2807
warmińsko-mazurskie;kętrzyński;41208;34;19731;4;t2808
warmińsko-mazurskie;lidzbarski;29466;0;14039;0;t2809
warmińsko-mazurskie;mrągowski;28512;0;13197;0;t2810
warmińsko-mazurskie;nidzicki;46554;101;19146;55;t2811
warmińsko-mazurskie;nowomiejski;36441;86;16967;44;t2812
warmińsko-mazurskie;olecki;24207;41;11563;9;t2813
warmińsko-mazurskie;olsztyński;94071;189;44201;67;t2814
warmińsko-mazurskie;ostródzki;68822;159;32776;68;t2815
warmińsko-mazurskie;piski;50140;98;23491;56;t2816
warmińsko-mazurskie;szczycieński;54640;114;25985;53;t2817
warmińsko-mazurskie;gołdapski;18690;83;8696;19;t2818
warmińsko-mazurskie;węgorzewski;20324;29;9879;28;t2819
warmińsko-mazurskie;Elbląg;124197;178;59422;109;t2861
warmińsko-mazurskie;Olsztyn;225755;197;104994;134;t2862
wielkopolskie;chodzieski;39595;88;18520;54;t3001
wielkopolskie;czarnkowsko-trzcianecki;85454;120;39759;101;t3002
wielkopolskie;gnieźnieński;143142;248;67919;109;t3003
wielkopolskie;gostyński;77313;234;36818;138;t3004
wielkopolskie;grodziski;36381;6;17628;3;t3005
wielkopolskie;jarociński;54797;191;26253;137;t3006
wielkopolskie;kaliski;62405;11;29744;7;t3007
wielkopolskie;kępiński;45204;83;21412;52;t3008
wielkopolskie;kolski;63777;27;29751;3;t3009
wielkopolskie;koniński;75826;81;34813;7;t3010
wielkopolskie;kościański;63518;47;30235;13;t3011
wielkopolskie;krotoszyński;61449;265;29375;151;t3012
wielkopolskie;leszczyński;19974;62;9477;19;t3013
wielkopolskie;międzychodzki;33720;0;16089;0;t3014
wielkopolskie;nowotomyski;60305;125;28892;13;t3015
wielkopolskie;obornicki;79091;63;35612;48;t3016
wielkopolskie;ostrowski;129892;53;59538;12;t3017
wielkopolskie;ostrzeszowski;42538;8;19629;0;t3018
wielkopolskie;pilski;96603;95;46398;41;t3019
