wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;25;0;0;0;t00
dolnośląskie;bolesławiecki;70594;138;32043;111;t0201
dolnośląskie;dzierżoniowski;66383;152;31291;55;t0202
dolnośląskie;głogowski;62372;102;28318;77;t0203
dolnośląskie;górowski;26135;68;11809;16;t0204
dolnośląskie;jaworski;38190;50;17279;23;t0205
dolnośląskie;jeleniogórski;49939;40;23300;18;t0206
dolnośląskie;kamiennogórski;30408;25;14250;4;t0207
dolnośląskie;kłodzki;125157;370;58829;199;t0208
dolnośląskie;legnicki;43166;6;19250;6;t0209
dolnośląskie;lubański;29035;5;12264;0;t0210
dolnośląskie;lubiński;122142;201;58519;111;t0211
dolnośląskie;lwówecki;40441;17;18744;8;t0212
dolnośląskie;milicki;33357;61;15626;18;t0213
dolnośląskie;oleśnicki;93656;197;42330;96;t0214
dolnośląskie;oławski;44459;85;21430;67;t0215
dolnośląskie;polkowicki;40505;29;17689;19;t0216
dolnośląskie;strzeliński;36221;63;16947;50;t0217
dolnośląskie;średzki;21421;36;10154;19;t0218
dolnośląskie;świdnicki;98317;195;45267;116;t0219
dolnośląskie;trzebnicki;58060;72;27762;3;t0220
dolnośląskie;wałbrzyski;30751;14;14595;8;t0221
dolnośląskie;wołowski;41340;31;18448;15;t0222
dolnośląskie;wrocławski;100853;76;47975;32;t0223
dolnośląskie;ząbkowicki;53826;53;25293;29;t0224
dolnośląskie;zgorzelecki;57109;88;26012;61;t0225
dolnośląskie;złotoryjski;33826;43;15193;17;t0226
dolnośląskie;Jelenia Góra;87538;110;42126;47;t0261
dolnośląskie;Legnica;87335;137;41164;100;t0262
dolnośląskie;Wrocław;1030593;766;485434;393;t0264
dolnośląskie;Wałbrzych;207852;83;97379;55;t0265
kujawsko-pomorskie;aleksandrowski;130971;69;62254;32;t0401
kujawsko-pomorskie;brodnicki;69741;126;32593;77;t0402
kujawsko-pomorskie;bydgoski;75292;53;35540;23;t0403
kujawsko-pomorskie;chełmiński;40514;49;18942;15;t0404
kujawsko-pomorskie;golubsko-dobrzyński;34839;0;16202;0;t0405
kujawsko-pomorskie;grudziądzki;25270;45;11335;18;t0406
kujawsko-pomorskie;inowrocławski;102371;141;48645;38;t0407
kujawsko-pomorskie;lipnowski;51449;51;23499;34;t0408
kujawsko-pomorskie;mogileński;30892;118;14467;56;t0409
kujawsko-pomorskie;nakielski;81691;79;36888;38;t0410
kujawsko-pomorskie;radziejowski;43786;30;20399;2;t0411
kujawsko-pomorskie;rypiński;34207;38;15786;10;t0412
kujawsko-pomorskie;sępoleński;47732;46;22070;29;t0413
kujawsko-pomorskie;świecki;75558;83;34584;41;t0414
kujawsko-pomorskie;toruński;70339;42;30733;6;t0415
kujawsko-pomorskie;tucholski;38422;12;17500;7;t0416
kujawsko-pomorskie;wąbrzeski;27051;91;12323;63;t0417
kujawsko-pomorskie;włocławski;63221;43;30011;20;t0418
kujawsko-pomorskie;żniński;51768;83;24394;67;t0419
kujawsko-pomorskie;Bydgoszcz;423985;503;199266;200;t0461
kujawsko-pomorskie;Grudziądz;120429;164;55789;96;t0462
kujawsko-pomorskie;Toruń;187320;290;86983;152;t0463
kujawsko-pomorskie;Włocławek;91429;118;41602;54;t0464
lubelskie;bialski;60041;141;27456;58;t0601
lubelskie;biłgorajski;52577;108;24931;18;t0602
lubelskie;chełmski;35444;36;16718;11;t0603
lubelskie;hrubieszowski;43388;99;19860;30;t0604
lubelskie;janowski;29700;129;13820;76;t0605
lubelskie;krasnostawski;40168;48;18520;23;t0606
lubelskie;kraśnicki;65052;103;30750;59;t0607
lubelskie;lubartowski;53385;57;25087;41;t0608
lubelskie;lubelski;82001;83;37357;32;t0609
lubelskie;łęczyński;39474;13;18834;7;t0610
lubelskie;łukowski;54176;125;25353;68;t0611
lubelskie;opolski;43439;124;19904;46;t0612
lubelskie;parczewski;27371;22;12636;17;t0613
lubelskie;puławski;95601;242;45563;150;t0614
lubelskie;radzyński;29810;28;14238;28;t0615
lubelskie;rycki;52426;150;25140;78;t0616
lubelskie;świdnicki;44581;130;21286;83;t0617
lubelskie;tomaszowski;54257;73;25348;27;t0618
lubelskie;włodawski;34503;141;16083;5;t0619
lubelskie;zamojski;47474;83;23014;58;t0620
lubelskie;Biała Podlaska;68110;160;32094;80;t0661
lubelskie;Chełm;61669;45;28191;30;t0662
lubelskie;Lublin;433609;605;200080;176;t0663
lubelskie;Zamość;87121;124;40887;26;t0664
lubuskie;gorzowski;28457;10;13230;3;t0801
lubuskie;krośnieński;49769;64;23786;63;t0802
lubuskie;międzyrzecki;65479;21;30602;10;t0803
lubuskie;nowosolski;88962;119;40097;52;t0804
lubuskie;słubicki;37081;40;17602;32;t0805
lubuskie;strzelecko-drezdenecki;48859;73;22254;5;t0806
lubuskie;sulęciński;29540;19;13506;7;t0807
lubuskie;świebodziński;54276;3;25212;0;t0808
lubuskie;zielonogórski;86742;125;40295;16;t0809
lubuskie;żagański;66095;78;30602;25;t0810
lubuskie;żarski;97661;120;46145;63;t0811
lubuskie;wschowski;25910;0;12374;0;t0812
lubuskie;Gorzów Wielkopolski;145156;375;67547;171;t0861
lubuskie;Zielona Góra;148154;605;70734;360;t0862
łódzkie;bełchatowski;71116;176;32595;47;t1001
łódzkie;kutnowski;86276;108;41599;26;t1002
łódzkie;łaski;35389;75;16925;60;t1003
łódzkie;łęczycki;49904;71;22907;40;t1004
łódzkie;łowicki;88470;220;42164;120;t1005
łódzkie;łódzki wschodni;35924;122;16233;53;t1006
łódzkie;opoczyński;57349;39;25861;6;t1007
łódzkie;pabianicki;105091;262;49429;161;t1008
łódzkie;pajęczański;29267;20;13277;0;t1009
łódzkie;piotrkowski;48492;27;22429;10;t1010
łódzkie;poddębicki;36211;57;17090;52;t1011
łódzkie;radomszczański;85286;165;39873;89;t1012
łódzkie;rawski;27756;37;12510;12;t1013
łódzkie;sieradzki;96686;139;44318;62;t1014
łódzkie;skierniewicki;23419;0;11124;0;t1015
łódzkie;tomaszowski;102760;86;48506;36;t1016
łódzkie;wieluński;85810;29;40866;11;t1017
łódzkie;wieruszowski;32269;65;14596;42;t1018
łódzkie;zduńskowolski;48275;48;22327;9;t1019
łódzkie;zgierski;125955;209;59213;100;t1020
łódzkie;brzeziński;33903;61;16049;31;t1021
łódzkie;Łódź;884560;811;419224;447;t1061
łódzkie;Piotrków Trybunalski;77975;334;36704;207;t1062
łódzkie;Skierniewice;70127;113;33331;13;t1063
małopolskie;bocheński;75391;151;33579;65;t1201
małopolskie;brzeski;64521;125;29822;75;t1202
małopolskie;chrzanowski;108127;166;49736;55;t1203
małopolskie;dąbrowski;40659;13;18895;11;t1204
małopolskie;gorlicki;83088;160;39237;99;t1205
małopolskie;krakowski;153305;210;71449;126;t1206
małopolskie;limanowski;85144;86;38974;37;t1207
małopolskie;miechowski;59345;60;28373;33;t1208
małopolskie;myślenicki;99036;232;46532;109;t1209
małopolskie;nowosądecki;126013;242;56560;132;t1210
małopolskie;nowotarski;126665;215;57629;97;t1211
małopolskie;olkuski;107106;65;49709;25;t1212
małopolskie;oświęcimski;116847;182;54848;125;t1213
małopolskie;proszowicki;41926;0;19912;0;t1214
małopolskie;suski;66785;108;31579;62;t1215
małopolskie;tarnowski;91900;93;42439;49;t1216
małopolskie;tatrzański;34173;22;16160;0;t1217
małopolskie;wadowicki;114248;154;51021;51;t1218
małopolskie;wielicki;105922;233;47790;117;t1219
małopolskie;Kraków;1154418;1208;548440;658;t1261
małopolskie;Nowy Sącz;61663;15;29048;0;t1262
małopolskie;Tarnów;108489;219;49965;96;t1263
mazowieckie;białobrzeski;34147;32;16156;15;t1401
mazowieckie;ciechanowski;77299;113;36657;61;t1402
mazowieckie;garwoliński;79483;184;37760;178;t1403
mazowieckie;gostyniński;27228;0;13117;0;t1404
mazowieckie;grodziski;92531;200;42496;103;t1405
mazowieckie;grójecki;100991;107;47824;73;t1406
mazowieckie;kozienicki;41823;105;19846;89;t1407
mazowieckie;legionowski;72877;228;31842;118;t1408
mazowieckie;lipski;25379;61;12037;36;t1409
mazowieckie;łosicki;17684;68;8459;43;t1410
mazowieckie;makowski;38873;52;18256;8;t1411
mazowieckie;miński;124196;169;55822;102;t1412
mazowieckie;mławski;57580;97;27335;34;t1413
mazowieckie;nowodworski;105654;235;49351;100;t1414
mazowieckie;ostrołęcki;47904;66;22355;39;t1415
mazowieckie;ostrowski;48186;35;23205;13;t1416
mazowieckie;otwocki;87878;174;42078;110;t1417
mazowieckie;piaseczyński;236423;287;111106;151;t1418
mazowieckie;płocki;82128;195;38733;90;t1419
mazowieckie;płoński;77035;86;35754;8;t1420
mazowieckie;pruszkowski;129437;77;61214;29;t1421
mazowieckie;przasnyski;48515;14;23197;14;t1422
mazowieckie;przysuski;27285;54;12836;17;t1423
mazowieckie;pułtuski;44586;78;21195;24;t1424
mazowieckie;radomski;60257;61;28065;33;t1425
mazowieckie;siedlecki;29895;30;14296;19;t1426
mazowieckie;sierpecki;42468;155;20026;94;t1427
mazowieckie;sochaczewski;80353;118;37785;75;t1428
mazowieckie;sokołowski;40866;182;19284;122;t1429
mazowieckie;szydłowiecki;19319;97;8711;59;t1430
mazowieckie;warszawski zachodni;110925;92;52550;54;t1432
