wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;25;0;0;0;t00
dolnośląskie;bolesławiecki;70005;192;31683;113;t0201
dolnośląskie;dzierżoniowski;65829;149;30983;33;t0202
dolnośląskie;głogowski;61585;184;27941;98;t0203
dolnośląskie;górowski;25864;0;11675;0;t0204
dolnośląskie;jaworski;37896;113;17126;53;t0205
dolnośląskie;jeleniogórski;49558;175;23185;96;t0206
dolnośląskie;kamiennogórski;30101;147;14174;108;t0207
dolnośląskie;kłodzki;123661;295;58154;140;t0208
dolnośląskie;legnicki;42810;53;19097;17;t0209
dolnośląskie;lubański;28753;75;12042;16;t0210
dolnośląskie;lubiński;121302;145;58059;81;t0211
dolnośląskie;lwówecki;40014;124;18513;80;t0212
dolnośląskie;milicki;32988;145;15525;90;t0213
dolnośląskie;oleśnicki;92009;237;41479;104;t0214
dolnośląskie;oławski;44298;0;21359;0;t0215
dolnośląskie;polkowicki;40166;80;17536;40;t0216
dolnośląskie;strzeliński;35991;58;16824;36;t0217
dolnośląskie;średzki;21278;78;10074;60;t0218
dolnośląskie;świdnicki;97107;212;44669;149;t0219
dolnośląskie;trzebnicki;57563;116;27569;64;t0220
dolnośląskie;wałbrzyski;30571;20;14501;17;t0221
dolnośląskie;wołowski;40958;31;18325;5;t0222
dolnośląskie;wrocławski;100041;53;47659;39;t0223
dolnośląskie;ząbkowicki;53428;160;25157;82;t0224
dolnośląskie;zgorzelecki;56272;352;25619;294;t0225
dolnośląskie;złotoryjski;33344;174;14941;106;t0226
dolnośląskie;Jelenia Góra;86542;160;41618;56;t0261
dolnośląskie;Legnica;86495;100;40727;50;t0262
dolnośląskie;Wrocław;1024437;910;482386;457;t0264
dolnośląskie;Wałbrzych;206660;51;96703;31;t0265
kujawsko-pomorskie;aleksandrowski;130337;139;61961;108;t0401
kujawsko-pomorskie;brodnicki;69025;167;32131;100;t0402
kujawsko-pomorskie;bydgoski;74737;160;35160;72;t0403
kujawsko-pomorskie;chełmiński;40109;150;18804;96;t0404
kujawsko-pomorskie;golubsko-dobrzyński;34550;0;16048;0;t0405
kujawsko-pomorskie;grudziądzki;25003;91;11210;56;t0406
kujawsko-pomorskie;inowrocławski;101722;54;48395;29;t0407
kujawsko-pomorskie;lipnowski;50924;139;23240;51;t0408
kujawsko-pomorskie;mogileński;30278;74;14156;42;t0409
kujawsko-pomorskie;nakielski;80917;80;36500;57;t0410
kujawsko-pomorskie;radziejowski;43485;221;20230;150;t0411
kujawsko-pomorskie;rypiński;33850;20;15622;8;t0412
kujawsko-pomorskie;sępoleński;47456;26;21959;11;t0413
kujawsko-pomorskie;świecki;74547;235;34322;130;t0414
kujawsko-pomorskie;toruński;69522;99;30403;58;t0415
kujawsko-pomorskie;tucholski;38114;151;17417;48;t0416
kujawsko-pomorskie;wąbrzeski;26541;51;12037;39;t0417
kujawsko-pomorskie;włocławski;62699;70;29721;57;t0418
kujawsko-pomorskie;żniński;51487;65;24292;40;t0419
kujawsko-pomorskie;Bydgoszcz;421027;561;198111;320;t0461
kujawsko-pomorskie;Grudziądz;119279;259;55265;137;t0462
kujawsko-pomorskie;Toruń;185427;342;86173;244;t0463
kujawsko-pomorskie;Włocławek;90494;170;41137;87;t0464
lubelskie;bialski;59486;173;27158;28;t0601
lubelskie;biłgorajski;52052;80;24650;46;t0602
lubelskie;chełmski;35171;62;16597;10;t0603
lubelskie;hrubieszowski;42936;157;19666;61;t0604
lubelskie;janowski;29342;87;13627;55;t0605
lubelskie;krasnostawski;39801;94;18376;45;t0606
lubelskie;kraśnicki;64544;152;30537;55;t0607
lubelskie;lubartowski;52776;89;24759;55;t0608
lubelskie;lubelski;81166;257;36962;132;t0609
lubelskie;łęczyński;39138;51;18663;36;t0610
lubelskie;łukowski;53499;189;24998;56;t0611
lubelskie;opolski;42894;133;19641;42;t0612
lubelskie;parczewski;27235;176;12596;97;t0613
lubelskie;puławski;94666;190;45093;135;t0614
lubelskie;radzyński;29640;28;14137;23;t0615
lubelskie;rycki;51843;65;24793;28;t0616
lubelskie;świdnicki;44069;139;21022;35;t0617
lubelskie;tomaszowski;53636;141;25043;104;t0618
lubelskie;włodawski;34205;75;15992;47;t0619
lubelskie;zamojski;47082;29;22805;23;t0620
lubelskie;Biała Podlaska;67277;154;31690;60;t0661
lubelskie;Chełm;61005;81;27927;13;t0662
lubelskie;Lublin;429926;787;198624;293;t0663
lubelskie;Zamość;86244;230;40536;127;t0664
lubuskie;gorzowski;28221;67;13189;30;t0801
lubuskie;krośnieński;49442;83;23625;74;t0802
lubuskie;międzyrzecki;64964;138;30366;101;t0803
lubuskie;nowosolski;87875;186;39717;72;t0804
lubuskie;słubicki;36670;107;17337;19;t0805
lubuskie;strzelecko-drezdenecki;48375;174;22126;97;t0806
lubuskie;sulęciński;28948;64;13271;35;t0807
lubuskie;świebodziński;53756;75;24950;38;t0808
lubuskie;zielonogórski;85894;149;39983;88;t0809
lubuskie;żagański;65692;70;30404;52;t0810
lubuskie;żarski;96781;239;45849;158;t0811
lubuskie;wschowski;25391;76;12063;8;t0812
lubuskie;Gorzów Wielkopolski;142833;238;66729;73;t0861
lubuskie;Zielona Góra;147121;180;70189;112;t0862
łódzkie;bełchatowski;70064;265;32123;144;t1001
łódzkie;kutnowski;85548;225;41218;81;t1002
łódzkie;łaski;34883;124;16652;40;t1003
łódzkie;łęczycki;49410;86;22630;49;t1004
łódzkie;łowicki;87730;113;41775;57;t1005
łódzkie;łódzki wschodni;35573;31;16018;10;t1006
łódzkie;opoczyński;56513;76;25428;0;t1007
łódzkie;pabianicki;103969;177;48767;97;t1008
