wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;25;0;0;0;t00
dolnośląskie;bolesławiecki;68218;215;30722;82;t0201
dolnośląskie;dzierżoniowski;64218;182;30214;109;t0202
dolnośląskie;głogowski;59920;333;27238;226;t0203
dolnośląskie;górowski;25458;14;11451;4;t0204
dolnośląskie;jaworski;37138;154;16743;103;t0205
dolnośląskie;jeleniogórski;48507;185;22684;96;t0206
dolnośląskie;kamiennogórski;29135;88;13630;52;t0207
dolnośląskie;kłodzki;120605;671;56540;508;t0208
dolnośląskie;legnicki;41914;60;18741;25;t0209
dolnośląskie;lubański;27726;141;11560;38;t0210
dolnośląskie;lubiński;119126;300;56861;167;t0211
dolnośląskie;lwówecki;38810;190;18038;147;t0212
dolnośląskie;milicki;32028;135;14977;56;t0213
dolnośląskie;oleśnicki;87563;335;39498;184;t0214
dolnośląskie;oławski;43837;168;21185;78;t0215
dolnośląskie;polkowicki;39470;71;17230;42;t0216
dolnośląskie;strzeliński;35329;83;16482;63;t0217
dolnośląskie;średzki;20765;87;9817;25;t0218
dolnośląskie;świdnicki;94079;289;43372;202;t0219
dolnośląskie;trzebnicki;56070;175;26721;158;t0220
dolnośląskie;wałbrzyski;30086;76;14203;40;t0221
dolnośląskie;wołowski;39952;165;17957;143;t0222
dolnośląskie;wrocławski;98351;262;46707;138;t0223
dolnośląskie;ząbkowicki;51884;56;24411;40;t0224
dolnośląskie;zgorzelecki;54230;148;24633;28;t0225
dolnośląskie;złotoryjski;32593;105;14479;38;t0226
dolnośląskie;Jelenia Góra;84788;288;40751;121;t0261
dolnośląskie;Legnica;84789;275;39882;154;t0262
dolnośląskie;Wrocław;1006681;1393;473792;867;t0264
dolnośląskie;Wałbrzych;203228;322;95118;196;t0265
kujawsko-pomorskie;aleksandrowski;128620;312;61175;154;t0401
kujawsko-pomorskie;brodnicki;67000;269;31094;153;t0402
kujawsko-pomorskie;bydgoski;72924;155;34048;78;t0403
kujawsko-pomorskie;chełmiński;38964;155;18226;100;t0404
kujawsko-pomorskie;golubsko-dobrzyński;33511;64;15314;20;t0405
kujawsko-pomorskie;grudziądzki;24182;163;10778;39;t0406
kujawsko-pomorskie;inowrocławski;99981;341;47414;136;t0407
kujawsko-pomorskie;lipnowski;49043;66;22072;32;t0408
kujawsko-pomorskie;mogileński;28978;31;13548;12;t0409
kujawsko-pomorskie;nakielski;77946;168;35242;86;t0410
kujawsko-pomorskie;radziejowski;42170;92;19303;61;t0411
kujawsko-pomorskie;rypiński;32671;208;14992;190;t0412
kujawsko-pomorskie;sępoleński;46609;242;21764;103;t0413
kujawsko-pomorskie;świecki;71717;236;32871;137;t0414
kujawsko-pomorskie;toruński;68238;277;29707;168;t0415
kujawsko-pomorskie;tucholski;36300;59;16753;31;t0416
kujawsko-pomorskie;wąbrzeski;25539;13;11300;12;t0417
kujawsko-pomorskie;włocławski;61171;328;28923;193;t0418
kujawsko-pomorskie;żniński;49724;135;23204;77;t0419
kujawsko-pomorskie;Bydgoszcz;411807;1403;193906;752;t0461
kujawsko-pomorskie;Grudziądz;116627;324;53991;176;t0462
kujawsko-pomorskie;Toruń;179865;624;83715;449;t0463
kujawsko-pomorskie;Włocławek;88187;350;40138;220;t0464
lubelskie;bialski;58076;203;26515;52;t0601
lubelskie;biłgorajski;50613;134;24040;74;t0602
lubelskie;chełmski;34564;82;16264;49;t0603
lubelskie;hrubieszowski;41527;202;18916;133;t0604
lubelskie;janowski;28382;113;13172;47;t0605
lubelskie;krasnostawski;39004;88;18112;39;t0606
lubelskie;kraśnicki;63209;137;29821;78;t0607
lubelskie;lubartowski;51744;205;24246;171;t0608
lubelskie;lubelski;79219;245;36038;131;t0609
lubelskie;łęczyński;38423;45;18312;32;t0610
lubelskie;łukowski;51764;129;24175;80;t0611
lubelskie;opolski;41725;168;19047;92;t0612
