wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;25;0;0;0;t00
dolnośląskie;bolesławiecki;71324;136;32323;64;t0201
dolnośląskie;dzierżoniowski;66667;29;31405;15;t0202
dolnośląskie;głogowski;62949;203;28657;121;t0203
dolnośląskie;górowski;26379;96;11974;69;t0204
dolnośląskie;jaworski;38464;85;17432;51;t0205
dolnośląskie;jeleniogórski;50240;107;23447;41;t0206
dolnośląskie;kamiennogórski;30689;30;14428;8;t0207
dolnośląskie;kłodzki;125828;301;59179;147;t0208
dolnośląskie;legnicki;43506;209;19450;111;t0209
dolnośląskie;lubański;29378;112;12420;0;t0210
dolnośląskie;lubiński;122760;141;58840;89;t0211
dolnośląskie;lwówecki;40797;77;18894;25;t0212
dolnośląskie;milicki;33550;60;15774;49;t0213
dolnośląskie;oleśnicki;94608;322;42875;167;t0214
dolnośląskie;oławski;44678;109;21473;1;t0215
dolnośląskie;polkowicki;40859;68;17901;34;t0216
dolnośląskie;strzeliński;36453;84;17066;47;t0217
dolnośląskie;średzki;21550;39;10214;20;t0218
dolnośląskie;świdnicki;98758;61;45514;23;t0219
dolnośląskie;trzebnicki;58373;119;27952;61;t0220
dolnośląskie;wałbrzyski;30860;37;14666;29;t0221
dolnośląskie;wołowski;41495;2;18522;0;t0222
dolnośląskie;wrocławski;101459;175;48326;51;t0223
dolnośląskie;ząbkowicki;54083;42;25434;25;t0224
dolnośląskie;zgorzelecki;57772;160;26278;64;t0225
dolnośląskie;złotoryjski;34011;12;15298;5;t0226
dolnośląskie;Jelenia Góra;88255;222;42479;175;t0261
dolnośląskie;Legnica;87994;159;41545;72;t0262
dolnośląskie;Wrocław;1035405;1089;487729;608;t0264
dolnośląskie;Wałbrzych;208422;98;97618;60;t0265
kujawsko-pomorskie;aleksandrowski;131406;177;62559;142;t0401
kujawsko-pomorskie;brodnicki;70357;183;32960;105;t0402
kujawsko-pomorskie;bydgoski;75759;98;35826;70;t0403
kujawsko-pomorskie;chełmiński;41072;107;19232;56;t0404
