wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnośląskie;bolesławiecki;72598;83;32879;21;t0201
dolnośląskie;dzierżoniowski;67956;171;31975;124;t0202
dolnośląskie;głogowski;64095;230;29271;173;t0203
dolnośląskie;górowski;26626;17;12073;14;t0204
dolnośląskie;jaworski;38987;93;17689;41;t0205
dolnośląskie;jeleniogórski;50877;45;23659;18;t0206
dolnośląskie;kamiennogórski;31343;43;14777;19;t0207
dolnośląskie;kłodzki;127638;99;59916;37;t0208
dolnośląskie;legnicki;43971;47;19646;29;t0209
dolnośląskie;lubański;29861;0;12682;0;t0210
dolnośląskie;lubiński;124267;112;59554;73;t0211
dolnośląskie;lwówecki;41474;85;19259;42;t0212
dolnośląskie;milicki;34100;61;16099;34;t0213
dolnośląskie;oleśnicki;97296;197;44410;92;t0214
dolnośląskie;oławski;45347;24;21529;3;t0215
dolnośląskie;polkowicki;41531;202;18216;115;t0216
dolnośląskie;strzeliński;36981;27;17310;14;t0217
dolnośląskie;średzki;21785;6;10353;5;t0218
dolnośląskie;świdnicki;101003;175;46609;90;t0219
dolnośląskie;trzebnicki;59173;36;28487;18;t0220
dolnośląskie;wałbrzyski;31195;6;14861;3;t0221
dolnośląskie;wołowski;42274;81;18892;33;t0222
dolnośląskie;wrocławski;102800;45;49055;14;t0223
dolnośląskie;ząbkowicki;55091;68;25906;46;t0224
dolnośląskie;zgorzelecki;59059;120;26886;89;t0225
dolnośląskie;złotoryjski;34684;57;15548;42;t0226
dolnośląskie;Jelenia Góra;89505;84;43095;37;t0261
dolnośląskie;Legnica;89324;139;42223;63;t0262
dolnośląskie;Wrocław;1046880;886;492941;424;t0264
dolnośląskie;Wałbrzych;210128;42;98347;13;t0265
kujawsko-pomorskie;aleksandrowski;132267;69;62994;57;t0401
kujawsko-pomorskie;brodnicki;71788;111;33696;54;t0402
kujawsko-pomorskie;bydgoski;76636;91;36314;50;t0403
kujawsko-pomorskie;chełmiński;41681;33;19595;25;t0404
kujawsko-pomorskie;golubsko-dobrzyński;35559;1;16596;1;t0405
kujawsko-pomorskie;grudziądzki;26196;59;11808;18;t0406
kujawsko-pomorskie;inowrocławski;104196;136;49568;80;t0407
kujawsko-pomorskie;lipnowski;53037;80;24370;69;t0408
kujawsko-pomorskie;mogileński;32126;82;15053;20;t0409
kujawsko-pomorskie;nakielski;84137;26;37889;9;t0410
kujawsko-pomorskie;radziejowski;44468;67;20817;66;t0411
kujawsko-pomorskie;rypiński;35569;65;16717;34;t0412
kujawsko-pomorskie;sępoleński;48608;20;22495;0;t0413
kujawsko-pomorskie;świecki;77932;86;35845;37;t0414
kujawsko-pomorskie;toruński;71608;69;31317;33;t0415
kujawsko-pomorskie;tucholski;39075;63;17884;45;t0416
kujawsko-pomorskie;wąbrzeski;27834;67;12635;1;t0417
kujawsko-pomorskie;włocławski;64875;90;30964;56;t0418
kujawsko-pomorskie;żniński;52680;36;24991;18;t0419
kujawsko-pomorskie;Bydgoszcz;432724;324;202957;147;t0461
kujawsko-pomorskie;Grudziądz;123326;144;57133;91;t0462
kujawsko-pomorskie;Toruń;192309;345;89362;178;t0463
kujawsko-pomorskie;Włocławek;93887;177;42650;97;t0464
lubelskie;bialski;61403;47;28151;32;t0601
lubelskie;biłgorajski;53894;36;25654;18;t0602
lubelskie;chełmski;36056;38;16991;31;t0603
lubelskie;hrubieszowski;44593;97;20529;68;t0604
lubelskie;janowski;30802;49;14398;29;t0605
lubelskie;krasnostawski;41046;81;18937;53;t0606
lubelskie;kraśnicki;66523;151;31483;107;t0607
lubelskie;lubartowski;54776;84;25709;45;t0608
lubelskie;lubelski;83954;120;38371;83;t0609
lubelskie;łęczyński;40165;47;19256;35;t0610
lubelskie;łukowski;56002;192;26254;90;t0611
lubelskie;opolski;44734;121;20587;89;t0612
lubelskie;parczewski;28161;139;13049;77;t0613
lubelskie;puławski;97681;131;46647;99;t0614
lubelskie;radzyński;30679;47;14551;27;t0615
lubelskie;rycki;53530;33;25667;26;t0616
lubelskie;świdnicki;45867;113;22017;78;t0617
lubelskie;tomaszowski;55663;77;25896;48;t0618
lubelskie;włodawski;34964;13;16296;3;t0619
lubelskie;zamojski;48374;32;23464;9;t0620
lubelskie;Biała Podlaska;69934;107;33014;68;t0661
lubelskie;Chełm;63264;121;28952;56;t0662
lubelskie;Lublin;442730;511;203764;250;t0663
lubelskie;Zamość;89154;155;42004;94;t0664
lubuskie;gorzowski;29177;18;13630;4;t0801
lubuskie;krośnieński;50985;37;24195;35;t0802
lubuskie;międzyrzecki;66859;62;31245;37;t0803
lubuskie;nowosolski;91315;121;41131;65;t0804
lubuskie;słubicki;38185;70;18226;16;t0805
lubuskie;strzelecko-drezdenecki;50265;85;22710;51;t0806
lubuskie;sulęciński;30617;53;13942;22;t0807
lubuskie;świebodziński;55143;34;25603;21;t0808
lubuskie;zielonogórski;88677;137;41283;75;t0809
lubuskie;żagański;67956;98;31288;58;t0810
lubuskie;żarski;99572;72;46889;30;t0811
lubuskie;wschowski;26967;82;12891;64;t0812
lubuskie;Gorzów Wielkopolski;149902;148;69311;53;t0861
lubuskie;Zielona Góra;150514;20;71851;0;t0862
łódzkie;bełchatowski;73308;142;33668;104;t1001
łódzkie;kutnowski;88465;141;42923;102;t1002
łódzkie;łaski;36123;44;17275;44;t1003
łódzkie;łęczycki;51299;57;23619;26;t1004
łódzkie;łowicki;90032;68;43016;38;t1005
łódzkie;łódzki wschodni;36910;68;16673;6;t1006
łódzkie;opoczyński;59138;105;26758;74;t1007
łódzkie;pabianicki;107654;177;50925;112;t1008
łódzkie;pajęczański;29861;34;13587;25;t1009
łódzkie;piotrkowski;49876;28;23168;12;t1010
łódzkie;poddębicki;36964;133;17509;104;t1011
łódzkie;radomszczański;88159;180;41422;176;t1012
łódzkie;rawski;28643;91;13040;35;t1013
łódzkie;sieradzki;99806;198;45679;132;t1014
łódzkie;skierniewicki;23846;55;11320;14;t1015
łódzkie;tomaszowski;105357;69;49857;34;t1016
łódzkie;wieluński;87479;116;41686;40;t1017
łódzkie;wieruszowski;32920;72;14977;39;t1018
łódzkie;zduńskowolski;49544;0;22952;0;t1019
łódzkie;zgierski;129108;153;60810;67;t1020
łódzkie;brzeziński;34654;6;16525;6;t1021
łódzkie;Łódź;899612;870;426249;539;t1061
łódzkie;Piotrków Trybunalski;80943;139;37961;41;t1062
łódzkie;Skierniewice;72112;84;34123;69;t1063
małopolskie;bocheński;77693;60;34843;35;t1201
małopolskie;brzeski;66276;90;30803;65;t1202
małopolskie;chrzanowski;110356;163;50933;94;t1203
małopolskie;dąbrowski;41932;122;19662;85;t1204
małopolskie;gorlicki;85240;157;40346;62;t1205
małopolskie;krakowski;157417;237;73572;160;t1206
małopolskie;limanowski;87653;127;40210;66;t1207
małopolskie;miechowski;60273;5;28938;1;t1208
małopolskie;myślenicki;102147;157;47995;68;t1209
małopolskie;nowosądecki;129444;178;58062;95;t1210
małopolskie;nowotarski;129685;88;59149;73;t1211
małopolskie;olkuski;109107;127;50664;63;t1212
małopolskie;oświęcimski;119970;132;56636;75;t1213
małopolskie;proszowicki;43144;71;20517;71;t1214
małopolskie;suski;68143;119;32317;51;t1215
małopolskie;tarnowski;94274;175;43804;118;t1216
małopolskie;tatrzański;35155;122;16695;65;t1217
małopolskie;wadowicki;117958;189;52894;110;t1218
małopolskie;wielicki;109184;189;49553;123;t1219
małopolskie;Kraków;1173888;972;558179;501;t1261
małopolskie;Nowy Sącz;62965;24;29823;1;t1262
małopolskie;Tarnów;111838;138;51503;67;t1263
mazowieckie;białobrzeski;35158;71;16687;54;t1401
mazowieckie;ciechanowski;79248;90;37685;80;t1402
