wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;25;0;0;0;t00
dolnośląskie;bolesławiecki;71187;120;32259;63;t0201
dolnośląskie;dzierżoniowski;66633;100;31389;79;t0202
dolnośląskie;głogowski;62745;93;28535;54;t0203
dolnośląskie;górowski;26283;59;11905;24;t0204
dolnośląskie;jaworski;38374;100;17383;54;t0205
dolnośląskie;jeleniogórski;50130;21;23403;9;t0206
dolnośląskie;kamiennogórski;30652;130;14422;97;t0207
dolnośląskie;kłodzki;125526;185;59031;101;t0208
dolnośląskie;legnicki;43296;70;19338;63;t0209
dolnośląskie;lubański;29246;152;12422;113;t0210
dolnośląskie;lubiński;122620;175;58751;88;t0211
dolnośląskie;lwówecki;40721;143;18870;55;t0212
dolnośląskie;milicki;33490;59;15725;36;t0213
dolnośląskie;oleśnicki;94261;186;42692;101;t0214
dolnośląskie;oławski;44569;18;21472;8;t0215
dolnośląskie;polkowicki;40791;69;17867;33;t0216
dolnośląskie;strzeliński;36359;90;17019;37;t0217
dolnośląskie;średzki;21511;34;10195;6;t0218
dolnośląskie;świdnicki;98692;230;45489;145;t0219
dolnośląskie;trzebnicki;58253;51;27890;16;t0220
dolnośląskie;wałbrzyski;30818;0;14634;0;t0221
dolnośląskie;wołowski;41469;34;18509;23;t0222
dolnośląskie;wrocławski;101281;275;48275;226;t0223
dolnośląskie;ząbkowicki;54042;140;25410;76;t0224
dolnośląskie;zgorzelecki;57611;256;26213;144;t0225
dolnośląskie;złotoryjski;33998;108;15292;81;t0226
dolnośląskie;Jelenia Góra;88026;241;42304;117;t0261
dolnośląskie;Legnica;87835;244;41474;175;t0262
dolnośląskie;Wrocław;1033806;1054;486823;510;t0264
dolnośląskie;Wałbrzych;208293;278;97555;105;t0265
kujawsko-pomorskie;aleksandrowski;131220;123;62416;91;t0401
kujawsko-pomorskie;brodnicki;70175;170;32855;96;t0402
kujawsko-pomorskie;bydgoski;75663;147;35758;93;t0403
kujawsko-pomorskie;chełmiński;40965;164;19176;79;t0404
kujawsko-pomorskie;golubsko-dobrzyński;34987;146;16289;86;t0405
kujawsko-pomorskie;grudziądzki;25462;29;11430;24;t0406
kujawsko-pomorskie;inowrocławski;102916;269;48889;161;t0407
kujawsko-pomorskie;lipnowski;51712;31;23613;14;t0408
kujawsko-pomorskie;mogileński;31150;158;14631;98;t0409
kujawsko-pomorskie;nakielski;82198;21;37071;0;t0410
kujawsko-pomorskie;radziejowski;43849;34;20455;30;t0411
kujawsko-pomorskie;rypiński;34566;167;16066;117;t0412
kujawsko-pomorskie;sępoleński;47809;39;22091;12;t0413
kujawsko-pomorskie;świecki;75921;91;34764;56;t0414
kujawsko-pomorskie;toruński;70565;146;30841;83;t0415
kujawsko-pomorskie;tucholski;38553;61;17608;44;t0416
kujawsko-pomorskie;wąbrzeski;27343;173;12471;107;t0417
kujawsko-pomorskie;włocławski;63626;219;30217;135;t0418
kujawsko-pomorskie;żniński;51917;36;24461;26;t0419
kujawsko-pomorskie;Bydgoszcz;425532;554;200010;269;t0461
kujawsko-pomorskie;Grudziądz;120938;270;56025;166;t0462
kujawsko-pomorskie;Toruń;188020;311;87393;173;t0463
kujawsko-pomorskie;Włocławek;91825;161;41792;74;t0464
lubelskie;bialski;60327;129;27633;80;t0601
lubelskie;biłgorajski;52908;230;25138;144;t0602
lubelskie;chełmski;35562;69;16754;9;t0603
lubelskie;hrubieszowski;43650;154;19982;55;t0604
lubelskie;janowski;29893;47;13960;29;t0605
lubelskie;krasnostawski;40309;59;18580;30;t0606
lubelskie;kraśnicki;65358;141;30897;81;t0607
lubelskie;lubartowski;53665;137;25234;56;t0608
lubelskie;lubelski;82417;173;37575;86;t0609
lubelskie;łęczyński;39660;94;18951;61;t0610
lubelskie;łukowski;54543;175;25494;100;t0611
lubelskie;opolski;43768;198;20056;110;t0612
lubelskie;parczewski;27629;10;12764;6;t0613
lubelskie;puławski;96099;219;45766;106;t0614
lubelskie;radzyński;30132;18;14348;18;t0615
lubelskie;rycki;52526;72;25197;48;t0616
lubelskie;świdnicki;44790;45;21392;27;t0617
lubelskie;tomaszowski;54569;97;25426;16;t0618
lubelskie;włodawski;34570;32;16090;4;t0619
lubelskie;zamojski;47612;85;23056;14;t0620
lubelskie;Biała Podlaska;68344;115;32227;78;t0661
lubelskie;Chełm;62006;51;28339;31;t0662
lubelskie;Lublin;435743;910;200956;427;t0663
lubelskie;Zamość;87619;268;41198;200;t0664
lubuskie;gorzowski;28597;34;13318;14;t0801
lubuskie;krośnieński;49941;95;23847;20;t0802
lubuskie;międzyrzecki;65641;28;30674;14;t0803
lubuskie;nowosolski;89421;276;40330;167;t0804
lubuskie;słubicki;37259;63;17717;48;t0805
lubuskie;strzelecko-drezdenecki;49272;51;22380;25;t0806
lubuskie;sulęciński;29641;46;13519;2;t0807
lubuskie;świebodziński;54352;2;25255;1;t0808
lubuskie;zielonogórski;87230;231;40594;143;t0809
lubuskie;żagański;66385;113;30755;59;t0810
lubuskie;żarski;98002;92;46258;10;t0811
lubuskie;wschowski;26167;96;12443;33;t0812
lubuskie;Gorzów Wielkopolski;146039;353;67862;121;t0861
lubuskie;Zielona Góra;148555;305;70928;144;t0862
łódzkie;bełchatowski;71595;171;32776;77;t1001
łódzkie;kutnowski;86678;196;41822;95;t1002
łódzkie;łaski;35539;50;16992;18;t1003
łódzkie;łęczycki;50110;40;23034;21;t1004
łódzkie;łowicki;88811;184;42344;102;t1005
łódzkie;łódzki wschodni;36167;85;16381;57;t1006
łódzkie;opoczyński;57811;165;26111;78;t1007
łódzkie;pabianicki;105631;210;49723;97;t1008
łódzkie;pajęczański;29328;10;13323;7;t1009
łódzkie;piotrkowski;48609;37;22497;4;t1010
łódzkie;poddębicki;36478;47;17187;2;t1011
łódzkie;radomszczański;86047;284;40238;85;t1012
łódzkie;rawski;27898;39;12604;26;t1013
łódzkie;sieradzki;97347;151;44536;58;t1014
łódzkie;skierniewicki;23535;0;11182;0;t1015
łódzkie;tomaszowski;103256;147;48786;79;t1016
łódzkie;wieluński;86120;30;40995;6;t1017
łódzkie;wieruszowski;32418;88;14689;55;t1018
łódzkie;zduńskowolski;48630;87;22451;85;t1019
łódzkie;zgierski;126726;344;59613;149;t1020
łódzkie;brzeziński;34121;67;16194;47;t1021
łódzkie;Łódź;887083;1280;420469;736;t1061
łódzkie;Piotrków Trybunalski;78616;296;36953;155;t1062
łódzkie;Skierniewice;70677;157;33484;76;t1063
małopolskie;bocheński;75659;116;33675;18;t1201
małopolskie;brzeski;64805;70;30003;33;t1202
małopolskie;chrzanowski;108609;184;50040;95;t1203
małopolskie;dąbrowski;41002;64;19121;55;t1204
małopolskie;gorlicki;83487;115;39420;72;t1205
małopolskie;krakowski;154390;464;72020;310;t1206
małopolskie;limanowski;85686;372;39269;220;t1207
małopolskie;miechowski;59466;99;28476;80;t1208
małopolskie;myślenicki;99599;304;46798;144;t1209
małopolskie;nowosądecki;126659;404;56930;299;t1210
małopolskie;nowotarski;127179;257;57908;178;t1211
małopolskie;olkuski;107349;89;49857;68;t1212
małopolskie;oświęcimski;117398;201;55192;100;t1213
małopolskie;proszowicki;42239;132;20070;60;t1214
małopolskie;suski;67020;97;31646;16;t1215
małopolskie;tarnowski;92342;274;42719;186;t1216
małopolskie;tatrzański;34400;90;16302;50;t1217
małopolskie;wadowicki;114874;228;51369;122;t1218
małopolskie;wielicki;106566;259;48210;157;t1219
małopolskie;Kraków;1157340;1186;549879;602;t1261
małopolskie;Nowy Sącz;62172;224;29439;140;t1262
małopolskie;Tarnów;108967;207;50163;93;t1263
mazowieckie;białobrzeski;34441;149;16285;61;t1401
mazowieckie;ciechanowski;77744;151;36846;41;t1402
mazowieckie;garwoliński;79995;315;38079;217;t1403
mazowieckie;gostyniński;27245;16;13119;1;t1404
mazowieckie;grodziski;92853;162;42672;111;t1405
mazowieckie;grójecki;101684;331;48116;148;t1406
mazowieckie;kozienicki;42119;124;20016;65;t1407
mazowieckie;legionowski;73204;213;32016;151;t1408
mazowieckie;lipski;25534;64;12122;30;t1409
mazowieckie;łosicki;17820;61;8573;58;t1410
mazowieckie;makowski;39271;93;18361;8;t1411
mazowieckie;miński;124759;116;56140;54;t1412
mazowieckie;mławski;57911;93;27552;36;t1413
mazowieckie;nowodworski;106244;166;49631;85;t1414
mazowieckie;ostrołęcki;48210;102;22495;50;t1415
mazowieckie;ostrowski;48750;237;23450;162;t1416
mazowieckie;otwocki;88440;304;42408;211;t1417
mazowieckie;piaseczyński;237404;239;111646;122;t1418
mazowieckie;płocki;82667;389;39096;282;t1419
mazowieckie;płoński;77639;225;36102;147;t1420
mazowieckie;pruszkowski;130337;404;61715;248;t1421
mazowieckie;przasnyski;48879;256;23391;185;t1422
mazowieckie;przysuski;27424;61;12931;59;t1423
mazowieckie;pułtuski;44867;80;21366;45;t1424
mazowieckie;radomski;60601;73;28257;46;t1425
mazowieckie;siedlecki;30071;128;14414;98;t1426
mazowieckie;sierpecki;42832;157;20260;118;t1427
mazowieckie;sochaczewski;80752;229;38020;135;t1428
mazowieckie;sokołowski;41104;100;19399;68;t1429
mazowieckie;szydłowiecki;19546;111;8873;87;t1430
mazowieckie;warszawski zachodni;111619;153;52944;93;t1432
mazowieckie;węgrowski;44728;100;21395;61;t1433
mazowieckie;wołomiński;199470;515;91081;268;t1434
mazowieckie;wyszkowski;60561;180;28620;58;t1435
mazowieckie;zwoleński;27191;71;12933;42;t1436
mazowieckie;żuromiński;28407;98;13830;61;t1437
mazowieckie;żyrardowski;54530;240;25644;125;t1438
mazowieckie;Ostrołęka;68731;110;32942;50;t1461
mazowieckie;Płock;126124;285;58606;213;t1462
mazowieckie;Radom;227631;283;105184;142;t1463
mazowieckie;Siedlce;114499;147;54020;86;t1464
mazowieckie;Warszawa;2504498;2726;1177566;1495;t1465
opolskie;brzeski;69735;104;32919;38;t1601
opolskie;głubczycki;40592;48;19360;31;t1602
opolskie;kędzierzyńsko-kozielski;78842;56;37445;16;t1603
opolskie;kluczborski;52991;172;25107;119;t1604
opolskie;krapkowicki;94668;254;43551;153;t1605
opolskie;namysłowski;27312;31;12930;7;t1606
opolskie;nyski;91894;135;44264;82;t1607
opolskie;oleski;47659;112;22619;63;t1608
opolskie;opolski;64717;127;30297;66;t1609
opolskie;prudnicki;38924;46;18270;16;t1610
opolskie;strzelecki;55361;128;25830;63;t1611
opolskie;Opole;183403;287;86479;130;t1661
podkarpackie;bieszczadzki;9710;17;4693;11;t1801
podkarpackie;brzozowski;45323;40;21259;20;t1802
podkarpackie;dębicki;64301;148;27759;53;t1803
podkarpackie;jarosławski;53858;118;24959;60;t1804
podkarpackie;jasielski;57606;154;26217;60;t1805
podkarpackie;kolbuszowski;22208;0;10310;0;t1806
podkarpackie;krośnieński;48915;112;23666;40;t1807
podkarpackie;leżajski;39410;122;17954;64;t1808
podkarpackie;lubaczowski;31976;59;14875;48;t1809
podkarpackie;łańcucki;39685;116;18865;29;t1810
