wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;25;0;0;0;t00
dolnośląskie;bolesławiecki;69466;229;31439;178;t0201
dolnośląskie;dzierżoniowski;65318;180;30847;127;t0202
dolnośląskie;głogowski;61197;273;27789;113;t0203
dolnośląskie;górowski;25805;52;11668;49;t0204
dolnośląskie;jaworski;37609;125;17033;89;t0205
dolnośląskie;jeleniogórski;49228;237;23000;121;t0206
dolnośląskie;kamiennogórski;29821;160;14003;95;t0207
dolnośląskie;kłodzki;122797;353;57746;230;t0208
dolnośląskie;legnicki;42571;55;18995;24;t0209
dolnośląskie;lubański;28476;123;11917;6;t0210
dolnośląskie;lubiński;120540;318;57588;236;t0211
dolnośląskie;lwówecki;39603;128;18376;61;t0212
dolnośląskie;milicki;32679;100;15328;96;t0213
dolnośląskie;oleśnicki;90751;372;40887;165;t0214
dolnośląskie;oławski;44204;31;21359;26;t0215
dolnośląskie;polkowicki;40064;60;17491;25;t0216
dolnośląskie;strzeliński;35752;172;16716;110;t0217
dolnośląskie;średzki;21014;6;9938;0;t0218
dolnośląskie;świdnicki;95975;215;44295;111;t0219
dolnośląskie;trzebnicki;57166;118;27367;87;t0220
dolnośląskie;wałbrzyski;30434;64;14420;40;t0221
dolnośląskie;wołowski;40606;55;18192;22;t0222
dolnośląskie;wrocławski;99583;275;47389;127;t0223
dolnośląskie;ząbkowicki;53006;93;24957;23;t0224
dolnośląskie;zgorzelecki;55586;151;25153;72;t0225
dolnośląskie;złotoryjski;32969;72;14694;34;t0226
dolnośląskie;Jelenia Góra;85947;206;41319;109;t0261
dolnośląskie;Legnica;86104;298;40555;163;t0262
dolnośląskie;Wrocław;1019330;1589;479968;867;t0264
dolnośląskie;Wałbrzych;205903;293;96356;176;t0265
kujawsko-pomorskie;aleksandrowski;129655;77;61693;33;t0401
kujawsko-pomorskie;brodnicki;68388;190;31802;73;t0402
kujawsko-pomorskie;bydgoski;74151;180;34804;85;t0403
kujawsko-pomorskie;chełmiński;39680;99;18600;48;t0404
kujawsko-pomorskie;golubsko-dobrzyński;34255;119;15927;8;t0405
kujawsko-pomorskie;grudziądzki;24681;99;11016;68;t0406
kujawsko-pomorskie;inowrocławski;101245;149;48217;111;t0407
kujawsko-pomorskie;lipnowski;50134;150;22823;113;t0408
kujawsko-pomorskie;mogileński;29843;179;13952;100;t0409
kujawsko-pomorskie;nakielski;79874;126;36065;69;t0410
kujawsko-pomorskie;radziejowski;43146;155;20051;130;t0411
kujawsko-pomorskie;rypiński;33609;262;15511;179;t0412
kujawsko-pomorskie;sępoleński;47209;135;21901;23;t0413
kujawsko-pomorskie;świecki;73390;373;33842;245;t0414
kujawsko-pomorskie;toruński;69231;338;30246;145;t0415
kujawsko-pomorskie;tucholski;37506;121;17122;31;t0416
kujawsko-pomorskie;wąbrzeski;26245;49;11823;49;t0417
kujawsko-pomorskie;włocławski;62337;198;29550;153;t0418
kujawsko-pomorskie;żniński;50989;191;23961;114;t0419
kujawsko-pomorskie;Bydgoszcz;418004;825;196799;429;t0461
kujawsko-pomorskie;Grudziądz;118575;403;54941;293;t0462
kujawsko-pomorskie;Toruń;183569;743;85375;463;t0463
kujawsko-pomorskie;Włocławek;89751;187;40811;61;t0464
lubelskie;bialski;59156;272;27034;141;t0601
lubelskie;biłgorajski;51713;409;24567;212;t0602
lubelskie;chełmski;34922;88;16463;65;t0603
lubelskie;hrubieszowski;42485;197;19457;103;t0604
lubelskie;janowski;29056;138;13469;71;t0605
lubelskie;krasnostawski;39529;70;18291;28;t0606
lubelskie;kraśnicki;64207;154;30378;67;t0607
lubelskie;lubartowski;52334;106;24516;59;t0608
lubelskie;lubelski;80462;216;36655;122;t0609
lubelskie;łęczyński;38887;173;18539;66;t0610
lubelskie;łukowski;52801;110;24635;79;t0611
lubelskie;opolski;42599;226;19518;117;t0612
lubelskie;parczewski;27034;52;12498;18;t0613
lubelskie;puławski;93853;252;44711;187;t0614
lubelskie;radzyński;29451;40;13971;23;t0615
lubelskie;rycki;51490;102;24630;62;t0616
lubelskie;świdnicki;43599;133;20833;88;t0617
