wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnośląskie;bolesławiecki;72514;111;32857;49;t0201
dolnośląskie;dzierżoniowski;67748;80;31830;31;t0202
dolnośląskie;głogowski;63864;102;29098;32;t0203
dolnośląskie;górowski;26609;60;12059;6;t0204
dolnośląskie;jaworski;38894;24;17648;13;t0205
dolnośląskie;jeleniogórski;50832;26;23641;4;t0206
dolnośląskie;kamiennogórski;31301;58;14759;42;t0207
dolnośląskie;kłodzki;127533;274;59874;122;t0208
dolnośląskie;legnicki;43921;135;19617;64;t0209
dolnośląskie;lubański;29861;22;12682;10;t0210
dolnośląskie;lubiński;124123;172;59466;88;t0211
dolnośląskie;lwówecki;41380;60;19217;48;t0212
dolnośląskie;milicki;34031;6;16063;0;t0213
dolnośląskie;oleśnicki;97069;127;44314;85;t0214
dolnośląskie;oławski;45297;49;21521;0;t0215
dolnośląskie;polkowicki;41329;0;18101;0;t0216
dolnośląskie;strzeliński;36943;88;17291;30;t0217
dolnośląskie;średzki;21768;27;10341;18;t0218
dolnośląskie;świdnicki;100815;188;46514;103;t0219
dolnośląskie;trzebnicki;59136;75;28469;74;t0220
dolnośląskie;wałbrzyski;31184;34;14856;18;t0221
dolnośląskie;wołowski;42190;43;18859;29;t0222
dolnośląskie;wrocławski;102748;75;49038;31;t0223
dolnośląskie;ząbkowicki;55017;88;25860;50;t0224
dolnośląskie;zgorzelecki;58939;134;26797;39;t0225
dolnośląskie;złotoryjski;34623;24;15506;8;t0226
dolnośląskie;Jelenia Góra;89414;123;43055;59;t0261
dolnośląskie;Legnica;89186;67;42161;23;t0262
dolnośląskie;Wrocław;1045859;691;492440;366;t0264
dolnośląskie;Wałbrzych;210046;79;98333;53;t0265
kujawsko-pomorskie;aleksandrowski;132201;90;62940;63;t0401
kujawsko-pomorskie;brodnicki;71676;110;33642;77;t0402
kujawsko-pomorskie;bydgoski;76542;55;36262;40;t0403
kujawsko-pomorskie;chełmiński;41634;109;19557;81;t0404
kujawsko-pomorskie;golubsko-dobrzyński;35525;211;16564;163;t0405
kujawsko-pomorskie;grudziądzki;26137;48;11790;34;t0406
kujawsko-pomorskie;inowrocławski;104023;22;49455;22;t0407
kujawsko-pomorskie;lipnowski;52913;52;24268;23;t0408
kujawsko-pomorskie;mogileński;32036;78;15032;17;t0409
kujawsko-pomorskie;nakielski;84108;136;37878;82;t0410
kujawsko-pomorskie;radziejowski;44400;48;20750;40;t0411
