wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnośląskie;bolesławiecki;72390;79;32802;54;t0201
dolnośląskie;dzierżoniowski;67665;29;31797;24;t0202
dolnośląskie;głogowski;63762;11;29066;0;t0203
dolnośląskie;górowski;26549;0;12053;0;t0204
dolnośląskie;jaworski;38870;52;17635;23;t0205
dolnośląskie;jeleniogórski;50805;59;23637;34;t0206
dolnośląskie;kamiennogórski;31243;5;14717;2;t0207
dolnośląskie;kłodzki;127257;104;59752;46;t0208
dolnośląskie;legnicki;43786;0;19553;0;t0209
dolnośląskie;lubański;29836;180;12671;120;t0210
dolnośląskie;lubiński;123949;110;59379;54;t0211
dolnośląskie;lwówecki;41319;0;19169;0;t0212
dolnośląskie;milicki;34025;48;16063;36;t0213
dolnośląskie;oleśnicki;96899;147;44219;80;t0214
dolnośląskie;oławski;45221;0;21521;0;t0215
dolnośląskie;polkowicki;41328;0;18101;0;t0216
dolnośląskie;strzeliński;36854;22;17260;3;t0217
dolnośląskie;średzki;21728;13;10315;11;t0218
dolnośląskie;świdnicki;100616;59;46408;22;t0219
dolnośląskie;trzebnicki;59055;1;28394;0;t0220
dolnośląskie;wałbrzyski;31151;0;14839;0;t0221
dolnośląskie;wołowski;42101;73;18812;40;t0222
dolnośląskie;wrocławski;102672;29;49008;23;t0223
dolnośląskie;ząbkowicki;54918;59;25808;21;t0224
dolnośląskie;zgorzelecki;58804;72;26757;2;t0225
dolnośląskie;złotoryjski;34430;30;15494;7;t0226
dolnośląskie;Jelenia Góra;89288;105;42996;39;t0261
dolnośląskie;Legnica;89119;71;42139;31;t0262
dolnośląskie;Wrocław;1044794;854;491905;444;t0264
dolnośląskie;Wałbrzych;209961;242;98274;123;t0265
kujawsko-pomorskie;aleksandrowski;132103;35;62873;28;t0401
kujawsko-pomorskie;brodnicki;71556;192;33566;120;t0402
kujawsko-pomorskie;bydgoski;76474;18;36214;6;t0403
kujawsko-pomorskie;chełmiński;41524;16;19476;6;t0404
kujawsko-pomorskie;golubsko-dobrzyński;35313;57;16401;0;t0405
kujawsko-pomorskie;grudziądzki;26081;29;11756;5;t0406
kujawsko-pomorskie;inowrocławski;103993;43;49428;25;t0407
kujawsko-pomorskie;lipnowski;52853;37;24241;26;t0408
kujawsko-pomorskie;mogileński;31950;97;15011;22;t0409
kujawsko-pomorskie;nakielski;83962;6;37797;1;t0410
kujawsko-pomorskie;radziejowski;44352;27;20710;0;t0411
kujawsko-pomorskie;rypiński;35402;79;16610;42;t0412
kujawsko-pomorskie;sępoleński;48502;23;22456;9;t0413
kujawsko-pomorskie;świecki;77604;135;35642;54;t0414
kujawsko-pomorskie;toruński;71450;77;31253;34;t0415
kujawsko-pomorskie;tucholski;38970;0;17809;0;t0416
kujawsko-pomorskie;wąbrzeski;27672;10;12603;6;t0417
kujawsko-pomorskie;włocławski;64549;76;30788;65;t0418
kujawsko-pomorskie;żniński;52570;63;24919;55;t0419
kujawsko-pomorskie;Bydgoszcz;431604;398;202424;159;t0461
kujawsko-pomorskie;Grudziądz;123033;136;56963;63;t0462
kujawsko-pomorskie;Toruń;191703;285;89002;168;t0463
kujawsko-pomorskie;Włocławek;93572;136;42504;51;t0464
lubelskie;bialski;61299;19;28099;14;t0601
lubelskie;biłgorajski;53658;13;25512;7;t0602
lubelskie;chełmski;35995;7;16950;5;t0603
lubelskie;hrubieszowski;44404;38;20406;16;t0604
lubelskie;janowski;30709;38;14358;24;t0605
lubelskie;krasnostawski;40861;47;18857;29;t0606
lubelskie;kraśnicki;66219;54;31323;43;t0607
lubelskie;lubartowski;54661;57;25654;8;t0608
lubelskie;lubelski;83635;74;38172;29;t0609
lubelskie;łęczyński;39981;14;19128;10;t0610
lubelskie;łukowski;55656;75;26112;29;t0611
lubelskie;opolski;44569;41;20477;9;t0612
lubelskie;parczewski;28005;12;12970;1;t0613
lubelskie;puławski;97357;85;46455;59;t0614
lubelskie;radzyński;30609;4;14511;0;t0615
lubelskie;rycki;53360;0;25574;0;t0616
lubelskie;świdnicki;45637;44;21866;25;t0617
lubelskie;tomaszowski;55527;49;25810;4;t0618
lubelskie;włodawski;34890;55;16272;25;t0619
lubelskie;zamojski;48269;37;23418;20;t0620
lubelskie;Biała Podlaska;69732;136;32905;72;t0661
lubelskie;Chełm;63021;70;28850;19;t0662
lubelskie;Lublin;441482;614;203219;257;t0663
lubelskie;Zamość;88791;46;41786;13;t0664
lubuskie;gorzowski;28978;4;13523;0;t0801
lubuskie;krośnieński;50851;35;24131;13;t0802
lubuskie;międzyrzecki;66653;47;31144;21;t0803
lubuskie;nowosolski;91112;136;41016;76;t0804
lubuskie;słubicki;38018;45;18137;30;t0805
lubuskie;strzelecko-drezdenecki;50084;25;22601;3;t0806
lubuskie;sulęciński;30467;83;13879;69;t0807
lubuskie;świebodziński;55087;0;25576;0;t0808
lubuskie;zielonogórski;88486;53;41188;14;t0809
lubuskie;żagański;67743;5;31194;0;t0810
lubuskie;żarski;99404;25;46812;14;t0811
lubuskie;wschowski;26862;1;12823;1;t0812
lubuskie;Gorzów Wielkopolski;149390;284;69094;158;t0861
lubuskie;Zielona Góra;149995;42;71578;0;t0862
łódzkie;bełchatowski;73105;27;33537;10;t1001
łódzkie;kutnowski;88216;127;42750;61;t1002
łódzkie;łaski;35988;0;17205;0;t1003
łódzkie;łęczycki;51049;33;23520;0;t1004
łódzkie;łowicki;89800;106;42905;55;t1005
łódzkie;łódzki wschodni;36715;8;16588;5;t1006
łódzkie;opoczyński;58989;53;26680;37;t1007
łódzkie;pabianicki;107267;74;50686;16;t1008
łódzkie;pajęczański;29776;6;13523;3;t1009
łódzkie;piotrkowski;49759;18;23106;18;t1010
łódzkie;poddębicki;36806;0;17380;0;t1011
łódzkie;radomszczański;87889;16;41181;4;t1012
łódzkie;rawski;28488;18;12979;12;t1013
łódzkie;sieradzki;99389;144;45491;51;t1014
łódzkie;skierniewicki;23773;0;11299;0;t1015
łódzkie;tomaszowski;104908;78;49652;44;t1016
łódzkie;wieluński;87266;41;41601;17;t1017
łódzkie;wieruszowski;32800;53;14909;27;t1018
łódzkie;zduńskowolski;49488;0;22940;0;t1019
łódzkie;zgierski;128604;135;60551;65;t1020
łódzkie;brzeziński;34580;51;16476;44;t1021
łódzkie;Łódź;897499;590;425100;287;t1061
łódzkie;Piotrków Trybunalski;80498;144;37755;61;t1062
łódzkie;Skierniewice;71966;171;34030;54;t1063
małopolskie;bocheński;77555;37;34802;25;t1201
małopolskie;brzeski;66084;55;30684;29;t1202
małopolskie;chrzanowski;110101;102;50799;59;t1203
małopolskie;dąbrowski;41792;106;19567;62;t1204
małopolskie;gorlicki;84904;147;40180;87;t1205
małopolskie;krakowski;156968;221;73287;117;t1206
