wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnośląskie;bolesławiecki;72240;181;32734;101;t0201
dolnośląskie;dzierżoniowski;67251;0;31668;0;t0202
dolnośląskie;głogowski;63742;204;29063;106;t0203
dolnośląskie;górowski;26549;0;12053;0;t0204
dolnośląskie;jaworski;38784;98;17611;67;t0205
dolnośląskie;jeleniogórski;50660;93;23600;35;t0206
dolnośląskie;kamiennogórski;31161;81;14711;43;t0207
dolnośląskie;kłodzki;127060;212;59683;75;t0208
dolnośląskie;legnicki;43769;31;19553;26;t0209
dolnośląskie;lubański;29606;30;12553;19;t0210
dolnośląskie;lubiński;123690;186;59270;73;t0211
dolnośląskie;lwówecki;41292;114;19169;58;t0212
dolnośląskie;milicki;33976;47;16026;15;t0213
dolnośląskie;oleśnicki;96200;377;43827;222;t0214
dolnośląskie;oławski;45035;0;21521;0;t0215
dolnośląskie;polkowicki;41281;55;18099;24;t0216
dolnośląskie;strzeliński;36811;109;17256;50;t0217
dolnośląskie;średzki;21707;29;10301;11;t0218
dolnośląskie;świdnicki;100069;66;46243;58;t0219
dolnośląskie;trzebnicki;58974;115;28344;88;t0220
dolnośląskie;wałbrzyski;31141;20;14835;10;t0221
dolnośląskie;wołowski;41948;86;18733;32;t0222
dolnośląskie;wrocławski;102436;193;48866;110;t0223
dolnośląskie;ząbkowicki;54849;116;25784;49;t0224
dolnośląskie;zgorzelecki;58521;227;26722;181;t0225
dolnośląskie;złotoryjski;34365;142;15481;85;t0226
dolnośląskie;Jelenia Góra;89078;220;42901;109;t0261
dolnośląskie;Legnica;88949;270;42060;174;t0262
dolnośląskie;Wrocław;1042307;1019;491025;489;t0264
dolnośląskie;Wałbrzych;209437;64;98071;24;t0265
kujawsko-pomorskie;aleksandrowski;131953;159;62818;49;t0401
kujawsko-pomorskie;brodnicki;71273;152;33447;96;t0402
kujawsko-pomorskie;bydgoski;76380;100;36181;52;t0403
kujawsko-pomorskie;chełmiński;41499;130;19461;91;t0404
kujawsko-pomorskie;golubsko-dobrzyński;35255;109;16400;50;t0405
kujawsko-pomorskie;grudziądzki;25926;48;11716;21;t0406
kujawsko-pomorskie;inowrocławski;103822;70;49376;38;t0407
kujawsko-pomorskie;lipnowski;52632;101;24113;50;t0408
kujawsko-pomorskie;mogileński;31725;70;14940;45;t0409
kujawsko-pomorskie;nakielski;83193;1;37519;0;t0410
kujawsko-pomorskie;radziejowski;44202;47;20651;26;t0411
kujawsko-pomorskie;rypiński;35320;174;16565;142;t0412
kujawsko-pomorskie;sępoleński;48370;133;22440;98;t0413
kujawsko-pomorskie;świecki;77413;183;35565;93;t0414
kujawsko-pomorskie;toruński;71310;176;31218;126;t0415
kujawsko-pomorskie;tucholski;38929;90;17809;65;t0416
kujawsko-pomorskie;wąbrzeski;27643;12;12591;3;t0417
kujawsko-pomorskie;włocławski;64363;120;30692;74;t0418
kujawsko-pomorskie;żniński;52329;106;24757;101;t0419
kujawsko-pomorskie;Bydgoszcz;430262;697;202079;305;t0461
kujawsko-pomorskie;Grudziądz;122746;178;56856;83;t0462
kujawsko-pomorskie;Toruń;190642;328;88682;188;t0463
kujawsko-pomorskie;Włocławek;93183;152;42362;53;t0464
lubelskie;bialski;61226;203;28085;121;t0601
lubelskie;biłgorajski;53600;255;25504;171;t0602
lubelskie;chełmski;35866;59;16904;39;t0603
lubelskie;hrubieszowski;44307;110;20362;82;t0604
lubelskie;janowski;30562;153;14328;88;t0605
lubelskie;krasnostawski;40760;64;18805;25;t0606
lubelskie;kraśnicki;66148;138;31283;72;t0607
lubelskie;lubartowski;54477;73;25551;40;t0608
lubelskie;lubelski;83386;134;38040;68;t0609
lubelskie;łęczyński;39951;114;19118;69;t0610
lubelskie;łukowski;55453;140;26028;79;t0611
lubelskie;opolski;44439;106;20436;44;t0612
lubelskie;parczewski;27961;36;12968;26;t0613
lubelskie;puławski;97213;143;46399;87;t0614
lubelskie;radzyński;30593;56;14509;2;t0615
lubelskie;rycki;53132;83;25511;61;t0616
lubelskie;świdnicki;45550;135;21815;66;t0617
lubelskie;tomaszowski;55295;106;25761;72;t0618
lubelskie;włodawski;34836;30;16247;2;t0619
lubelskie;zamojski;48214;139;23398;99;t0620
lubelskie;Biała Podlaska;69487;211;32819;131;t0661
lubelskie;Chełm;62796;120;28752;66;t0662
lubelskie;Lublin;440463;744;202829;292;t0663
lubelskie;Zamość;88718;182;41759;82;t0664
lubuskie;gorzowski;28960;5;13519;0;t0801
lubuskie;krośnieński;50643;83;24116;70;t0802
lubuskie;międzyrzecki;66408;74;31056;40;t0803
lubuskie;nowosolski;90722;214;40864;134;t0804
lubuskie;słubicki;37883;95;18081;58;t0805
lubuskie;strzelecko-drezdenecki;49862;43;22574;16;t0806
lubuskie;sulęciński;30248;90;13787;27;t0807
lubuskie;świebodziński;54764;50;25431;27;t0808
lubuskie;zielonogórski;88378;76;41172;30;t0809
lubuskie;żagański;67595;155;31189;70;t0810
