wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;25;0;0;0;t00
dolnośląskie;bolesławiecki;70320;123;31843;70;t0201
dolnośląskie;dzierżoniowski;66081;44;31169;23;t0202
dolnośląskie;głogowski;62154;431;28236;262;t0203
dolnośląskie;górowski;26067;30;11792;0;t0204
dolnośląskie;jaworski;38067;101;17236;72;t0205
dolnośląskie;jeleniogórski;49714;79;23235;27;t0206
dolnośląskie;kamiennogórski;30276;112;14236;38;t0207
dolnośląskie;kłodzki;124423;414;58501;175;t0208
dolnośląskie;legnicki;43058;144;19203;41;t0209
dolnośląskie;lubański;28974;54;12227;31;t0210
dolnośląskie;lubiński;121790;191;58333;100;t0211
dolnośląskie;lwówecki;40301;141;18707;98;t0212
dolnośląskie;milicki;33165;89;15577;20;t0213
dolnośląskie;oleśnicki;92741;328;41813;135;t0214
dolnośląskie;oławski;44322;3;21362;3;t0215
dolnośląskie;polkowicki;40472;77;17668;36;t0216
dolnośląskie;strzeliński;36153;85;16897;58;t0217
dolnośląskie;średzki;21357;52;10117;25;t0218
dolnośląskie;świdnicki;97616;224;44937;121;t0219
dolnośląskie;trzebnicki;57749;36;27679;32;t0220
dolnośląskie;wałbrzyski;30689;44;14566;22;t0221
dolnośląskie;wołowski;41116;31;18369;0;t0222
dolnośląskie;wrocławski;100426;159;47846;59;t0223
dolnośląskie;ząbkowicki;53723;48;25245;29;t0224
dolnośląskie;zgorzelecki;56796;197;25913;53;t0225
dolnośląskie;złotoryjski;33739;166;15166;79;t0226
dolnośląskie;Jelenia Góra;87178;254;41938;146;t0261
dolnośląskie;Legnica;87017;220;41013;123;t0262
dolnośląskie;Wrocław;1027475;1281;484000;616;t0264
dolnośląskie;Wałbrzych;207200;92;96994;65;t0265
kujawsko-pomorskie;aleksandrowski;130761;127;62189;95;t0401
kujawsko-pomorskie;brodnicki;69426;240;32434;188;t0402
kujawsko-pomorskie;bydgoski;75073;108;35421;83;t0403
kujawsko-pomorskie;chełmiński;40317;100;18932;65;t0404
kujawsko-pomorskie;golubsko-dobrzyński;34840;152;16201;123;t0405
kujawsko-pomorskie;grudziądzki;25139;55;11271;15;t0406
kujawsko-pomorskie;inowrocławski;101975;121;48511;57;t0407
kujawsko-pomorskie;lipnowski;51159;48;23371;30;t0408
kujawsko-pomorskie;mogileński;30704;96;14391;39;t0409
kujawsko-pomorskie;nakielski;81253;84;36638;26;t0410
kujawsko-pomorskie;radziejowski;43754;130;20395;79;t0411
kujawsko-pomorskie;rypiński;34131;159;15768;84;t0412
kujawsko-pomorskie;sępoleński;47593;85;22033;32;t0413
kujawsko-pomorskie;świecki;75096;274;34451;65;t0414
kujawsko-pomorskie;toruński;70065;312;30707;220;t0415
kujawsko-pomorskie;tucholski;38215;30;17444;18;t0416
kujawsko-pomorskie;wąbrzeski;26726;40;12142;23;t0417
kujawsko-pomorskie;włocławski;63035;152;29921;96;t0418
kujawsko-pomorskie;żniński;51559;10;24301;4;t0419
kujawsko-pomorskie;Bydgoszcz;422459;661;198772;334;t0461
kujawsko-pomorskie;Grudziądz;119922;349;55563;209;t0462
kujawsko-pomorskie;Toruń;186098;364;86514;197;t0463
kujawsko-pomorskie;Włocławek;90939;170;41363;85;t0464
lubelskie;bialski;59859;196;27378;122;t0601
lubelskie;biłgorajski;52417;228;24870;172;t0602
lubelskie;chełmski;35341;34;16667;17;t0603
lubelskie;hrubieszowski;43204;128;19787;78;t0604
lubelskie;janowski;29471;32;13693;19;t0605
lubelskie;krasnostawski;39990;90;18460;53;t0606
lubelskie;kraśnicki;64855;128;30660;54;t0607
lubelskie;lubartowski;53011;94;24849;32;t0608
lubelskie;lubelski;81679;167;37212;74;t0609
lubelskie;łęczyński;39352;30;18781;22;t0610
lubelskie;łukowski;53974;94;25265;78;t0611
lubelskie;opolski;43240;105;19826;44;t0612
lubelskie;parczewski;27343;45;12619;21;t0613
lubelskie;puławski;95217;164;45344;90;t0614
lubelskie;radzyński;29720;26;14153;6;t0615
lubelskie;rycki;52211;183;25033;115;t0616
lubelskie;świdnicki;44290;91;21138;57;t0617
lubelskie;tomaszowski;54029;262;25252;144;t0618
lubelskie;włodawski;34320;29;16060;20;t0619
lubelskie;zamojski;47280;146;22930;96;t0620
lubelskie;Biała Podlaska;67679;208;31924;128;t0661
lubelskie;Chełm;61443;145;28090;75;t0662
lubelskie;Lublin;431753;661;199390;248;t0663
lubelskie;Zamość;86813;201;40811;116;t0664
lubuskie;gorzowski;28427;138;13226;8;t0801
lubuskie;krośnieński;49580;18;23707;13;t0802
lubuskie;międzyrzecki;65129;74;30443;34;t0803
lubuskie;nowosolski;88396;211;39905;82;t0804
lubuskie;słubicki;36862;54;17470;30;t0805
lubuskie;strzelecko-drezdenecki;48669;157;22215;14;t0806
lubuskie;sulęciński;29278;188;13447;113;t0807
lubuskie;świebodziński;53791;0;24967;0;t0808
lubuskie;zielonogórski;86490;139;40270;73;t0809
lubuskie;żagański;65981;188;30579;109;t0810
lubuskie;żarski;97225;222;46038;85;t0811
lubuskie;wschowski;25469;0;12126;0;t0812
lubuskie;Gorzów Wielkopolski;143870;423;67108;147;t0861
lubuskie;Zielona Góra;147491;214;70364;108;t0862
łódzkie;bełchatowski;70742;119;32437;74;t1001
łódzkie;kutnowski;86007;158;41470;111;t1002
łódzkie;łaski;35152;133;16825;81;t1003
łódzkie;łęczycki;49747;111;22808;22;t1004
łódzkie;łowicki;88121;100;41979;57;t1005
łódzkie;łódzki wschodni;35763;64;16176;55;t1006
łódzkie;opoczyński;57041;146;25740;79;t1007
łódzkie;pabianicki;104658;362;49178;229;t1008
łódzkie;pajęczański;29235;64;13269;31;t1009
łódzkie;piotrkowski;48129;105;22259;43;t1010
łódzkie;poddębicki;36028;0;16994;0;t1011
łódzkie;radomszczański;84906;329;39660;194;t1012
łódzkie;rawski;27587;40;12428;24;t1013
łódzkie;sieradzki;96185;288;44087;171;t1014
łódzkie;skierniewicki;23289;47;11107;19;t1015
łódzkie;tomaszowski;102389;252;48326;131;t1016
łódzkie;wieluński;85603;204;40785;125;t1017
łódzkie;wieruszowski;32048;61;14548;48;t1018
łódzkie;zduńskowolski;47900;60;22114;24;t1019
