wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnośląskie;bolesławiecki;72722;122;32964;85;t0201
dolnośląskie;dzierżoniowski;68080;94;32004;3;t0202
dolnośląskie;głogowski;64212;83;29310;28;t0203
dolnośląskie;górowski;26703;32;12121;3;t0204
dolnośląskie;jaworski;39019;26;17703;14;t0205
dolnośląskie;jeleniogórski;50964;61;23718;35;t0206
dolnośląskie;kamiennogórski;31392;47;14814;36;t0207
dolnośląskie;kłodzki;127799;143;60010;88;t0208
dolnośląskie;legnicki;44035;67;19675;32;t0209
dolnośląskie;lubański;29915;54;12709;27;t0210
dolnośląskie;lubiński;124408;138;59625;70;t0211
dolnośląskie;lwówecki;41571;88;19303;42;t0212
dolnośląskie;milicki;34249;148;16184;85;t0213
dolnośląskie;oleśnicki;97437;116;44515;85;t0214
dolnośląskie;oławski;45405;24;21548;2;t0215
dolnośląskie;polkowicki;41538;2;18220;1;t0216
dolnośląskie;strzeliński;37031;49;17337;25;t0217
dolnośląskie;średzki;21825;36;10388;35;t0218
dolnośląskie;świdnicki;101265;232;46741;129;t0219
dolnośląskie;trzebnicki;59262;89;28524;36;t0220
dolnośląskie;wałbrzyski;31267;68;14900;37;t0221
dolnośląskie;wołowski;42298;19;18899;7;t0222
dolnośląskie;wrocławski;102957;146;49154;98;t0223
dolnośląskie;ząbkowicki;55269;174;25998;92;t0224
dolnośląskie;zgorzelecki;59284;213;26934;36;t0225
dolnośląskie;złotoryjski;34791;67;15618;30;t0226
dolnośląskie;Jelenia Góra;89723;197;43233;136;t0261
dolnośląskie;Legnica;89517;188;42313;90;t0262
dolnośląskie;Wrocław;1047975;947;493377;400;t0264
dolnośląskie;Wałbrzych;210400;239;98484;134;t0265
kujawsko-pomorskie;aleksandrowski;132349;74;63067;66;t0401
kujawsko-pomorskie;brodnicki;71873;80;33727;30;t0402
kujawsko-pomorskie;bydgoski;76804;165;36395;82;t0403
kujawsko-pomorskie;chełmiński;41717;36;19615;20;t0404
kujawsko-pomorskie;golubsko-dobrzyński;35622;71;16632;41;t0405
kujawsko-pomorskie;grudziądzki;26259;60;11855;46;t0406
kujawsko-pomorskie;inowrocławski;104262;41;49600;24;t0407
kujawsko-pomorskie;lipnowski;53216;112;24482;92;t0408
kujawsko-pomorskie;mogileński;32275;134;15125;66;t0409
kujawsko-pomorskie;nakielski;84187;27;37915;21;t0410
kujawsko-pomorskie;radziejowski;44475;0;20818;0;t0411
kujawsko-pomorskie;rypiński;35592;24;16731;16;t0412
kujawsko-pomorskie;sępoleński;48622;12;22501;6;t0413
kujawsko-pomorskie;świecki;78073;137;35922;75;t0414
kujawsko-pomorskie;toruński;71752;135;31412;92;t0415
kujawsko-pomorskie;tucholski;39161;83;17946;61;t0416
kujawsko-pomorskie;wąbrzeski;27918;85;12694;60;t0417
kujawsko-pomorskie;włocławski;65001;126;30999;36;t0418
kujawsko-pomorskie;żniński;52754;72;25029;36;t0419
kujawsko-pomorskie;Bydgoszcz;433031;282;203117;141;t0461
kujawsko-pomorskie;Grudziądz;123536;203;57236;97;t0462
kujawsko-pomorskie;Toruń;192471;143;89425;59;t0463
kujawsko-pomorskie;Włocławek;94014;119;42690;39;t0464
lubelskie;bialski;61500;71;28221;48;t0601
lubelskie;biłgorajski;53971;65;25700;37;t0602
lubelskie;chełmski;36156;100;17070;79;t0603
lubelskie;hrubieszowski;44721;104;20579;37;t0604
lubelskie;janowski;30856;54;14418;20;t0605
lubelskie;krasnostawski;41136;87;18993;54;t0606
lubelskie;kraśnicki;66661;134;31545;61;t0607
lubelskie;lubartowski;54824;42;25732;18;t0608
lubelskie;lubelski;84119;153;38485;107;t0609
lubelskie;łęczyński;40256;86;19303;46;t0610
lubelskie;łukowski;56165;154;26390;130;t0611
lubelskie;opolski;44919;183;20678;95;t0612
lubelskie;parczewski;28173;10;13053;4;t0613
lubelskie;puławski;97914;220;46780;129;t0614
lubelskie;radzyński;30727;46;14580;29;t0615
lubelskie;rycki;53594;63;25695;27;t0616
lubelskie;świdnicki;45949;74;22056;36;t0617
lubelskie;tomaszowski;55730;64;25912;16;t0618
lubelskie;włodawski;34994;30;16309;13;t0619
lubelskie;zamojski;48456;79;23486;22;t0620
lubelskie;Biała Podlaska;70031;86;33083;63;t0661
lubelskie;Chełm;63363;89;29012;57;t0662
lubelskie;Lublin;443489;632;204184;357;t0663
lubelskie;Zamość;89313;158;42100;99;t0664
lubuskie;gorzowski;29238;27;13671;10;t0801
lubuskie;krośnieński;51034;46;24220;23;t0802
lubuskie;międzyrzecki;66903;32;31267;15;t0803
lubuskie;nowosolski;91386;35;41153;11;t0804
lubuskie;słubicki;38209;20;18234;8;t0805
lubuskie;strzelecko-drezdenecki;50351;86;22772;62;t0806
lubuskie;sulęciński;30652;34;13974;32;t0807
