wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;25;0;0;0;t00
dolnośląskie;bolesławiecki;69221;162;31250;111;t0201
dolnośląskie;dzierżoniowski;65126;185;30714;125;t0202
dolnośląskie;głogowski;60923;230;27673;156;t0203
dolnośląskie;górowski;25691;17;11614;16;t0204
dolnośląskie;jaworski;37486;146;16944;56;t0205
dolnośląskie;jeleniogórski;48925;59;22872;20;t0206
dolnośląskie;kamiennogórski;29656;67;13907;51;t0207
dolnośląskie;kłodzki;122408;543;57495;344;t0208
dolnośląskie;legnicki;42516;104;18971;69;t0209
dolnośląskie;lubański;28337;137;11900;61;t0210
dolnośląskie;lubiński;120223;306;57352;88;t0211
dolnośląskie;lwówecki;39476;161;18315;67;t0212
dolnośląskie;milicki;32576;127;15230;53;t0213
dolnośląskie;oleśnicki;90344;296;40707;139;t0214
dolnośląskie;oławski;44177;58;21337;53;t0215
dolnośląskie;polkowicki;39968;35;17451;31;t0216
dolnośląskie;strzeliński;35585;28;16610;16;t0217
dolnośląskie;średzki;21009;77;9939;43;t0218
dolnośląskie;świdnicki;95723;307;44149;145;t0219
dolnośląskie;trzebnicki;57041;347;27275;265;t0220
dolnośląskie;wałbrzyski;30297;64;14326;28;t0221
dolnośląskie;wołowski;40547;91;18165;52;t0222
dolnośląskie;wrocławski;99241;351;47223;202;t0223
dolnośląskie;ząbkowicki;52875;118;24931;79;t0224
dolnośląskie;zgorzelecki;55428;273;25079;74;t0225
dolnośląskie;złotoryjski;32898;58;14660;43;t0226
dolnośląskie;Jelenia Góra;85715;270;41208;133;t0261
dolnośląskie;Legnica;85737;307;40357;154;t0262
dolnośląskie;Wrocław;1017023;1213;478742;606;t0264
dolnośląskie;Wałbrzych;205435;234;96159;141;t0265
kujawsko-pomorskie;aleksandrowski;129540;174;61635;136;t0401
kujawsko-pomorskie;brodnicki;68190;252;31730;182;t0402
kujawsko-pomorskie;bydgoski;73931;271;34707;193;t0403
kujawsko-pomorskie;chełmiński;39580;146;18552;56;t0404
kujawsko-pomorskie;golubsko-dobrzyński;34135;243;15915;211;t0405
kujawsko-pomorskie;grudziądzki;24582;65;10949;21;t0406
kujawsko-pomorskie;inowrocławski;101090;275;48099;140;t0407
kujawsko-pomorskie;lipnowski;49947;144;22698;105;t0408
kujawsko-pomorskie;mogileński;29652;192;13850;104;t0409
kujawsko-pomorskie;nakielski;79741;223;35993;111;t0410
kujawsko-pomorskie;radziejowski;42988;122;19922;61;t0411
kujawsko-pomorskie;rypiński;33315;449;15327;201;t0412
kujawsko-pomorskie;sępoleński;47024;86;21872;39;t0413
