wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;4;0;0;0;t00
dolnośląskie;bolesławiecki;72888;29;33007;0;t0201
dolnośląskie;dzierżoniowski;68387;0;32185;0;t0202
dolnośląskie;głogowski;64463;0;29414;0;t0203
dolnośląskie;górowski;26722;0;12121;0;t0204
dolnośląskie;jaworski;39091;7;17731;0;t0205
dolnośląskie;jeleniogórski;51022;0;23740;0;t0206
dolnośląskie;kamiennogórski;31548;0;14847;0;t0207
dolnośląskie;kłodzki;128198;0;60202;0;t0208
dolnośląskie;legnicki;44150;0;19738;0;t0209
dolnośląskie;lubański;29974;0;12722;0;t0210
dolnośląskie;lubiński;124609;0;59701;0;t0211
dolnośląskie;lwówecki;41702;8;19368;1;t0212
dolnośląskie;milicki;34343;20;16231;0;t0213
dolnośląskie;oleśnicki;98108;31;44889;21;t0214
dolnośląskie;oławski;45497;92;21548;0;t0215
dolnośląskie;polkowicki;41644;3;18254;0;t0216
dolnośląskie;strzeliński;37159;59;17360;0;t0217
dolnośląskie;średzki;21903;0;10423;0;t0218
dolnośląskie;świdnicki;101828;202;46909;0;t0219
dolnośląskie;trzebnicki;59355;0;28575;0;t0220
dolnośląskie;wałbrzyski;31346;0;14945;0;t0221
dolnośląskie;wołowski;42380;0;18965;0;t0222
dolnośląskie;wrocławski;103153;8;49235;0;t0223
dolnośląskie;ząbkowicki;55332;0;26012;0;t0224
dolnośląskie;zgorzelecki;59577;57;27054;0;t0225
dolnośląskie;złotoryjski;34836;10;15634;0;t0226
dolnośląskie;Jelenia Góra;89997;15;43399;2;t0261
dolnośląskie;Legnica;89862;75;42414;6;t0262
dolnośląskie;Wrocław;1050201;282;494236;58;t0264
dolnośląskie;Wałbrzych;210898;0;98563;0;t0265
kujawsko-pomorskie;aleksandrowski;132577;49;63150;0;t0401
kujawsko-pomorskie;brodnicki;71954;0;33767;0;t0402
kujawsko-pomorskie;bydgoski;76970;0;36470;0;t0403
kujawsko-pomorskie;chełmiński;41819;0;19675;0;t0404
kujawsko-pomorskie;golubsko-dobrzyński;35773;66;16672;0;t0405
kujawsko-pomorskie;grudziądzki;26335;0;11883;0;t0406
kujawsko-pomorskie;inowrocławski;104497;50;49688;0;t0407
kujawsko-pomorskie;lipnowski;53252;6;24503;6;t0408
kujawsko-pomorskie;mogileński;32343;0;15160;0;t0409
kujawsko-pomorskie;nakielski;84661;95;38159;38;t0410
kujawsko-pomorskie;radziejowski;44511;0;20837;0;t0411
kujawsko-pomorskie;rypiński;35691;0;16794;0;t0412
kujawsko-pomorskie;sępoleński;48704;34;22534;0;t0413
kujawsko-pomorskie;świecki;78356;0;36058;0;t0414
kujawsko-pomorskie;toruński;72038;0;31611;0;t0415
kujawsko-pomorskie;tucholski;39203;0;17976;0;t0416
kujawsko-pomorskie;wąbrzeski;28092;0;12764;0;t0417
kujawsko-pomorskie;włocławski;65155;21;31092;0;t0418
kujawsko-pomorskie;żniński;52924;0;25124;0;t0419
kujawsko-pomorskie;Bydgoszcz;434174;115;203502;15;t0461
kujawsko-pomorskie;Grudziądz;123784;0;57345;0;t0462
kujawsko-pomorskie;Toruń;193144;0;89714;0;t0463
kujawsko-pomorskie;Włocławek;94216;17;42746;0;t0464
lubelskie;bialski;61648;0;28294;0;t0601
lubelskie;biłgorajski;54149;0;25811;0;t0602
lubelskie;chełmski;36257;30;17111;0;t0603
lubelskie;hrubieszowski;44883;5;20645;0;t0604
lubelskie;janowski;30961;43;14453;9;t0605
lubelskie;krasnostawski;41252;0;19045;0;t0606
lubelskie;kraśnicki;66779;0;31607;0;t0607
lubelskie;lubartowski;55069;6;25894;1;t0608
lubelskie;lubelski;84440;64;38644;4;t0609
lubelskie;łęczyński;40292;0;19324;0;t0610
lubelskie;łukowski;56338;1;26473;0;t0611
lubelskie;opolski;45079;5;20778;0;t0612
lubelskie;parczewski;28198;7;13070;0;t0613
lubelskie;puławski;98024;0;46811;0;t0614
lubelskie;radzyński;30759;0;14587;0;t0615
lubelskie;rycki;53743;32;25779;0;t0616
lubelskie;świdnicki;46097;10;22124;0;t0617
lubelskie;tomaszowski;55945;43;25952;1;t0618
lubelskie;włodawski;35025;10;16309;0;t0619
lubelskie;zamojski;48566;0;23535;0;t0620
lubelskie;Biała Podlaska;70215;11;33176;0;t0661
lubelskie;Chełm;63497;57;29097;39;t0662
lubelskie;Lublin;444325;91;204455;15;t0663
lubelskie;Zamość;89589;0;42218;0;t0664
lubuskie;gorzowski;29384;1;13736;0;t0801
lubuskie;krośnieński;51157;0;24249;0;t0802
lubuskie;międzyrzecki;67093;9;31335;0;t0803
lubuskie;nowosolski;91918;105;41334;20;t0804
lubuskie;słubicki;38272;0;18266;0;t0805
lubuskie;strzelecko-drezdenecki;50609;5;22864;0;t0806
lubuskie;sulęciński;30787;20;14017;0;t0807
lubuskie;świebodziński;55371;0;25707;0;t0808
lubuskie;zielonogórski;89043;12;41483;0;t0809
lubuskie;żagański;68415;0;31387;0;t0810
lubuskie;żarski;99933;13;47074;0;t0811
lubuskie;wschowski;27219;44;13016;5;t0812
lubuskie;Gorzów Wielkopolski;150968;33;69665;5;t0861
lubuskie;Zielona Góra;150956;33;72104;3;t0862
łódzkie;bełchatowski;73933;40;33923;0;t1001
łódzkie;kutnowski;88898;37;43134;0;t1002
łódzkie;łaski;36252;0;17368;0;t1003
łódzkie;łęczycki;51536;29;23766;20;t1004
łódzkie;łowicki;90243;0;43141;0;t1005
łódzkie;łódzki wschodni;37014;0;16703;0;t1006
łódzkie;opoczyński;59519;43;26922;1;t1007
łódzkie;pabianicki;108155;16;51195;3;t1008
łódzkie;pajęczański;29907;0;13591;0;t1009
łódzkie;piotrkowski;50277;86;23400;44;t1010
łódzkie;poddębicki;37166;17;17582;0;t1011
łódzkie;radomszczański;88591;65;41691;46;t1012
łódzkie;rawski;28731;12;13096;0;t1013
łódzkie;sieradzki;100190;65;45860;20;t1014
łódzkie;skierniewicki;24019;39;11366;39;t1015
łódzkie;tomaszowski;105763;18;50080;0;t1016
łódzkie;wieluński;87807;8;41895;0;t1017
łódzkie;wieruszowski;33028;22;15019;4;t1018
łódzkie;zduńskowolski;49846;0;23150;0;t1019
łódzkie;zgierski;129562;0;61020;0;t1020
łódzkie;brzeziński;34799;0;16610;0;t1021
łódzkie;Łódź;902833;103;427690;5;t1061
łódzkie;Piotrków Trybunalski;81447;3;38168;0;t1062
łódzkie;Skierniewice;72498;23;34273;0;t1063
małopolskie;bocheński;78121;25;35074;1;t1201
małopolskie;brzeski;66662;38;30992;0;t1202
małopolskie;chrzanowski;110682;37;51069;4;t1203
małopolskie;dąbrowski;42138;10;19769;0;t1204
małopolskie;gorlicki;85515;15;40488;0;t1205
małopolskie;krakowski;158491;11;74200;1;t1206
małopolskie;limanowski;88278;113;40531;27;t1207
małopolskie;miechowski;60502;19;29083;0;t1208
małopolskie;myślenicki;102702;31;48273;11;t1209
małopolskie;nowosądecki;130146;44;58438;5;t1210
małopolskie;nowotarski;130447;0;59511;0;t1211
małopolskie;olkuski;109439;27;50842;14;t1212
małopolskie;oświęcimski;120518;70;56919;36;t1213
małopolskie;proszowicki;43476;6;20711;4;t1214
małopolskie;suski;68399;0;32486;0;t1215
małopolskie;tarnowski;94795;51;44048;1;t1216
małopolskie;tatrzański;35228;0;16728;0;t1217
małopolskie;wadowicki;118604;79;53236;18;t1218
małopolskie;wielicki;109728;28;49859;0;t1219
małopolskie;Kraków;1177889;220;560152;88;t1261
małopolskie;Nowy Sącz;63510;0;30168;0;t1262
małopolskie;Tarnów;112496;68;51821;8;t1263
mazowieckie;białobrzeski;35391;11;16816;11;t1401
mazowieckie;ciechanowski;79620;26;37870;2;t1402
mazowieckie;garwoliński;82360;24;39416;0;t1403
mazowieckie;gostyniński;28045;19;13547;1;t1404
mazowieckie;grodziski;94779;0;43615;0;t1405
mazowieckie;grójecki;104356;18;49346;0;t1406
mazowieckie;kozienicki;43551;0;20817;0;t1407
mazowieckie;legionowski;75455;5;33187;0;t1408
mazowieckie;lipski;26171;12;12464;0;t1409
mazowieckie;łosicki;18408;10;8887;0;t1410
mazowieckie;makowski;40582;57;18869;1;t1411
mazowieckie;miński;128112;31;57757;0;t1412
mazowieckie;mławski;60134;15;28646;0;t1413
mazowieckie;nowodworski;110127;56;51490;8;t1414
mazowieckie;ostrołęcki;49374;1;23135;0;t1415
mazowieckie;ostrowski;50105;83;24317;66;t1416
mazowieckie;otwocki;90947;1;43856;0;t1417
mazowieckie;piaseczyński;242024;2;113844;0;t1418
mazowieckie;płocki;84991;11;40416;1;t1419
mazowieckie;płoński;79213;0;36928;0;t1420
mazowieckie;pruszkowski;133369;5;63164;0;t1421
mazowieckie;przasnyski;50020;0;23978;0;t1422
mazowieckie;przysuski;28341;44;13377;12;t1423
mazowieckie;pułtuski;46089;9;22078;0;t1424
mazowieckie;radomski;62839;66;29467;2;t1425
mazowieckie;siedlecki;30836;4;14796;0;t1426
mazowieckie;sierpecki;44223;24;20964;0;t1427
mazowieckie;sochaczewski;82690;6;39175;0;t1428
mazowieckie;sokołowski;42051;0;19720;0;t1429
mazowieckie;szydłowiecki;20391;0;9203;0;t1430
mazowieckie;warszawski zachodni;113842;6;54081;0;t1432
mazowieckie;węgrowski;45818;18;21877;0;t1433
mazowieckie;wołomiński;207006;272;94130;22;t1434
mazowieckie;wyszkowski;62192;0;29593;0;t1435
mazowieckie;zwoleński;28092;0;13417;0;t1436
mazowieckie;żuromiński;29155;0;14312;0;t1437
mazowieckie;żyrardowski;56285;0;26563;0;t1438
mazowieckie;Ostrołęka;70051;0;33631;0;t1461
mazowieckie;Płock;128842;0;59785;0;t1462
mazowieckie;Radom;232182;51;107500;34;t1463
mazowieckie;Siedlce;116886;36;55183;23;t1464
mazowieckie;Warszawa;2549261;869;1197704;236;t1465
opolskie;brzeski;70693;0;33339;0;t1601
opolskie;głubczycki;41325;33;19594;0;t1602
opolskie;kędzierzyńsko-kozielski;80189;88;38066;5;t1603
