wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;25;0;0;0;t00
dolnośląskie;bolesławiecki;68585;151;30958;74;t0201
dolnośląskie;dzierżoniowski;64532;58;30333;42;t0202
dolnośląskie;głogowski;60246;0;27243;0;t0203
dolnośląskie;górowski;25486;0;11479;0;t0204
dolnośląskie;jaworski;37146;1;16747;1;t0205
dolnośląskie;jeleniogórski;48559;39;22719;35;t0206
dolnośląskie;kamiennogórski;29310;36;13745;24;t0207
dolnośląskie;kłodzki;120797;76;56568;26;t0208
dolnośląskie;legnicki;42057;9;18768;9;t0209
dolnośląskie;lubański;27830;33;11587;21;t0210
dolnośląskie;lubiński;119347;99;56944;25;t0211
dolnośląskie;lwówecki;39101;45;18138;7;t0212
dolnośląskie;milicki;32170;19;15059;18;t0213
dolnośląskie;oleśnicki;89091;241;40151;104;t0214
dolnośląskie;oławski;43933;0;21185;0;t0215
dolnośląskie;polkowicki;39589;0;17278;0;t0216
dolnośląskie;strzeliński;35385;0;16515;0;t0217
dolnośląskie;średzki;20802;31;9836;19;t0218
dolnośląskie;świdnicki;94721;122;43588;26;t0219
dolnośląskie;trzebnicki;56328;0;26809;0;t0220
dolnośląskie;wałbrzyski;30102;0;14205;0;t0221
dolnośląskie;wołowski;40133;22;18009;5;t0222
dolnośląskie;wrocławski;98638;41;46880;16;t0223
dolnośląskie;ząbkowicki;52328;33;24597;11;t0224
dolnośląskie;zgorzelecki;54437;39;24671;38;t0225
dolnośląskie;złotoryjski;32621;21;14485;5;t0226
dolnośląskie;Jelenia Góra;85027;149;40912;111;t0261
dolnośląskie;Legnica;85001;39;39970;9;t0262
dolnośląskie;Wrocław;1010754;701;475682;426;t0264
dolnośląskie;Wałbrzych;204395;247;95676;171;t0265
kujawsko-pomorskie;aleksandrowski;128876;28;61198;2;t0401
kujawsko-pomorskie;brodnicki;67229;135;31248;99;t0402
kujawsko-pomorskie;bydgoski;73247;34;34254;2;t0403
kujawsko-pomorskie;chełmiński;39080;51;18308;20;t0404
kujawsko-pomorskie;golubsko-dobrzyński;33513;0;15316;0;t0405
kujawsko-pomorskie;grudziądzki;24338;49;10833;33;t0406
kujawsko-pomorskie;inowrocławski;100241;49;47534;48;t0407
kujawsko-pomorskie;lipnowski;49404;64;22309;34;t0408
kujawsko-pomorskie;mogileński;29076;38;13573;21;t0409
kujawsko-pomorskie;nakielski;79028;1;35643;0;t0410
kujawsko-pomorskie;radziejowski;42407;28;19448;25;t0411
kujawsko-pomorskie;rypiński;32718;6;15053;0;t0412
kujawsko-pomorskie;sępoleński;46674;1;21765;0;t0413
kujawsko-pomorskie;świecki;72064;66;33044;38;t0414
kujawsko-pomorskie;toruński;68329;78;29756;39;t0415
kujawsko-pomorskie;tucholski;36718;116;16960;0;t0416
kujawsko-pomorskie;wąbrzeski;25694;21;11394;14;t0417
kujawsko-pomorskie;włocławski;61522;23;29037;15;t0418
kujawsko-pomorskie;żniński;50414;79;23600;54;t0419
kujawsko-pomorskie;Bydgoszcz;413792;404;194764;194;t0461
kujawsko-pomorskie;Grudziądz;117015;273;54179;165;t0462
kujawsko-pomorskie;Toruń;181177;213;84171;60;t0463
kujawsko-pomorskie;Włocławek;88736;181;40356;77;t0464
lubelskie;bialski;58233;0;26544;0;t0601
lubelskie;biłgorajski;50708;31;24046;5;t0602
lubelskie;chełmski;34615;16;16290;9;t0603
lubelskie;hrubieszowski;41640;109;19000;82;t0604
lubelskie;janowski;28519;55;13237;29;t0605
lubelskie;krasnostawski;39172;30;18154;9;t0606
lubelskie;kraśnicki;63292;62;29882;45;t0607
lubelskie;lubartowski;52016;29;24362;0;t0608
lubelskie;lubelski;79469;30;36111;11;t0609
lubelskie;łęczyński;38491;64;18356;43;t0610
lubelskie;łukowski;52061;142;24308;104;t0611
lubelskie;opolski;41843;13;19105;3;t0612
lubelskie;parczewski;26637;15;12337;0;t0613
lubelskie;puławski;92398;180;43753;142;t0614
lubelskie;radzyński;28994;12;13702;6;t0615
lubelskie;rycki;51016;23;24312;19;t0616
lubelskie;świdnicki;42928;131;20543;84;t0617
lubelskie;tomaszowski;52310;66;24165;56;t0618
lubelskie;włodawski;33667;10;15696;10;t0619
lubelskie;zamojski;46227;30;22274;18;t0620
lubelskie;Biała Podlaska;65768;72;30962;34;t0661
