wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;25;0;0;0;t00
dolnośląskie;bolesławiecki;68432;212;30882;162;t0201
dolnośląskie;dzierżoniowski;64468;225;30292;60;t0202
dolnośląskie;głogowski;60240;321;27242;6;t0203
dolnośląskie;górowski;25488;30;11480;29;t0204
dolnośląskie;jaworski;37143;0;16742;0;t0205
dolnośląskie;jeleniogórski;48519;0;22684;0;t0206
dolnośląskie;kamiennogórski;29174;13;13635;0;t0207
dolnośląskie;kłodzki;120632;9;56536;0;t0208
dolnośląskie;legnicki;41945;28;18761;18;t0209
dolnośląskie;lubański;27790;0;11560;0;t0210
dolnośląskie;lubiński;119248;110;56918;60;t0211
dolnośląskie;lwówecki;38962;150;18131;92;t0212
dolnośląskie;milicki;32151;65;15041;35;t0213
dolnośląskie;oleśnicki;88264;557;39772;232;t0214
dolnośląskie;oławski;43839;0;21185;0;t0215
dolnośląskie;polkowicki;39573;52;17277;33;t0216
dolnośląskie;strzeliński;35363;0;16506;0;t0217
dolnośląskie;średzki;20771;0;9817;0;t0218
dolnośląskie;świdnicki;94375;269;43566;178;t0219
dolnośląskie;trzebnicki;56243;136;26808;74;t0220
dolnośląskie;wałbrzyski;30086;0;14203;0;t0221
dolnośląskie;wołowski;40011;60;17974;18;t0222
dolnośląskie;wrocławski;98601;228;46870;152;t0223
dolnośląskie;ząbkowicki;52204;306;24562;146;t0224
dolnośląskie;zgorzelecki;54240;5;24633;0;t0225
dolnośląskie;złotoryjski;32593;0;14479;0;t0226
dolnośląskie;Jelenia Góra;84877;71;40800;50;t0261
dolnośląskie;Legnica;84957;120;39959;50;t0262
dolnośląskie;Wrocław;1008782;1222;475059;833;t0264
dolnośląskie;Wałbrzych;203884;577;95497;351;t0265
kujawsko-pomorskie;aleksandrowski;128766;92;61192;0;t0401
kujawsko-pomorskie;brodnicki;67093;84;31147;47;t0402
kujawsko-pomorskie;bydgoski;73192;261;34242;195;t0403
kujawsko-pomorskie;chełmiński;39027;64;18287;61;t0404
kujawsko-pomorskie;golubsko-dobrzyński;33513;0;15316;0;t0405
kujawsko-pomorskie;grudziądzki;24221;3;10798;0;t0406
kujawsko-pomorskie;inowrocławski;100181;176;47480;54;t0407
kujawsko-pomorskie;lipnowski;49213;166;22237;163;t0408
kujawsko-pomorskie;mogileński;29031;50;13545;0;t0409
kujawsko-pomorskie;nakielski;78571;443;35442;164;t0410
kujawsko-pomorskie;radziejowski;42378;170;19421;80;t0411
kujawsko-pomorskie;rypiński;32739;57;15053;52;t0412
kujawsko-pomorskie;sępoleński;46670;0;21764;0;t0413
kujawsko-pomorskie;świecki;71995;271;33007;134;t0414
kujawsko-pomorskie;toruński;68255;12;29718;12;t0415
kujawsko-pomorskie;tucholski;36582;266;16961;196;t0416
kujawsko-pomorskie;wąbrzeski;25574;36;11333;33;t0417
kujawsko-pomorskie;włocławski;61294;117;29004;77;t0418
kujawsko-pomorskie;żniński;50278;558;23547;347;t0419
kujawsko-pomorskie;Bydgoszcz;412877;830;194328;378;t0461
kujawsko-pomorskie;Grudziądz;116733;84;54008;13;t0462
kujawsko-pomorskie;Toruń;180818;822;84105;322;t0463
kujawsko-pomorskie;Włocławek;88506;261;40263;112;t0464
lubelskie;bialski;58127;0;26542;0;t0601
lubelskie;biłgorajski;50619;0;24041;0;t0602
lubelskie;chełmski;34601;40;16281;17;t0603
lubelskie;hrubieszowski;41526;0;18917;0;t0604
lubelskie;janowski;28446;59;13207;34;t0605
lubelskie;krasnostawski;39069;64;18145;34;t0606
lubelskie;kraśnicki;63228;1;29837;0;t0607
lubelskie;lubartowski;51991;235;24363;105;t0608
lubelskie;lubelski;79350;115;36099;55;t0609
lubelskie;łęczyński;38424;0;18312;0;t0610
lubelskie;łukowski;51852;89;24202;27;t0611
lubelskie;opolski;41816;83;19094;42;t0612
lubelskie;parczewski;26621;0;12336;0;t0613
lubelskie;puławski;92211;54;43604;0;t0614
lubelskie;radzyński;28981;6;13695;0;t0615
lubelskie;rycki;50995;126;24295;82;t0616
lubelskie;świdnicki;42776;40;20453;14;t0617
lubelskie;tomaszowski;52223;63;24110;28;t0618
lubelskie;włodawski;33657;0;15686;0;t0619
lubelskie;zamojski;46154;192;22257;170;t0620
lubelskie;Biała Podlaska;65563;72;30927;28;t0661
lubelskie;Chełm;59550;194;27385;106;t0662
lubelskie;Lublin;420963;443;195504;150;t0663
lubelskie;Zamość;84229;118;39684;75;t0664
lubuskie;gorzowski;27520;0;12705;0;t0801
lubuskie;krośnieński;48050;290;23019;59;t0802
lubuskie;międzyrzecki;63981;212;29904;111;t0803
lubuskie;nowosolski;85486;345;39011;98;t0804
lubuskie;słubicki;35907;217;16981;142;t0805
lubuskie;strzelecko-drezdenecki;46846;71;21613;22;t0806
lubuskie;sulęciński;27708;0;12685;0;t0807
lubuskie;świebodziński;52538;159;24315;81;t0808
lubuskie;zielonogórski;84626;235;39327;138;t0809
lubuskie;żagański;64193;430;29749;108;t0810
lubuskie;żarski;94967;127;45081;11;t0811
lubuskie;wschowski;24808;169;11771;24;t0812
lubuskie;Gorzów Wielkopolski;138711;445;65323;195;t0861
lubuskie;Zielona Góra;144241;69;68772;48;t0862
łódzkie;bełchatowski;68081;1;31218;0;t1001
łódzkie;kutnowski;83533;47;40151;6;t1002
łódzkie;łaski;34055;151;16207;87;t1003
łódzkie;łęczycki;47792;104;21669;78;t1004
łódzkie;łowicki;86065;0;40891;0;t1005
łódzkie;łódzki wschodni;34598;0;15476;0;t1006
łódzkie;opoczyński;54988;138;24866;72;t1007
łódzkie;pabianicki;101790;93;47593;45;t1008
łódzkie;pajęczański;28653;0;12987;0;t1009
łódzkie;piotrkowski;46613;398;21511;212;t1010
łódzkie;poddębicki;35210;0;16593;0;t1011
łódzkie;radomszczański;81038;444;37522;299;t1012
łódzkie;rawski;26550;0;11959;0;t1013
łódzkie;sieradzki;93044;527;42605;344;t1014
łódzkie;skierniewicki;22682;0;10771;0;t1015
łódzkie;tomaszowski;99288;8;46651;8;t1016
łódzkie;wieluński;83655;216;39864;69;t1017
łódzkie;wieruszowski;31177;81;14061;4;t1018
łódzkie;zduńskowolski;46621;371;21388;120;t1019
łódzkie;zgierski;122460;0;57302;0;t1020
łódzkie;brzeziński;32835;0;15473;0;t1021
łódzkie;Łódź;865568;1588;410227;833;t1061
łódzkie;Piotrków Trybunalski;74210;7;34837;0;t1062
łódzkie;Skierniewice;68233;60;32569;60;t1063
małopolskie;bocheński;72583;348;32405;96;t1201
małopolskie;brzeski;61833;445;28389;282;t1202
małopolskie;chrzanowski;105134;343;48181;265;t1203
małopolskie;dąbrowski;38839;26;17945;26;t1204
małopolskie;gorlicki;80036;136;37788;22;t1205
małopolskie;krakowski;146960;248;67886;50;t1206
małopolskie;limanowski;81705;411;37439;224;t1207
małopolskie;miechowski;58015;0;27601;0;t1208
małopolskie;myślenicki;94520;348;44249;267;t1209
małopolskie;nowosądecki;121531;733;54464;432;t1210
małopolskie;nowotarski;122380;515;55585;189;t1211
małopolskie;olkuski;104687;548;48534;273;t1212
małopolskie;oświęcimski;112800;484;52597;247;t1213
małopolskie;proszowicki;40332;17;19036;0;t1214
małopolskie;suski;64251;114;30151;94;t1215
małopolskie;tarnowski;88470;14;40715;14;t1216
małopolskie;tatrzański;32982;0;15687;0;t1217
małopolskie;wadowicki;109432;693;48523;432;t1218
małopolskie;wielicki;101055;433;45395;147;t1219
małopolskie;Kraków;1127650;2194;533735;1332;t1261
małopolskie;Nowy Sącz;59472;229;27918;84;t1262
małopolskie;Tarnów;104024;423;47925;173;t1263
mazowieckie;białobrzeski;32926;148;15488;75;t1401
