wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;25;0;0;0;t00
dolnośląskie;bolesławiecki;68747;143;31033;73;t0201
dolnośląskie;dzierżoniowski;64669;117;30379;40;t0202
dolnośląskie;głogowski;60433;184;27331;88;t0203
dolnośląskie;górowski;25530;34;11503;14;t0204
dolnośląskie;jaworski;37156;3;16758;3;t0205
dolnośląskie;jeleniogórski;48640;58;22750;34;t0206
dolnośląskie;kamiennogórski;29398;67;13779;36;t0207
dolnośląskie;kłodzki;121327;510;56822;252;t0208
dolnośląskie;legnicki;42305;234;18863;81;t0209
dolnośląskie;lubański;28161;83;11828;26;t0210
dolnośląskie;lubiński;119779;321;57170;153;t0211
dolnośląskie;lwówecki;39198;68;18203;49;t0212
dolnośląskie;milicki;32307;26;15073;7;t0213
dolnośląskie;oleśnicki;89377;223;40279;116;t0214
dolnośląskie;oławski;44053;81;21255;70;t0215
dolnośląskie;polkowicki;39706;79;17295;17;t0216
dolnośląskie;strzeliński;35490;103;16576;60;t0217
dolnośląskie;średzki;20883;74;9877;41;t0218
dolnośląskie;świdnicki;95002;218;43736;116;t0219
dolnośląskie;trzebnicki;56466;128;26829;10;t0220
dolnośląskie;wałbrzyski;30113;6;14211;5;t0221
dolnośląskie;wołowski;40300;91;18074;41;t0222
dolnośląskie;wrocławski;98739;77;46930;29;t0223
dolnośląskie;ząbkowicki;52446;66;24654;38;t0224
dolnośląskie;zgorzelecki;54831;377;24841;169;t0225
dolnośląskie;złotoryjski;32710;57;14522;11;t0226
dolnośląskie;Jelenia Góra;85292;188;41023;97;t0261
dolnośląskie;Legnica;85182;180;40084;114;t0262
dolnośląskie;Wrocław;1012820;1168;476607;713;t0264
dolnośląskie;Wałbrzych;204822;309;95840;111;t0265
kujawsko-pomorskie;aleksandrowski;129104;195;61333;128;t0401
kujawsko-pomorskie;brodnicki;67509;244;31406;157;t0402
kujawsko-pomorskie;bydgoski;73379;127;34339;83;t0403
kujawsko-pomorskie;chełmiński;39246;158;18374;59;t0404
kujawsko-pomorskie;golubsko-dobrzyński;33686;56;15465;30;t0405
kujawsko-pomorskie;grudziądzki;24394;46;10850;15;t0406
kujawsko-pomorskie;inowrocławski;100475;210;47703;151;t0407
kujawsko-pomorskie;lipnowski;49578;166;22451;140;t0408
kujawsko-pomorskie;mogileński;29346;205;13702;117;t0409
kujawsko-pomorskie;nakielski;79188;134;35719;72;t0410
kujawsko-pomorskie;radziejowski;42549;117;19564;100;t0411
kujawsko-pomorskie;rypiński;32763;43;15061;7;t0412
kujawsko-pomorskie;sępoleński;46854;132;21796;12;t0413
kujawsko-pomorskie;świecki;72194;106;33137;80;t0414
kujawsko-pomorskie;toruński;68453;110;29827;59;t0415
kujawsko-pomorskie;tucholski;36941;147;16961;0;t0416
kujawsko-pomorskie;wąbrzeski;25819;83;11472;53;t0417
kujawsko-pomorskie;włocławski;61672;141;29086;48;t0418
kujawsko-pomorskie;żniński;50618;182;23710;109;t0419
kujawsko-pomorskie;Bydgoszcz;414730;711;195144;331;t0461
kujawsko-pomorskie;Grudziądz;117349;293;54316;137;t0462
kujawsko-pomorskie;Toruń;181671;259;84261;25;t0463
kujawsko-pomorskie;Włocławek;89027;180;40454;56;t0464
lubelskie;bialski;58327;87;26580;34;t0601
lubelskie;biłgorajski;50848;124;24157;103;t0602
lubelskie;chełmski;34695;75;16331;38;t0603
lubelskie;hrubieszowski;41816;175;19063;62;t0604
lubelskie;janowski;28607;82;13267;30;t0605
lubelskie;krasnostawski;39297;123;18202;47;t0606
lubelskie;kraśnicki;63535;233;30064;174;t0607
lubelskie;lubartowski;52048;22;24367;5;t0608
lubelskie;lubelski;79631;119;36194;57;t0609
lubelskie;łęczyński;38597;56;18406;35;t0610
lubelskie;łukowski;52279;164;24384;31;t0611
lubelskie;opolski;41930;84;19144;36;t0612
lubelskie;parczewski;26656;17;12337;0;t0613
lubelskie;puławski;92890;426;44033;268;t0614
lubelskie;radzyński;29129;135;13743;41;t0615
lubelskie;rycki;51160;129;24405;81;t0616
lubelskie;świdnicki;43151;198;20632;82;t0617
lubelskie;tomaszowski;52623;199;24410;131;t0618
lubelskie;włodawski;33721;16;15710;0;t0619
lubelskie;zamojski;46277;48;22309;34;t0620
lubelskie;Biała Podlaska;65970;163;31061;87;t0661
lubelskie;Chełm;59896;85;27479;51;t0662
lubelskie;Lublin;422964;769;196076;257;t0663
lubelskie;Zamość;84580;230;39826;93;t0664
lubuskie;gorzowski;27761;171;12883;110;t0801
lubuskie;krośnieński;48325;12;23042;12;t0802
lubuskie;międzyrzecki;64152;40;29997;29;t0803
lubuskie;nowosolski;85995;89;39023;4;t0804
lubuskie;słubicki;36044;134;17056;73;t0805
lubuskie;strzelecko-drezdenecki;47129;98;21730;71;t0806
lubuskie;sulęciński;28108;155;12844;66;t0807
lubuskie;świebodziński;52790;33;24429;32;t0808
lubuskie;zielonogórski;84843;83;39402;55;t0809
lubuskie;żagański;64358;46;29773;21;t0810
lubuskie;żarski;95447;252;45282;171;t0811
lubuskie;wschowski;24905;0;11771;0;t0812
lubuskie;Gorzów Wielkopolski;139851;398;65734;188;t0861
lubuskie;Zielona Góra;145263;751;69300;456;t0862
łódzkie;bełchatowski;68479;310;31383;144;t1001
łódzkie;kutnowski;84207;399;40587;253;t1002
łódzkie;łaski;34237;122;16327;63;t1003
łódzkie;łęczycki;48083;95;21834;37;t1004
łódzkie;łowicki;86361;160;41011;81;t1005
łódzkie;łódzki wschodni;34751;142;15525;49;t1006
łódzkie;opoczyński;55141;34;24903;14;t1007
łódzkie;pabianicki;102301;343;47852;188;t1008
łódzkie;pajęczański;28693;31;13013;24;t1009
łódzkie;piotrkowski;46791;55;21626;21;t1010
łódzkie;poddębicki;35333;68;16656;52;t1011
łódzkie;radomszczański;81544;272;37850;243;t1012
łódzkie;rawski;26735;78;11996;37;t1013
łódzkie;sieradzki;93515;135;42797;73;t1014
łódzkie;skierniewicki;22736;0;10804;0;t1015
łódzkie;tomaszowski;99824;201;46936;143;t1016
łódzkie;wieluński;83864;89;39935;36;t1017
łódzkie;wieruszowski;31254;77;14116;55;t1018
łódzkie;zduńskowolski;46800;172;21516;124;t1019
łódzkie;zgierski;122818;172;57484;112;t1020
łódzkie;brzeziński;32963;66;15513;6;t1021
łódzkie;Łódź;868394;1212;411315;591;t1061
łódzkie;Piotrków Trybunalski;74721;231;35025;116;t1062
łódzkie;Skierniewice;68514;93;32685;41;t1063
małopolskie;bocheński;73250;186;32627;78;t1201
małopolskie;brzeski;62132;135;28533;85;t1202
małopolskie;chrzanowski;105640;315;48507;189;t1203
małopolskie;dąbrowski;39244;178;18144;112;t1204
małopolskie;gorlicki;80600;244;38034;118;t1205
małopolskie;krakowski;147574;357;68331;271;t1206
małopolskie;limanowski;82221;137;37577;101;t1207
małopolskie;miechowski;58226;75;27754;44;t1208
małopolskie;myślenicki;95360;327;44608;138;t1209
małopolskie;nowosądecki;122124;312;54621;157;t1210
małopolskie;nowotarski;123073;291;55740;81;t1211
małopolskie;olkuski;104883;67;48583;16;t1212
małopolskie;oświęcimski;113336;292;52856;157;t1213
małopolskie;proszowicki;40566;229;19074;38;t1214
małopolskie;suski;64687;238;30406;194;t1215
małopolskie;tarnowski;88890;286;41004;226;t1216
małopolskie;tatrzański;33126;70;15752;30;t1217
małopolskie;wadowicki;110164;239;48902;147;t1218
