wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnośląskie;bolesławiecki;72284;41;32737;3;t0201
dolnośląskie;dzierżoniowski;67636;28;31773;0;t0202
dolnośląskie;głogowski;63751;0;29066;0;t0203
dolnośląskie;górowski;26549;0;12053;0;t0204
dolnośląskie;jaworski;38819;0;17612;0;t0205
dolnośląskie;jeleniogórski;50746;73;23603;1;t0206
dolnośląskie;kamiennogórski;31237;0;14714;0;t0207
dolnośląskie;kłodzki;127133;7;59691;0;t0208
dolnośląskie;legnicki;43786;0;19553;0;t0209
dolnośląskie;lubański;29656;0;12553;0;t0210
dolnośląskie;lubiński;123835;0;59324;0;t0211
dolnośląskie;lwówecki;41320;11;19169;0;t0212
dolnośląskie;milicki;33976;0;16026;0;t0213
dolnośląskie;oleśnicki;96743;163;44135;28;t0214
dolnośląskie;oławski;45205;94;21521;0;t0215
dolnośląskie;polkowicki;41328;41;18101;2;t0216
dolnośląskie;strzeliński;36832;0;17257;0;t0217
dolnośląskie;średzki;21707;0;10301;0;t0218
dolnośląskie;świdnicki;100542;199;46383;0;t0219
dolnośląskie;trzebnicki;59052;0;28393;0;t0220
dolnośląskie;wałbrzyski;31143;0;14836;0;t0221
dolnośląskie;wołowski;41990;18;18749;6;t0222
dolnośląskie;wrocławski;102631;0;48983;0;t0223
dolnośląskie;ząbkowicki;54856;5;25786;0;t0224
dolnośląskie;zgorzelecki;58726;54;26752;0;t0225
dolnośląskie;złotoryjski;34397;0;15487;0;t0226
dolnośląskie;Jelenia Góra;89175;0;42955;0;t0261
dolnośląskie;Legnica;89048;0;42109;0;t0262
dolnośląskie;Wrocław;1043752;596;491430;84;t0264
dolnośląskie;Wałbrzych;209711;65;98150;0;t0265
kujawsko-pomorskie;aleksandrowski;132067;26;62845;0;t0401
kujawsko-pomorskie;brodnicki;71364;91;33447;0;t0402
kujawsko-pomorskie;bydgoski;76447;0;36204;0;t0403
kujawsko-pomorskie;chełmiński;41508;0;19470;0;t0404
kujawsko-pomorskie;golubsko-dobrzyński;35256;1;16401;1;t0405
kujawsko-pomorskie;grudziądzki;26012;71;11718;1;t0406
kujawsko-pomorskie;inowrocławski;103943;61;49400;0;t0407
kujawsko-pomorskie;lipnowski;52691;0;24162;0;t0408
kujawsko-pomorskie;mogileński;31818;0;14982;0;t0409
kujawsko-pomorskie;nakielski;83912;101;37784;25;t0410
kujawsko-pomorskie;radziejowski;44318;0;20710;0;t0411
kujawsko-pomorskie;rypiński;35322;0;16567;0;t0412
kujawsko-pomorskie;sępoleński;48478;42;22446;1;t0413
kujawsko-pomorskie;świecki;77467;0;35587;0;t0414
kujawsko-pomorskie;toruński;71373;37;31219;1;t0415
kujawsko-pomorskie;tucholski;38969;0;17810;0;t0416
kujawsko-pomorskie;wąbrzeski;27643;0;12591;0;t0417
kujawsko-pomorskie;włocławski;64473;41;30722;2;t0418
kujawsko-pomorskie;żniński;52507;0;24864;0;t0419
kujawsko-pomorskie;Bydgoszcz;431180;525;202246;64;t0461
kujawsko-pomorskie;Grudziądz;122896;0;56899;0;t0462
kujawsko-pomorskie;Toruń;191408;271;88833;56;t0463
kujawsko-pomorskie;Włocławek;93434;65;42452;6;t0464
lubelskie;bialski;61279;53;28085;0;t0601
lubelskie;biłgorajski;53644;42;25504;0;t0602
lubelskie;chełmski;35986;35;16945;0;t0603
lubelskie;hrubieszowski;44358;9;20390;0;t0604
lubelskie;janowski;30668;72;14335;3;t0605
lubelskie;krasnostawski;40812;5;18827;0;t0606
lubelskie;kraśnicki;66162;11;31278;0;t0607
lubelskie;lubartowski;54602;83;25644;61;t0608
lubelskie;lubelski;83555;38;38142;0;t0609
lubelskie;łęczyński;39966;15;19118;0;t0610
lubelskie;łukowski;55577;31;26083;0;t0611
lubelskie;opolski;44516;77;20468;32;t0612
lubelskie;parczewski;27987;26;12968;0;t0613
lubelskie;puławski;97272;0;46396;0;t0614
lubelskie;radzyński;30603;5;14509;0;t0615
