wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnośląskie;bolesławiecki;71510;7;32344;5;t0201
dolnośląskie;dzierżoniowski;66787;0;31474;0;t0202
dolnośląskie;głogowski;63055;12;28702;2;t0203
dolnośląskie;górowski;26380;0;11975;0;t0204
dolnośląskie;jaworski;38511;32;17434;0;t0205
dolnośląskie;jeleniogórski;50279;39;23461;15;t0206
dolnośląskie;kamiennogórski;30839;68;14494;63;t0207
dolnośląskie;kłodzki;126112;64;59214;22;t0208
dolnośląskie;legnicki;43581;0;19455;0;t0209
dolnośląskie;lubański;29425;0;12436;0;t0210
dolnośląskie;lubiński;122917;89;58920;55;t0211
dolnośląskie;lwówecki;40930;36;18996;33;t0212
dolnośląskie;milicki;33672;27;15847;3;t0213
dolnośląskie;oleśnicki;95038;142;43114;62;t0214
dolnośląskie;oławski;44742;0;21475;0;t0215
dolnośląskie;polkowicki;40955;51;17930;29;t0216
dolnośląskie;strzeliński;36457;1;17066;1;t0217
dolnośląskie;średzki;21562;11;10216;3;t0218
dolnośląskie;świdnicki;99316;76;45694;25;t0219
dolnośląskie;trzebnicki;58515;53;28029;14;t0220
dolnośląskie;wałbrzyski;30877;0;14675;0;t0221
dolnośląskie;wołowski;41635;44;18572;26;t0222
dolnośląskie;wrocławski;101847;32;48500;17;t0223
dolnośląskie;ząbkowicki;54248;88;25531;35;t0224
dolnośląskie;zgorzelecki;57841;17;26276;0;t0225
dolnośląskie;złotoryjski;34114;17;15327;10;t0226
dolnośląskie;Jelenia Góra;88423;113;42559;47;t0261
dolnośląskie;Legnica;88114;46;41584;16;t0262
dolnośląskie;Wrocław;1037740;906;488725;437;t0264
dolnośląskie;Wałbrzych;208791;252;97772;116;t0265
kujawsko-pomorskie;aleksandrowski;131568;38;62635;19;t0401
kujawsko-pomorskie;brodnicki;70493;104;33029;48;t0402
kujawsko-pomorskie;bydgoski;75895;13;35874;8;t0403
kujawsko-pomorskie;chełmiński;41118;15;19234;3;t0404
kujawsko-pomorskie;golubsko-dobrzyński;34986;0;16289;0;t0405
kujawsko-pomorskie;grudziądzki;25700;34;11600;24;t0406
kujawsko-pomorskie;inowrocławski;103385;12;49108;4;t0407
kujawsko-pomorskie;lipnowski;52152;19;23918;12;t0408
kujawsko-pomorskie;mogileński;31300;30;14704;11;t0409
kujawsko-pomorskie;nakielski;82707;11;37325;8;t0410
kujawsko-pomorskie;radziejowski;44066;25;20580;0;t0411
kujawsko-pomorskie;rypiński;34775;27;16159;1;t0412
kujawsko-pomorskie;sępoleński;47890;25;22108;12;t0413
kujawsko-pomorskie;świecki;76481;136;34994;105;t0414
kujawsko-pomorskie;toruński;70858;58;30971;17;t0415
kujawsko-pomorskie;tucholski;38700;5;17692;0;t0416
kujawsko-pomorskie;wąbrzeski;27433;48;12505;31;t0417
kujawsko-pomorskie;włocławski;63963;78;30459;60;t0418
kujawsko-pomorskie;żniński;52134;9;24632;0;t0419
kujawsko-pomorskie;Bydgoszcz;427726;314;200864;100;t0461
kujawsko-pomorskie;Grudziądz;121702;264;56406;141;t0462
kujawsko-pomorskie;Toruń;189148;214;87800;89;t0463
kujawsko-pomorskie;Włocławek;92446;172;42045;63;t0464
lubelskie;bialski;60638;6;27757;0;t0601
lubelskie;biłgorajski;53086;17;25201;9;t0602
lubelskie;chełmski;35743;23;16840;15;t0603
lubelskie;hrubieszowski;43888;50;20099;21;t0604
lubelskie;janowski;30056;35;14051;15;t0605
lubelskie;krasnostawski;40422;46;18641;27;t0606
lubelskie;kraśnicki;65541;43;30943;13;t0607
lubelskie;lubartowski;53972;16;25404;7;t0608
lubelskie;lubelski;82763;110;37681;36;t0609
lubelskie;łęczyński;39787;90;19013;57;t0610
lubelskie;łukowski;54848;6;25680;6;t0611
lubelskie;opolski;43973;32;20173;9;t0612
lubelskie;parczewski;27689;16;12792;6;t0613
lubelskie;puławski;96440;86;45957;63;t0614
lubelskie;radzyński;30277;6;14377;6;t0615
lubelskie;rycki;52778;11;25318;8;t0616
lubelskie;świdnicki;45003;83;21507;69;t0617
lubelskie;tomaszowski;54918;11;25582;11;t0618
lubelskie;włodawski;34637;0;16150;0;t0619
lubelskie;zamojski;47808;22;23164;12;t0620
lubelskie;Biała Podlaska;68835;130;32436;48;t0661
lubelskie;Chełm;62354;71;28531;31;t0662
lubelskie;Lublin;437426;625;201632;243;t0663
lubelskie;Zamość;87911;75;41331;19;t0664
lubuskie;gorzowski;28613;4;13320;0;t0801
lubuskie;krośnieński;50267;23;23946;23;t0802
lubuskie;międzyrzecki;66103;45;30862;21;t0803
lubuskie;nowosolski;89939;126;40532;49;t0804
lubuskie;słubicki;37578;61;17871;37;t0805
lubuskie;strzelecko-drezdenecki;49575;85;22462;39;t0806
lubuskie;sulęciński;29915;56;13664;16;t0807
lubuskie;świebodziński;54589;0;25356;0;t0808
lubuskie;zielonogórski;87661;60;40764;34;t0809
lubuskie;żagański;67029;115;30855;8;t0810
lubuskie;żarski;98390;14;46380;2;t0811
lubuskie;wschowski;26563;19;12648;2;t0812
lubuskie;Gorzów Wielkopolski;147119;275;68292;139;t0861
lubuskie;Zielona Góra;148913;48;71066;0;t0862
łódzkie;bełchatowski;72161;136;33074;68;t1001
łódzkie;kutnowski;87177;129;42153;96;t1002
łódzkie;łaski;35613;1;17032;0;t1003
łódzkie;łęczycki;50444;33;23217;7;t1004
łódzkie;łowicki;89050;98;42458;60;t1005
łódzkie;łódzki wschodni;36269;5;16407;5;t1006
łódzkie;opoczyński;58204;45;26307;27;t1007
łódzkie;pabianicki;106128;100;49985;24;t1008
łódzkie;pajęczański;29486;6;13398;5;t1009
łódzkie;piotrkowski;49026;5;22753;0;t1010
łódzkie;poddębicki;36597;0;17249;0;t1011
łódzkie;radomszczański;86780;86;40600;38;t1012
łódzkie;rawski;28053;0;12722;0;t1013
łódzkie;sieradzki;98033;92;44856;54;t1014
łódzkie;skierniewicki;23658;33;11215;20;t1015
łódzkie;tomaszowski;103804;194;49081;95;t1016
łódzkie;wieluński;86501;54;41205;14;t1017
łódzkie;wieruszowski;32523;6;14760;0;t1018
łódzkie;zduńskowolski;48982;46;22670;5;t1019
łódzkie;zgierski;127276;81;59893;42;t1020
